date,dsr_value
1999-Q1,8.9
1999-Q2,8.9
1999-Q3,8.9
1999-Q4,9.1
2000-Q1,9.1
2000-Q2,9.1
2000-Q3,9
2000-Q4,9.1
2001-Q1,9.1
2001-Q2,9.1
2001-Q3,9.1
2001-Q4,9
2002-Q1,9
2002-Q2,9.1
2002-Q3,9.1
2002-Q4,9.1
2003-Q1,9.2
2003-Q2,9.1
2003-Q3,9.1
2003-Q4,9.2
2004-Q1,9.3
2004-Q2,9.3
2004-Q3,9.4
2004-Q4,9.5
2005-Q1,9.6
2005-Q2,9.6
2005-Q3,9.6
2005-Q4,9.7
2006-Q1,9.7
2006-Q2,9.8
2006-Q3,10
2006-Q4,10.3
2007-Q1,10.5
2007-Q2,10.5
2007-Q3,10.7
2007-Q4,10.9
2008-Q1,11.2
2008-Q2,11.3
2008-Q3,11.5
2008-Q4,11.5
2009-Q1,10.8
2009-Q2,10.4
2009-Q3,10.3
2009-Q4,10.3
2010-Q1,10.3
2010-Q2,10.4
2010-Q3,10.6
2010-Q4,10.8
2011-Q1,11.1
2011-Q2,11.3
2011-Q3,11.5
2011-Q4,11.6
2012-Q1,11.6
2012-Q2,11.4
2012-Q3,11.5
2012-Q4,11.2
2013-Q1,11.1
2013-Q2,11.1
2013-Q3,11.1
2013-Q4,11.1
2014-Q1,11.2
2014-Q2,11.1
2014-Q3,11.1
2014-Q4,11.1
2015-Q1,11.1
2015-Q2,11
2015-Q3,11
2015-Q4,11.1
2016-Q1,11.1
2016-Q2,11.2
2016-Q3,11.2
2016-Q4,11.3
2017-Q1,11.4
2017-Q2,11.4
2017-Q3,11.5
2017-Q4,11.5
2018-Q1,11.3
2018-Q2,11.5
2018-Q3,11.5
2018-Q4,11.5
2019-Q1,11.5
2019-Q2,11.6
2019-Q3,11.6
2019-Q4,11.6
2020-Q1,11.7
2020-Q2,12
2020-Q3,12.1
2020-Q4,12.2
2021-Q1,12.2
2021-Q2,12.1
2021-Q3,12.1
2021-Q4,12.1
2022-Q1,12
2022-Q2,11.9
2022-Q3,12
2022-Q4,12.1
2023-Q1,12.2
2023-Q2,12.4
2023-Q3,12.5
2023-Q4,12.7
2024-Q1,12.8
2024-Q2,12.7
2024-Q3,12.6
2024-Q4,12.3
2025-Q1,12
2025-Q2,11.7
2025-Q3,11.6
2025-Q4,11.4
