Indikator,Period,The Economic Tendency Indicator and other indicators
Consumer confidence indicator,1996M01,88.4
Consumer confidence indicator,1996M02,89.7
Consumer confidence indicator,1996M03,89.2
Consumer confidence indicator,1996M04,88.8
Consumer confidence indicator,1996M05,89.1
Consumer confidence indicator,1996M06,89.5
Consumer confidence indicator,1996M07,88.1
Consumer confidence indicator,1996M08,92.9
Consumer confidence indicator,1996M09,93.5
Consumer confidence indicator,1996M10,90.3
Consumer confidence indicator,1996M11,91.1
Consumer confidence indicator,1996M12,91.9
Consumer confidence indicator,1997M01,90.8
Consumer confidence indicator,1997M02,92.9
Consumer confidence indicator,1997M03,95.4
Consumer confidence indicator,1997M04,96.8
Consumer confidence indicator,1997M05,98.3
Consumer confidence indicator,1997M06,98.4
Consumer confidence indicator,1997M07,99.7
Consumer confidence indicator,1997M08,98.8
Consumer confidence indicator,1997M09,101.5
Consumer confidence indicator,1997M10,105.5
Consumer confidence indicator,1997M11,104
Consumer confidence indicator,1997M12,107
Consumer confidence indicator,1998M01,106.5
Consumer confidence indicator,1998M02,104.3
Consumer confidence indicator,1998M03,104.7
Consumer confidence indicator,1998M04,106.8
Consumer confidence indicator,1998M05,107.8
Consumer confidence indicator,1998M06,108
Consumer confidence indicator,1998M07,108.4
Consumer confidence indicator,1998M08,106.1
Consumer confidence indicator,1998M09,106.1
Consumer confidence indicator,1998M10,106.6
Consumer confidence indicator,1998M11,107.8
Consumer confidence indicator,1998M12,106.1
Consumer confidence indicator,1999M01,109.5
Consumer confidence indicator,1999M02,108.1
Consumer confidence indicator,1999M03,108.6
Consumer confidence indicator,1999M04,108.6
Consumer confidence indicator,1999M05,109.2
Consumer confidence indicator,1999M06,110.7
Consumer confidence indicator,1999M07,110.8
Consumer confidence indicator,1999M08,114
Consumer confidence indicator,1999M09,115.1
Consumer confidence indicator,1999M10,115.4
Consumer confidence indicator,1999M11,113.3
Consumer confidence indicator,1999M12,116.1
Consumer confidence indicator,2000M01,119.2
Consumer confidence indicator,2000M02,119.1
Consumer confidence indicator,2000M03,120.1
Consumer confidence indicator,2000M04,119.6
Consumer confidence indicator,2000M05,117.9
Consumer confidence indicator,2000M06,116.7
Consumer confidence indicator,2000M07,116.4
Consumer confidence indicator,2000M08,118.3
Consumer confidence indicator,2000M09,115.7
Consumer confidence indicator,2000M10,116.8
Consumer confidence indicator,2000M11,115.6
Consumer confidence indicator,2000M12,113.3
Consumer confidence indicator,2001M01,109.3
Consumer confidence indicator,2001M02,107.2
Consumer confidence indicator,2001M03,106
Consumer confidence indicator,2001M04,103.7
Consumer confidence indicator,2001M05,104
Consumer confidence indicator,2001M06,103.5
Consumer confidence indicator,2001M07,102.6
Consumer confidence indicator,2001M08,101.4
Consumer confidence indicator,2001M09,98.1
Consumer confidence indicator,2001M10,99.6
Consumer confidence indicator,2001M11,101.6
Consumer confidence indicator,2001M12,102.2
Consumer confidence indicator,2002M01,100.7
Consumer confidence indicator,2002M02,105.6
Consumer confidence indicator,2002M03,107.6
Consumer confidence indicator,2002M04,106.5
Consumer confidence indicator,2002M05,105.7
Consumer confidence indicator,2002M06,104.6
Consumer confidence indicator,2002M07,105.2
Consumer confidence indicator,2002M08,102.1
Consumer confidence indicator,2002M09,102.5
Consumer confidence indicator,2002M10,99.8
Consumer confidence indicator,2002M11,100.3
Consumer confidence indicator,2002M12,98.9
Consumer confidence indicator,2003M01,96.2
Consumer confidence indicator,2003M02,97
Consumer confidence indicator,2003M03,94.2
Consumer confidence indicator,2003M04,94.8
Consumer confidence indicator,2003M05,96.5
Consumer confidence indicator,2003M06,97.9
Consumer confidence indicator,2003M07,101.6
Consumer confidence indicator,2003M08,102
Consumer confidence indicator,2003M09,105.4
Consumer confidence indicator,2003M10,101.5
Consumer confidence indicator,2003M11,96.9
Consumer confidence indicator,2003M12,97.8
Consumer confidence indicator,2004M01,100.9
Consumer confidence indicator,2004M02,104.5
Consumer confidence indicator,2004M03,100.8
Consumer confidence indicator,2004M04,104.2
Consumer confidence indicator,2004M05,100.7
Consumer confidence indicator,2004M06,103.2
Consumer confidence indicator,2004M07,101.5
Consumer confidence indicator,2004M08,103
Consumer confidence indicator,2004M09,102.9
Consumer confidence indicator,2004M10,104
Consumer confidence indicator,2004M11,104
Consumer confidence indicator,2004M12,105.7
Consumer confidence indicator,2005M01,105.6
Consumer confidence indicator,2005M02,104.4
Consumer confidence indicator,2005M03,106.2
Consumer confidence indicator,2005M04,101.8
Consumer confidence indicator,2005M05,103
Consumer confidence indicator,2005M06,103.1
Consumer confidence indicator,2005M07,103
Consumer confidence indicator,2005M08,105.8
Consumer confidence indicator,2005M09,105.3
Consumer confidence indicator,2005M10,105.9
Consumer confidence indicator,2005M11,105.9
Consumer confidence indicator,2005M12,108.1
Consumer confidence indicator,2006M01,112
Consumer confidence indicator,2006M02,109.2
Consumer confidence indicator,2006M03,108.2
Consumer confidence indicator,2006M04,109.1
Consumer confidence indicator,2006M05,110.8
Consumer confidence indicator,2006M06,108.4
Consumer confidence indicator,2006M07,108.5
Consumer confidence indicator,2006M08,107.1
Consumer confidence indicator,2006M09,109.1
