varaktighet,kvartal,"Fasta priser, referensår 2025, mnkr"
1100 varor,1981K1,129840
1100 varor,1981K2,135100
1100 varor,1981K3,120498
1100 varor,1981K4,145622
1100 varor,1982K1,132195
1100 varor,1982K2,135498
1100 varor,1982K3,121873
1100 varor,1982K4,149666
1100 varor,1983K1,127708
1100 varor,1983K2,130068
1100 varor,1983K3,120308
1100 varor,1983K4,144284
1100 varor,1984K1,130914
1100 varor,1984K2,133322
1100 varor,1984K3,120738
1100 varor,1984K4,143085
1100 varor,1985K1,135855
1100 varor,1985K2,138295
1100 varor,1985K3,123539
1100 varor,1985K4,147453
1100 varor,1986K1,138458
1100 varor,1986K2,144743
1100 varor,1986K3,134008
1100 varor,1986K4,160038
1100 varor,1987K1,146703
1100 varor,1987K2,157534
1100 varor,1987K3,137883
1100 varor,1987K4,167084
1100 varor,1988K1,156057
1100 varor,1988K2,158268
1100 varor,1988K3,142395
1100 varor,1988K4,168747
1100 varor,1989K1,153836
1100 varor,1989K2,161758
1100 varor,1989K3,143395
1100 varor,1989K4,170643
1100 varor,1990K1,156340
1100 varor,1990K2,161386
1100 varor,1990K3,141534
1100 varor,1990K4,162468
1100 varor,1991K1,154944
1100 varor,1991K2,161357
1100 varor,1991K3,143038
1100 varor,1991K4,167958
1100 varor,1992K1,152364
1100 varor,1992K2,153689
1100 varor,1992K3,137531
1100 varor,1992K4,159746
1100 varor,1993K1,139100
1100 varor,1993K2,145801
1100 varor,1993K3,142932
1100 varor,1993K4,169754
1100 varor,1994K1,144428
1100 varor,1994K2,147438
1100 varor,1994K3,144548
1100 varor,1994K4,171114
1100 varor,1995K1,147074
1100 varor,1995K2,151170
1100 varor,1995K3,146675
1100 varor,1995K4,172464
1100 varor,1996K1,149183
1100 varor,1996K2,152015
1100 varor,1996K3,149175
1100 varor,1996K4,175503
1100 varor,1997K1,152832
1100 varor,1997K2,163063
1100 varor,1997K3,151636
1100 varor,1997K4,182537
1100 varor,1998K1,156709
1100 varor,1998K2,165694
1100 varor,1998K3,159570
