transaction item,quarter,"Disposable income, S14, SEK million"
"Disposable income, net",1980K1,71861
"Disposable income, net",1980K2,79106
"Disposable income, net",1980K3,74719
"Disposable income, net",1980K4,73573
"Disposable income, net",1981K1,76540
"Disposable income, net",1981K2,83348
"Disposable income, net",1981K3,77422
"Disposable income, net",1981K4,79832
"Disposable income, net",1982K1,83432
"Disposable income, net",1982K2,91215
"Disposable income, net",1982K3,83252
"Disposable income, net",1982K4,85291
"Disposable income, net",1983K1,89995
"Disposable income, net",1983K2,105093
"Disposable income, net",1983K3,90090
"Disposable income, net",1983K4,92885
"Disposable income, net",1984K1,98525
"Disposable income, net",1984K2,112245
"Disposable income, net",1984K3,99363
"Disposable income, net",1984K4,100365
"Disposable income, net",1985K1,107772
"Disposable income, net",1985K2,123632
"Disposable income, net",1985K3,109494
"Disposable income, net",1985K4,108885
"Disposable income, net",1986K1,115061
"Disposable income, net",1986K2,132602
"Disposable income, net",1986K3,120841
"Disposable income, net",1986K4,117691
"Disposable income, net",1987K1,126245
"Disposable income, net",1987K2,146864
"Disposable income, net",1987K3,128004
"Disposable income, net",1987K4,124680
"Disposable income, net",1988K1,131823
"Disposable income, net",1988K2,154204
"Disposable income, net",1988K3,136517
"Disposable income, net",1988K4,133733
"Disposable income, net",1989K1,146227
"Disposable income, net",1989K2,166758
"Disposable income, net",1989K3,151657
"Disposable income, net",1989K4,144020
"Disposable income, net",1990K1,159287
"Disposable income, net",1990K2,190872
"Disposable income, net",1990K3,166749
"Disposable income, net",1990K4,167018
"Disposable income, net",1991K1,188590
"Disposable income, net",1991K2,217526
"Disposable income, net",1991K3,191995
"Disposable income, net",1991K4,195162
"Disposable income, net",1992K1,200582
"Disposable income, net",1992K2,223270
"Disposable income, net",1992K3,201775
"Disposable income, net",1992K4,208619
"Disposable income, net",1993K1,201953
"Disposable income, net",1993K2,222528
"Disposable income, net",1993K3,209807
"Disposable income, net",1993K4,201715
"Disposable income, net",1994K1,204536
"Disposable income, net",1994K2,223799
"Disposable income, net",1994K3,211866
"Disposable income, net",1994K4,215875
"Disposable income, net",1995K1,209976
"Disposable income, net",1995K2,241580
"Disposable income, net",1995K3,215399
"Disposable income, net",1995K4,218163
"Disposable income, net",1996K1,210010
"Disposable income, net",1996K2,248837
"Disposable income, net",1996K3,217469
"Disposable income, net",1996K4,214470
"Disposable income, net",1997K1,208769
"Disposable income, net",1997K2,245350
"Disposable income, net",1997K3,221807
"Disposable income, net",1997K4,220095
"Disposable income, net",1998K1,216502
"Disposable income, net",1998K2,248230
"Disposable income, net",1998K3,226906
"Disposable income, net",1998K4,229695
"Disposable income, net",1999K1,224535
"Disposable income, net",1999K2,262920
"Disposable income, net",1999K3,234229
"Disposable income, net",1999K4,236593
"Disposable income, net",2000K1,239686
"Disposable income, net",2000K2,270906
"Disposable income, net",2000K3,251111
"Disposable income, net",2000K4,250435
"Disposable income, net",2001K1,257774
"Disposable income, net",2001K2,293374
"Disposable income, net",2001K3,269638
"Disposable income, net",2001K4,269701
"Disposable income, net",2002K1,275263
"Disposable income, net",2002K2,314242
"Disposable income, net",2002K3,284423
"Disposable income, net",2002K4,285172
"Disposable income, net",2003K1,284638
"Disposable income, net",2003K2,321131
"Disposable income, net",2003K3,293912
"Disposable income, net",2003K4,289438
"Disposable income, net",2004K1,291210
"Disposable income, net",2004K2,323208
"Disposable income, net",2004K3,300213
"Disposable income, net",2004K4,297955
"Disposable income, net",2005K1,297767
"Disposable income, net",2005K2,345737
"Disposable income, net",2005K3,306913
"Disposable income, net",2005K4,313324
"Disposable income, net",2006K1,313972
"Disposable income, net",2006K2,372906
"Disposable income, net",2006K3,323939
"Disposable income, net",2006K4,330292
"Disposable income, net",2007K1,338870
"Disposable income, net",2007K2,412799
"Disposable income, net",2007K3,345221
"Disposable income, net",2007K4,345147
"Disposable income, net",2008K1,357104
"Disposable income, net",2008K2,447663
"Disposable income, net",2008K3,367859
"Disposable income, net",2008K4,360956
"Disposable income, net",2009K1,376441
"Disposable income, net",2009K2,455493
"Disposable income, net",2009K3,384379
"Disposable income, net",2009K4,384641
"Disposable income, net",2010K1,389699
"Disposable income, net",2010K2,469967
"Disposable income, net",2010K3,401825
"Disposable income, net",2010K4,405295
"Disposable income, net",2011K1,410010
"Disposable income, net",2011K2,499836
"Disposable income, net",2011K3,421382
"Disposable income, net",2011K4,418158
"Disposable income, net",2012K1,423795
"Disposable income, net",2012K2,526645
"Disposable income, net",2012K3,438184
"Disposable income, net",2012K4,438211
"Disposable income, net",2013K1,445686
"Disposable income, net",2013K2,528295
"Disposable income, net",2013K3,450451
"Disposable income, net",2013K4,452193
"Disposable income, net",2014K1,454779
"Disposable income, net",2014K2,557118
"Disposable income, net",2014K3,464530
"Disposable income, net",2014K4,465075
"Disposable income, net",2015K1,467351
"Disposable income, net",2015K2,585195
"Disposable income, net",2015K3,474379
"Disposable income, net",2015K4,476301
"Disposable income, net",2016K1,496922
"Disposable income, net",2016K2,605594
"Disposable income, net",2016K3,489144
"Disposable income, net",2016K4,495600
"Disposable income, net",2017K1,499799
"Disposable income, net",2017K2,642409
"Disposable income, net",2017K3,509661
"Disposable income, net",2017K4,524681
"Disposable income, net",2018K1,545686
"Disposable income, net",2018K2,627858
"Disposable income, net",2018K3,539401
"Disposable income, net",2018K4,557296
"Disposable income, net",2019K1,569538
"Disposable income, net",2019K2,658594
"Disposable income, net",2019K3,565646
"Disposable income, net",2019K4,582554
"Disposable income, net",2020K1,586779
"Disposable income, net",2020K2,625119
"Disposable income, net",2020K3,571869
"Disposable income, net",2020K4,595801
"Disposable income, net",2021K1,620740
"Disposable income, net",2021K2,680462
"Disposable income, net",2021K3,603885
"Disposable income, net",2021K4,631320
"Disposable income, net",2022K1,670446
"Disposable income, net",2022K2,749059
"Disposable income, net",2022K3,643188
"Disposable income, net",2022K4,691783
"Disposable income, net",2023K1,711098
"Disposable income, net",2023K2,791826
"Disposable income, net",2023K3,688736
"Disposable income, net",2023K4,711492
"Disposable income, net",2024K1,742165
"Disposable income, net",2024K2,834608
"Disposable income, net",2024K3,716277
"Disposable income, net",2024K4,746450
"Disposable income, net",2025K1,758513
"Disposable income, net",2025K2,859513
"Disposable income, net",2025K3,746375
"Disposable income, net",2025K4,771642
"Disposable income, net",2026K1,785018
"Disposable income, net",2026K2,878945
