sector,type of asset,year,"Closing balance, SEK million"
Households,All assets (non-financial and financial assets),1980,1129303
Households,All assets (non-financial and financial assets),1981,1215790
Households,All assets (non-financial and financial assets),1982,1306769
Households,All assets (non-financial and financial assets),1983,1447316
Households,All assets (non-financial and financial assets),1984,1567442
Households,All assets (non-financial and financial assets),1985,1701722
Households,All assets (non-financial and financial assets),1986,2033883
Households,All assets (non-financial and financial assets),1987,2284087
Households,All assets (non-financial and financial assets),1988,2688349
Households,All assets (non-financial and financial assets),1989,3122796
Households,All assets (non-financial and financial assets),1990,3204266
Households,All assets (non-financial and financial assets),1991,3133514
Households,All assets (non-financial and financial assets),1992,3045103
Households,All assets (non-financial and financial assets),1993,3289874
Households,All assets (non-financial and financial assets),1994,3362953
Households,All assets (non-financial and financial assets),1995,3511417
Households,All assets (non-financial and financial assets),1996,3927548
Households,All assets (non-financial and financial assets),1997,4517793
Households,All assets (non-financial and financial assets),1998,4966554
Households,All assets (non-financial and financial assets),1999,5832468
Households,All assets (non-financial and financial assets),2000,6039353
Households,All assets (non-financial and financial assets),2001,6300315
Households,All assets (non-financial and financial assets),2002,6526430
Households,All assets (non-financial and financial assets),2003,7475194
Households,All assets (non-financial and financial assets),2004,8083571
Households,All assets (non-financial and financial assets),2005,9525084
Households,All assets (non-financial and financial assets),2006,10769054
Households,All assets (non-financial and financial assets),2007,11537236
Households,All assets (non-financial and financial assets),2008,11507098
Households,All assets (non-financial and financial assets),2009,12661278
Households,All assets (non-financial and financial assets),2010,13883285
Households,All assets (non-financial and financial assets),2011,13705654
Households,All assets (non-financial and financial assets),2012,14179089
Households,All assets (non-financial and financial assets),2013,15306797
Households,All assets (non-financial and financial assets),2014,16994467
Households,All assets (non-financial and financial assets),2015,18713667
Households,All assets (non-financial and financial assets),2016,20455307
Households,All assets (non-financial and financial assets),2017,21860435
Households,All assets (non-financial and financial assets),2018,22414944
Households,All assets (non-financial and financial assets),2019,24935407
Households,All assets (non-financial and financial assets),2020,27460652
Households,All assets (non-financial and financial assets),2021,31404589
Households,All assets (non-financial and financial assets),2022,30075228
Households,All assets (non-financial and financial assets),2023,30624415
Households,All assets (non-financial and financial assets),2024,32887356
Households,All assets (non-financial and financial assets),2025,34324882
Households,All non-financial assets,1980,666440
Households,All non-financial assets,1981,698878
Households,All non-financial assets,1982,728186
Households,All non-financial assets,1983,773419
Households,All non-financial assets,1984,827453
Households,All non-financial assets,1985,875595
Households,All non-financial assets,1986,998599
Households,All non-financial assets,1987,1184441
Households,All non-financial assets,1988,1403721
Households,All non-financial assets,1989,1638802
Households,All non-financial assets,1990,1723639
Households,All non-financial assets,1991,1637208
Households,All non-financial assets,1992,1510010
Households,All non-financial assets,1993,1587092
Households,All non-financial assets,1994,1564238
Households,All non-financial assets,1995,1537189
Households,All non-financial assets,1996,1616404
Households,All non-financial assets,1997,1775618
Households,All non-financial assets,1998,1890429
Households,All non-financial assets,1999,2041457
Households,All non-financial assets,2000,2234586
Households,All non-financial assets,2001,2423085
Households,All non-financial assets,2002,2535680
Households,All non-financial assets,2003,2946103
Households,All non-financial assets,2004,3261307
Households,All non-financial assets,2005,3687015
Households,All non-financial assets,2006,4145360
Households,All non-financial assets,2007,4617403
Households,All non-financial assets,2008,4875417
Households,All non-financial assets,2009,5134742
Households,All non-financial assets,2010,5449448
Households,All non-financial assets,2011,5568079
Households,All non-financial assets,2012,5598131
Households,All non-financial assets,2013,5756294
Households,All non-financial assets,2014,6065570
Households,All non-financial assets,2015,6803588
Households,All non-financial assets,2016,7502506
Households,All non-financial assets,2017,8152825
Households,All non-financial assets,2018,8588438
Households,All non-financial assets,2019,8875761
Households,All non-financial assets,2020,9802659
Households,All non-financial assets,2021,10970334
Households,All non-financial assets,2022,11667481
Households,All non-financial assets,2023,10959977
Households,All non-financial assets,2024,11065200
Households,All non-financial assets,2025,11258593
Households,Produced non-financial assets ,1980,395030
Households,Produced non-financial assets ,1981,432905
Households,Produced non-financial assets ,1982,474552
Households,Produced non-financial assets ,1983,521325
Households,Produced non-financial assets ,1984,575932
Households,Produced non-financial assets ,1985,596408
Households,Produced non-financial assets ,1986,646097
Households,Produced non-financial assets ,1987,734449
Households,Produced non-financial assets ,1988,875815
Households,Produced non-financial assets ,1989,998950
Households,Produced non-financial assets ,1990,1160370
Households,Produced non-financial assets ,1991,1239879
Households,Produced non-financial assets ,1992,1193481
Households,Produced non-financial assets ,1993,1227187
Households,Produced non-financial assets ,1994,1183368
Households,Produced non-financial assets ,1995,1153098
Households,Produced non-financial assets ,1996,1225521
Households,Produced non-financial assets ,1997,1366727
Households,Produced non-financial assets ,1998,1466679
Households,Produced non-financial assets ,1999,1520058
Households,Produced non-financial assets ,2000,1731432
Households,Produced non-financial assets ,2001,1857343
Households,Produced non-financial assets ,2002,1949013
Households,Produced non-financial assets ,2003,2041026
Households,Produced non-financial assets ,2004,2217055
Households,Produced non-financial assets ,2005,2352216
Households,Produced non-financial assets ,2006,2525333
Households,Produced non-financial assets ,2007,2747194
Households,Produced non-financial assets ,2008,3003689
Households,Produced non-financial assets ,2009,3115245
Households,Produced non-financial assets ,2010,3206389
Households,Produced non-financial assets ,2011,3335142
Households,Produced non-financial assets ,2012,3391028
Households,Produced non-financial assets ,2013,3446878
Households,Produced non-financial assets ,2014,3666445
Households,Produced non-financial assets ,2015,3847086
Households,Produced non-financial assets ,2016,4203691
Households,Produced non-financial assets ,2017,4478054
Households,Produced non-financial assets ,2018,4550297
Households,Produced non-financial assets ,2019,4626331
Households,Produced non-financial assets ,2020,5169138
Households,Produced non-financial assets ,2021,5527342
Households,Produced non-financial assets ,2022,5871419
Households,Produced non-financial assets ,2023,5949465
Households,Produced non-financial assets ,2024,5812629
Households,Produced non-financial assets ,2025,6021117
Households,Non-produced non-financial assets ,1980,271410
Households,Non-produced non-financial assets ,1981,265973
Households,Non-produced non-financial assets ,1982,253634
Households,Non-produced non-financial assets ,1983,252094
Households,Non-produced non-financial assets ,1984,251521
Households,Non-produced non-financial assets ,1985,279187
Households,Non-produced non-financial assets ,1986,352502
Households,Non-produced non-financial assets ,1987,449992
Households,Non-produced non-financial assets ,1988,527906
Households,Non-produced non-financial assets ,1989,639852
Households,Non-produced non-financial assets ,1990,563269
Households,Non-produced non-financial assets ,1991,397329
Households,Non-produced non-financial assets ,1992,316529
Households,Non-produced non-financial assets ,1993,359905
Households,Non-produced non-financial assets ,1994,380870
Households,Non-produced non-financial assets ,1995,384091
Households,Non-produced non-financial assets ,1996,390883
Households,Non-produced non-financial assets ,1997,408891
Households,Non-produced non-financial assets ,1998,423750
Households,Non-produced non-financial assets ,1999,521399
Households,Non-produced non-financial assets ,2000,503154
Households,Non-produced non-financial assets ,2001,565742
Households,Non-produced non-financial assets ,2002,586667
Households,Non-produced non-financial assets ,2003,905077
Households,Non-produced non-financial assets ,2004,1044252
Households,Non-produced non-financial assets ,2005,1334799
Households,Non-produced non-financial assets ,2006,1620027
Households,Non-produced non-financial assets ,2007,1870209
Households,Non-produced non-financial assets ,2008,1871728
Households,Non-produced non-financial assets ,2009,2019497
Households,Non-produced non-financial assets ,2010,2243059
Households,Non-produced non-financial assets ,2011,2232937
Households,Non-produced non-financial assets ,2012,2207103
Households,Non-produced non-financial assets ,2013,2309416
Households,Non-produced non-financial assets ,2014,2399125
Households,Non-produced non-financial assets ,2015,2956502
Households,Non-produced non-financial assets ,2016,3298815
Households,Non-produced non-financial assets ,2017,3674771
Households,Non-produced non-financial assets ,2018,4038141
Households,Non-produced non-financial assets ,2019,4249430
Households,Non-produced non-financial assets ,2020,4633521
Households,Non-produced non-financial assets ,2021,5442992
Households,Non-produced non-financial assets ,2022,5796062
Households,Non-produced non-financial assets ,2023,5010512
Households,Non-produced non-financial assets ,2024,5252571
Households,Non-produced non-financial assets ,2025,5237476
Households,"Financial assets, total",1980,462863
Households,"Financial assets, total",1981,516912
Households,"Financial assets, total",1982,578583
Households,"Financial assets, total",1983,673897
Households,"Financial assets, total",1984,739989
Households,"Financial assets, total",1985,826127
Households,"Financial assets, total",1986,1035284
Households,"Financial assets, total",1987,1099646
Households,"Financial assets, total",1988,1284628
Households,"Financial assets, total",1989,1483994
Households,"Financial assets, total",1990,1480627
Households,"Financial assets, total",1991,1496306
Households,"Financial assets, total",1992,1535093
Households,"Financial assets, total",1993,1702782
Households,"Financial assets, total",1994,1798715
Households,"Financial assets, total",1995,1974228
Households,"Financial assets, total",1996,2311144
Households,"Financial assets, total",1997,2742175
Households,"Financial assets, total",1998,3076125
Households,"Financial assets, total",1999,3791011
Households,"Financial assets, total",2000,3804767
Households,"Financial assets, total",2001,3877230
Households,"Financial assets, total",2002,3990750
Households,"Financial assets, total",2003,4529091
Households,"Financial assets, total",2004,4822264
Households,"Financial assets, total",2005,5838069
Households,"Financial assets, total",2006,6623694
Households,"Financial assets, total",2007,6919833
Households,"Financial assets, total",2008,6631681
Households,"Financial assets, total",2009,7526536
Households,"Financial assets, total",2010,8433837
Households,"Financial assets, total",2011,8137575
Households,"Financial assets, total",2012,8580958
Households,"Financial assets, total",2013,9550503
Households,"Financial assets, total",2014,10928897
Households,"Financial assets, total",2015,11910079
Households,"Financial assets, total",2016,12952801
Households,"Financial assets, total",2017,13707610
Households,"Financial assets, total",2018,13826506
Households,"Financial assets, total",2019,16059646
Households,"Financial assets, total",2020,17657993
Households,"Financial assets, total",2021,20434255
Households,"Financial assets, total",2022,18407747
Households,"Financial assets, total",2023,19664438
Households,"Financial assets, total",2024,21822156
Households,"Financial assets, total",2025,23066289
Households,"Liabilities, total",1980,282136
Households,"Liabilities, total",1981,312177
Households,"Liabilities, total",1982,351389
Households,"Liabilities, total",1983,383988
Households,"Liabilities, total",1984,426391
Households,"Liabilities, total",1985,460119
Households,"Liabilities, total",1986,546443
Households,"Liabilities, total",1987,619347
Households,"Liabilities, total",1988,740342
Households,"Liabilities, total",1989,803651
Households,"Liabilities, total",1990,844897
Households,"Liabilities, total",1991,842867
Households,"Liabilities, total",1992,831426
Households,"Liabilities, total",1993,821501
Households,"Liabilities, total",1994,815424
Households,"Liabilities, total",1995,836122
Households,"Liabilities, total",1996,857317
Households,"Liabilities, total",1997,906933
Households,"Liabilities, total",1998,964309
Households,"Liabilities, total",1999,1046624
Households,"Liabilities, total",2000,1142931
Households,"Liabilities, total",2001,1363730
Households,"Liabilities, total",2002,1456858
Households,"Liabilities, total",2003,1573303
Households,"Liabilities, total",2004,1724006
Households,"Liabilities, total",2005,1909053
Households,"Liabilities, total",2006,2118846
Households,"Liabilities, total",2007,2324833
Households,"Liabilities, total",2008,2469204
Households,"Liabilities, total",2009,2655622
Households,"Liabilities, total",2010,2863581
Households,"Liabilities, total",2011,2991947
Households,"Liabilities, total",2012,3096177
Households,"Liabilities, total",2013,3221033
Households,"Liabilities, total",2014,3394763
Households,"Liabilities, total",2015,3634098
Households,"Liabilities, total",2016,3912290
Households,"Liabilities, total",2017,4169939
Households,"Liabilities, total",2018,4398353
Households,"Liabilities, total",2019,4613029
Households,"Liabilities, total",2020,4889477
Households,"Liabilities, total",2021,5222378
Households,"Liabilities, total",2022,5429737
Households,"Liabilities, total",2023,5470415
Households,"Liabilities, total",2024,5539590
Households,"Liabilities, total",2025,5666787
Households,Net worth ,1980,847167
Households,Net worth ,1981,903613
Households,Net worth ,1982,955380
Households,Net worth ,1983,1063328
Households,Net worth ,1984,1141051
Households,Net worth ,1985,1241603
Households,Net worth ,1986,1487440
Households,Net worth ,1987,1664740
Households,Net worth ,1988,1948007
Households,Net worth ,1989,2319145
Households,Net worth ,1990,2359369
Households,Net worth ,1991,2290647
Households,Net worth ,1992,2213677
Households,Net worth ,1993,2468373
Households,Net worth ,1994,2547529
Households,Net worth ,1995,2675295
Households,Net worth ,1996,3070231
Households,Net worth ,1997,3610860
Households,Net worth ,1998,4002245
Households,Net worth ,1999,4785844
Households,Net worth ,2000,4896422
Households,Net worth ,2001,4936585
Households,Net worth ,2002,5069572
Households,Net worth ,2003,5901891
Households,Net worth ,2004,6359565
Households,Net worth ,2005,7616031
Households,Net worth ,2006,8650208
Households,Net worth ,2007,9212403
Households,Net worth ,2008,9037894
Households,Net worth ,2009,10005656
Households,Net worth ,2010,11019704
Households,Net worth ,2011,10713707
Households,Net worth ,2012,11082912
Households,Net worth ,2013,12085764
Households,Net worth ,2014,13599704
Households,Net worth ,2015,15079569
Households,Net worth ,2016,16543017
Households,Net worth ,2017,17690496
Households,Net worth ,2018,18016591
Households,Net worth ,2019,20322378
Households,Net worth ,2020,22571175
Households,Net worth ,2021,26182211
Households,Net worth ,2022,24645491
Households,Net worth ,2023,25154000
Households,Net worth ,2024,27347766
Households,Net worth ,2025,28658095
