sector,item,quarter,Balances
Households,Financial Net,1996K1,1226562
Households,Financial Net,1996K2,1293916
Households,Financial Net,1996K3,1370124
Households,Financial Net,1996K4,1453827
Households,Financial Net,1997K1,1666351
Households,Financial Net,1997K2,1762596
Households,Financial Net,1997K3,1843085
Households,Financial Net,1997K4,1835242
Households,Financial Net,1998K1,2009977
Households,Financial Net,1998K2,2098580
Households,Financial Net,1998K3,1956982
Households,Financial Net,1998K4,2111816
Households,Financial Net,1999K1,2213415
Households,Financial Net,1999K2,2345008
Households,Financial Net,1999K3,2412441
Households,Financial Net,1999K4,2744387
Households,Financial Net,2000K1,2687558
Households,Financial Net,2000K2,2810478
Households,Financial Net,2000K3,2780612
Households,Financial Net,2000K4,2661836
Households,Financial Net,2001K1,2440303
Households,Financial Net,2001K2,2560597
Households,Financial Net,2001K3,2338339
Households,Financial Net,2001K4,2513500
Households,Financial Net,2002K1,2539577
Households,Financial Net,2002K2,2442669
Households,Financial Net,2002K3,2384962
Households,Financial Net,2002K4,2533892
Households,Financial Net,2003K1,2639079
Households,Financial Net,2003K2,2874548
Households,Financial Net,2003K3,2909912
Households,Financial Net,2003K4,2955788
Households,Financial Net,2004K1,3055620
Households,Financial Net,2004K2,3019395
Households,Financial Net,2004K3,3026025
Households,Financial Net,2004K4,3098258
Households,Financial Net,2005K1,3286505
Households,Financial Net,2005K2,3577591
Households,Financial Net,2005K3,3828094
Households,Financial Net,2005K4,3929016
Households,Financial Net,2006K1,4281440
Households,Financial Net,2006K2,4045151
Households,Financial Net,2006K3,4304646
Households,Financial Net,2006K4,4504848
Households,Financial Net,2007K1,4831496
Households,Financial Net,2007K2,4998498
Households,Financial Net,2007K3,4998014
Households,Financial Net,2007K4,4595000
Households,Financial Net,2008K1,4521450
Households,Financial Net,2008K2,4363471
Households,Financial Net,2008K3,4276664
Households,Financial Net,2008K4,4162473
Households,Financial Net,2009K1,4162370
Households,Financial Net,2009K2,4469307
Households,Financial Net,2009K3,4770313
Households,Financial Net,2009K4,4870914
Households,Financial Net,2010K1,5168647
Households,Financial Net,2010K2,5116930
Households,Financial Net,2010K3,5357989
Households,Financial Net,2010K4,5570256
Households,Financial Net,2011K1,5562046
Households,Financial Net,2011K2,5444252
Households,Financial Net,2011K3,4961058
Households,Financial Net,2011K4,5145640
Households,Financial Net,2012K1,5509671
Households,Financial Net,2012K2,5429735
Households,Financial Net,2012K3,5540175
Households,Financial Net,2012K4,5484781
Households,Financial Net,2013K1,5866629
Households,Financial Net,2013K2,5925099
Households,Financial Net,2013K3,6156782
Households,Financial Net,2013K4,6329471
Households,Financial Net,2014K1,6595166
Households,Financial Net,2014K2,7016963
Households,Financial Net,2014K3,7226983
Households,Financial Net,2014K4,7534134
Households,Financial Net,2015K1,8260806
Households,Financial Net,2015K2,8161406
Households,Financial Net,2015K3,8024402
Households,Financial Net,2015K4,8275981
Households,Financial Net,2016K1,8271543
Households,Financial Net,2016K2,8276525
Households,Financial Net,2016K3,8788631
Households,Financial Net,2016K4,9040511
Households,Financial Net,2017K1,9531651
Households,Financial Net,2017K2,9608810
Households,Financial Net,2017K3,9709815
Households,Financial Net,2017K4,9537671
Households,Financial Net,2018K1,9627093
Households,Financial Net,2018K2,9947743
Households,Financial Net,2018K3,10268058
Households,Financial Net,2018K4,9428153
Households,Financial Net,2019K1,10262658
Households,Financial Net,2019K2,10670609
Households,Financial Net,2019K3,10922388
Households,Financial Net,2019K4,11446617
Households,Financial Net,2020K1,10595798
Households,Financial Net,2020K2,11502590
Households,Financial Net,2020K3,12253462
Households,Financial Net,2020K4,12768516
Households,Financial Net,2021K1,13654731
Households,Financial Net,2021K2,14219500
Households,Financial Net,2021K3,14285101
Households,Financial Net,2021K4,15211877
Households,Financial Net,2022K1,14438855
Households,Financial Net,2022K2,12932829
Households,Financial Net,2022K3,12569005
Households,Financial Net,2022K4,12978010
Households,Financial Net,2023K1,13751024
Households,Financial Net,2023K2,14119599
Households,Financial Net,2023K3,13646708
Households,Financial Net,2023K4,14194023
Households,Financial Net,2024K1,15430175
Households,Financial Net,2024K2,15904447
Households,Financial Net,2024K3,16230542
Households,Financial Net,2024K4,16282566
Households,Financial Net,2025K1,15960687
Households,Financial Net,2025K2,16695825
Households,Financial Net,2025K3,17009518
Households,Financial Net,2025K4,17399502
Households,Financial Net,2026K1,17629318
Households,Financial assets (FA),1996K1,2064580
Households,Financial assets (FA),1996K2,2137180
Households,Financial assets (FA),1996K3,2218650
Households,Financial assets (FA),1996K4,2311144
Households,Financial assets (FA),1997K1,2534127
Households,Financial assets (FA),1997K2,2642307
Households,Financial assets (FA),1997K3,2732448
Households,Financial assets (FA),1997K4,2742175
Households,Financial assets (FA),1998K1,2927890
Households,Financial assets (FA),1998K2,3029560
Households,Financial assets (FA),1998K3,2905013
Households,Financial assets (FA),1998K4,3076125
Households,Financial assets (FA),1999K1,3191890
Households,Financial assets (FA),1999K2,3347415
Households,Financial assets (FA),1999K3,3432795
Households,Financial assets (FA),1999K4,3791011
Households,Financial assets (FA),2000K1,3754934
Households,Financial assets (FA),2000K2,3905543
Households,Financial assets (FA),2000K3,3898471
Households,Financial assets (FA),2000K4,3804767
Households,Financial assets (FA),2001K1,3704317
Households,Financial assets (FA),2001K2,3851727
Households,Financial assets (FA),2001K3,3666243
Households,Financial assets (FA),2001K4,3877230
Households,Financial assets (FA),2002K1,3919319
Households,Financial assets (FA),2002K2,3850403
Households,Financial assets (FA),2002K3,3819311
Households,Financial assets (FA),2002K4,3990750
Households,Financial assets (FA),2003K1,4099757
Households,Financial assets (FA),2003K2,4363983
Households,Financial assets (FA),2003K3,4442576
Households,Financial assets (FA),2003K4,4529091
Households,Financial assets (FA),2004K1,4635666
Households,Financial assets (FA),2004K2,4639616
Households,Financial assets (FA),2004K3,4697692
Households,Financial assets (FA),2004K4,4822264
Households,Financial assets (FA),2005K1,5027810
Households,Financial assets (FA),2005K2,5374079
Households,Financial assets (FA),2005K3,5682651
Households,Financial assets (FA),2005K4,5838069
Households,Financial assets (FA),2006K1,6218540
Households,Financial assets (FA),2006K2,6054958
Households,Financial assets (FA),2006K3,6361487
Households,Financial assets (FA),2006K4,6623694
Households,Financial assets (FA),2007K1,6963639
Households,Financial assets (FA),2007K2,7194586
Households,Financial assets (FA),2007K3,7251505
Households,Financial assets (FA),2007K4,6919833
Households,Financial assets (FA),2008K1,6841002
Households,Financial assets (FA),2008K2,6743417
Households,Financial assets (FA),2008K3,6697863
Households,Financial assets (FA),2008K4,6631677
Households,Financial assets (FA),2009K1,6625284
Households,Financial assets (FA),2009K2,7002485
Households,Financial assets (FA),2009K3,7354778
Households,Financial assets (FA),2009K4,7526536
Households,Financial assets (FA),2010K1,7841600
Households,Financial assets (FA),2010K2,7861350
Households,Financial assets (FA),2010K3,8163726
Households,Financial assets (FA),2010K4,8433837
Households,Financial assets (FA),2011K1,8423819
Households,Financial assets (FA),2011K2,8357916
Households,Financial assets (FA),2011K3,7909255
Households,Financial assets (FA),2011K4,8137587
Households,Financial assets (FA),2012K1,8506694
Households,Financial assets (FA),2012K2,8453690
Households,Financial assets (FA),2012K3,8596717
