economic indicator,quarter,export_growth
Exports of goods and  services,1981K1,NA
Exports of goods and  services,1981K2,0.6
Exports of goods and  services,1981K3,3.4
Exports of goods and  services,1981K4,4.8
Exports of goods and  services,1982K1,-0.4
Exports of goods and  services,1982K2,-0.1
Exports of goods and  services,1982K3,0.9
Exports of goods and  services,1982K4,1.8
Exports of goods and  services,1983K1,5.1
Exports of goods and  services,1983K2,2.8
Exports of goods and  services,1983K3,-0.3
Exports of goods and  services,1983K4,1.8
Exports of goods and  services,1984K1,7.6
Exports of goods and  services,1984K2,-2.6
Exports of goods and  services,1984K3,0.5
Exports of goods and  services,1984K4,2.8
Exports of goods and  services,1985K1,-5.5
Exports of goods and  services,1985K2,4.8
Exports of goods and  services,1985K3,5.1
Exports of goods and  services,1985K4,-2.6
Exports of goods and  services,1986K1,1.3
Exports of goods and  services,1986K2,0.4
Exports of goods and  services,1986K3,1.6
Exports of goods and  services,1986K4,-1.1
Exports of goods and  services,1987K1,0.5
Exports of goods and  services,1987K2,2
Exports of goods and  services,1987K3,1
Exports of goods and  services,1987K4,3.7
Exports of goods and  services,1988K1,-4.8
Exports of goods and  services,1988K2,4.3
Exports of goods and  services,1988K3,-1.4
Exports of goods and  services,1988K4,3
Exports of goods and  services,1989K1,1.5
Exports of goods and  services,1989K2,-1.2
Exports of goods and  services,1989K3,2.5
Exports of goods and  services,1989K4,-1.6
Exports of goods and  services,1990K1,2.3
Exports of goods and  services,1990K2,2.1
Exports of goods and  services,1990K3,-2
Exports of goods and  services,1990K4,0.9
Exports of goods and  services,1991K1,-1.3
Exports of goods and  services,1991K2,0.7
Exports of goods and  services,1991K3,-3.8
Exports of goods and  services,1991K4,2.6
Exports of goods and  services,1992K1,3.9
Exports of goods and  services,1992K2,-2.5
Exports of goods and  services,1992K3,3.2
Exports of goods and  services,1992K4,-5.9
Exports of goods and  services,1993K1,NA
Exports of goods and  services,1993K2,1.5
Exports of goods and  services,1993K3,6.9
Exports of goods and  services,1993K4,0
Exports of goods and  services,1994K1,4.8
Exports of goods and  services,1994K2,2.5
Exports of goods and  services,1994K3,1.4
Exports of goods and  services,1994K4,6.5
Exports of goods and  services,1995K1,4.8
Exports of goods and  services,1995K2,0.7
Exports of goods and  services,1995K3,-0.3
Exports of goods and  services,1995K4,0.3
Exports of goods and  services,1996K1,1.2
Exports of goods and  services,1996K2,3.2
Exports of goods and  services,1996K3,-0.6
Exports of goods and  services,1996K4,3.1
Exports of goods and  services,1997K1,5.4
Exports of goods and  services,1997K2,4.9
Exports of goods and  services,1997K3,1.6
Exports of goods and  services,1997K4,3.1
Exports of goods and  services,1998K1,1.4
Exports of goods and  services,1998K2,1.1
Exports of goods and  services,1998K3,2.8
Exports of goods and  services,1998K4,2.1
Exports of goods and  services,1999K1,-0.1
Exports of goods and  services,1999K2,2.1
Exports of goods and  services,1999K3,3.4
Exports of goods and  services,1999K4,0.6
Exports of goods and  services,2000K1,3.2
Exports of goods and  services,2000K2,4.4
Exports of goods and  services,2000K3,4.3
Exports of goods and  services,2000K4,0.8
Exports of goods and  services,2001K1,-2.3
Exports of goods and  services,2001K2,-1.9
Exports of goods and  services,2001K3,1.1
Exports of goods and  services,2001K4,1.1
Exports of goods and  services,2002K1,0.9
Exports of goods and  services,2002K2,1
