region,quarter,Index
Sweden,1986K1,111
Sweden,1986K2,113
Sweden,1986K3,116
Sweden,1986K4,119
Sweden,1987K1,124
Sweden,1987K2,127
Sweden,1987K3,131
Sweden,1987K4,136
Sweden,1988K1,143
Sweden,1988K2,149
Sweden,1988K3,158
Sweden,1988K4,162
Sweden,1989K1,172
Sweden,1989K2,180
Sweden,1989K3,187
Sweden,1989K4,188
Sweden,1990K1,199
Sweden,1990K2,203
Sweden,1990K3,207
Sweden,1990K4,204
Sweden,1991K1,218
Sweden,1991K2,217
Sweden,1991K3,218
Sweden,1991K4,216
Sweden,1992K1,206
Sweden,1992K2,202
Sweden,1992K3,196
Sweden,1992K4,183
Sweden,1993K1,175
Sweden,1993K2,175
Sweden,1993K3,174
Sweden,1993K4,176
Sweden,1994K1,179
Sweden,1994K2,184
Sweden,1994K3,186
Sweden,1994K4,183
Sweden,1995K1,183
Sweden,1995K2,186
Sweden,1995K3,184
Sweden,1995K4,181
Sweden,1996K1,182
Sweden,1996K2,184
Sweden,1996K3,187
Sweden,1996K4,187
Sweden,1997K1,190
Sweden,1997K2,197
Sweden,1997K3,201
Sweden,1997K4,201
Sweden,1998K1,207
Sweden,1998K2,214
Sweden,1998K3,220
Sweden,1998K4,223
Sweden,1999K1,226
Sweden,1999K2,235
Sweden,1999K3,242
Sweden,1999K4,242
Sweden,2000K1,249
Sweden,2000K2,261
Sweden,2000K3,270
Sweden,2000K4,271
Sweden,2001K1,279
Sweden,2001K2,283
Sweden,2001K3,288
Sweden,2001K4,284
Sweden,2002K1,289
Sweden,2002K2,298
Sweden,2002K3,309
Sweden,2002K4,310
Sweden,2003K1,312
Sweden,2003K2,319
Sweden,2003K3,326
Sweden,2003K4,329
Sweden,2004K1,336
Sweden,2004K2,350
Sweden,2004K3,358
Sweden,2004K4,362
Sweden,2005K1,364
Sweden,2005K2,377
Sweden,2005K3,392
Sweden,2005K4,400
Sweden,2006K1,413
Sweden,2006K2,426
Sweden,2006K3,439
Sweden,2006K4,442
Sweden,2007K1,446
Sweden,2007K2,470
Sweden,2007K3,491
Sweden,2007K4,492
Sweden,2008K1,486
Sweden,2008K2,493
Sweden,2008K3,500
Sweden,2008K4,482
Sweden,2009K1,475
Sweden,2009K2,494
Sweden,2009K3,507
Sweden,2009K4,516
Sweden,2010K1,526
Sweden,2010K2,538
Sweden,2010K3,541
Sweden,2010K4,543
Sweden,2011K1,544
Sweden,2011K2,547
Sweden,2011K3,546
Sweden,2011K4,527
Sweden,2012K1,525
Sweden,2012K2,531
Sweden,2012K3,539
Sweden,2012K4,539
Sweden,2013K1,539
Sweden,2013K2,547
Sweden,2013K3,555
Sweden,2013K4,560
Sweden,2014K1,569
Sweden,2014K2,583
Sweden,2014K3,601
Sweden,2014K4,608
Sweden,2015K1,621
Sweden,2015K2,644
Sweden,2015K3,667
Sweden,2015K4,684
Sweden,2016K1,686
Sweden,2016K2,701
Sweden,2016K3,724
Sweden,2016K4,727
Sweden,2017K1,742
Sweden,2017K2,766
Sweden,2017K3,782
Sweden,2017K4,782
Sweden,2018K1,775
Sweden,2018K2,766
Sweden,2018K3,770
Sweden,2018K4,769
Sweden,2019K1,771
Sweden,2019K2,781
Sweden,2019K3,797
Sweden,2019K4,799
Sweden,2020K1,808
Sweden,2020K2,825
Sweden,2020K3,847
Sweden,2020K4,881
Sweden,2021K1,913
Sweden,2021K2,967
Sweden,2021K3,1018
Sweden,2021K4,1020
Sweden,2022K1,1029
Sweden,2022K2,1054
Sweden,2022K3,1045
Sweden,2022K4,982
Sweden,2023K1,937
Sweden,2023K2,923
Sweden,2023K3,929
Sweden,2023K4,919
Sweden,2024K1,910
Sweden,2024K2,921
Sweden,2024K3,942
Sweden,2024K4,936
Sweden,2025K1,939
Sweden,2025K2,946
Sweden,2025K3,952
Sweden,2025K4,941
Sweden,2026K1,951
Greater Stockholm,1986K1,116
Greater Stockholm,1986K2,117
Greater Stockholm,1986K3,123
Greater Stockholm,1986K4,131
Greater Stockholm,1987K1,136
Greater Stockholm,1987K2,143
Greater Stockholm,1987K3,150
Greater Stockholm,1987K4,159
Greater Stockholm,1988K1,170
Greater Stockholm,1988K2,185
Greater Stockholm,1988K3,199
Greater Stockholm,1988K4,198
Greater Stockholm,1989K1,213
Greater Stockholm,1989K2,224
Greater Stockholm,1989K3,230
Greater Stockholm,1989K4,230
Greater Stockholm,1990K1,240
Greater Stockholm,1990K2,250
Greater Stockholm,1990K3,252
Greater Stockholm,1990K4,250
Greater Stockholm,1991K1,256
Greater Stockholm,1991K2,256
Greater Stockholm,1991K3,254
Greater Stockholm,1991K4,247
Greater Stockholm,1992K1,234
Greater Stockholm,1992K2,223
Greater Stockholm,1992K3,210
Greater Stockholm,1992K4,194
Greater Stockholm,1993K1,186
Greater Stockholm,1993K2,181
Greater Stockholm,1993K3,184
Greater Stockholm,1993K4,185
Greater Stockholm,1994K1,193
Greater Stockholm,1994K2,203
Greater Stockholm,1994K3,208
Greater Stockholm,1994K4,204
Greater Stockholm,1995K1,205
Greater Stockholm,1995K2,208
Greater Stockholm,1995K3,204
Greater Stockholm,1995K4,205
Greater Stockholm,1996K1,203
Greater Stockholm,1996K2,204
Greater Stockholm,1996K3,208
Greater Stockholm,1996K4,211
Greater Stockholm,1997K1,216
Greater Stockholm,1997K2,232
Greater Stockholm,1997K3,240
Greater Stockholm,1997K4,241
Greater Stockholm,1998K1,251
Greater Stockholm,1998K2,267
Greater Stockholm,1998K3,274
Greater Stockholm,1998K4,279
Greater Stockholm,1999K1,286
Greater Stockholm,1999K2,304
Greater Stockholm,1999K3,317
Greater Stockholm,1999K4,321
Greater Stockholm,2000K1,339
Greater Stockholm,2000K2,369
Greater Stockholm,2000K3,387
Greater Stockholm,2000K4,397
Greater Stockholm,2001K1,409
Greater Stockholm,2001K2,415
Greater Stockholm,2001K3,415
Greater Stockholm,2001K4,407
Greater Stockholm,2002K1,412
Greater Stockholm,2002K2,433
Greater Stockholm,2002K3,443
Greater Stockholm,2002K4,442
Greater Stockholm,2003K1,439
Greater Stockholm,2003K2,443
Greater Stockholm,2003K3,442
Greater Stockholm,2003K4,445
Greater Stockholm,2004K1,454
Greater Stockholm,2004K2,475
Greater Stockholm,2004K3,480
Greater Stockholm,2004K4,484
Greater Stockholm,2005K1,489
Greater Stockholm,2005K2,499
Greater Stockholm,2005K3,514
Greater Stockholm,2005K4,528
Greater Stockholm,2006K1,551
Greater Stockholm,2006K2,568
Greater Stockholm,2006K3,580
Greater Stockholm,2006K4,589
Greater Stockholm,2007K1,604
Greater Stockholm,2007K2,648
Greater Stockholm,2007K3,682
Greater Stockholm,2007K4,681
Greater Stockholm,2008K1,663
Greater Stockholm,2008K2,676
Greater Stockholm,2008K3,685
Greater Stockholm,2008K4,659
Greater Stockholm,2009K1,639
Greater Stockholm,2009K2,665
Greater Stockholm,2009K3,683
Greater Stockholm,2009K4,698
Greater Stockholm,2010K1,726
Greater Stockholm,2010K2,744
Greater Stockholm,2010K3,745
Greater Stockholm,2010K4,747
Greater Stockholm,2011K1,750
Greater Stockholm,2011K2,760
Greater Stockholm,2011K3,763
Greater Stockholm,2011K4,731
Greater Stockholm,2012K1,737
Greater Stockholm,2012K2,744
Greater Stockholm,2012K3,754
Greater Stockholm,2012K4,747
Greater Stockholm,2013K1,752
Greater Stockholm,2013K2,766
Greater Stockholm,2013K3,775
Greater Stockholm,2013K4,788
Greater Stockholm,2014K1,823
Greater Stockholm,2014K2,842
