country,quarter,gdp_growth_qoq
AUS,1996-Q1,1.523513993
AUS,1996-Q2,0.641597463
AUS,1996-Q3,0.814778394
AUS,1996-Q4,0.922654298
AUS,1997-Q1,0.711716865
AUS,1997-Q2,2.988976985
AUS,1997-Q3,0.153399511
AUS,1997-Q4,1.42943038
AUS,1998-Q1,0.614943981
AUS,1998-Q2,1.05306244
AUS,1998-Q3,1.859864246
AUS,1998-Q4,1.543026706
AUS,1999-Q1,0.746142458
AUS,1999-Q2,0.388418703
AUS,1999-Q3,1.098266066
AUS,1999-Q4,1.695367697
AUS,2000-Q1,0.394877999
AUS,2000-Q2,0.985017279
AUS,2000-Q3,0.272416685
AUS,2000-Q4,-0.406111601
AUS,2001-Q1,0.947418552
AUS,2001-Q2,0.899723913
AUS,2001-Q3,1.125485552
AUS,2001-Q4,1.188196284
AUS,2002-Q1,0.7813873
AUS,2002-Q2,1.740600142
AUS,2002-Q3,0.230728866
AUS,2002-Q4,0.834236585
AUS,2003-Q1,0.235598611
AUS,2003-Q2,0.408920772
AUS,2003-Q3,1.687089925
AUS,2003-Q4,1.692240626
AUS,2004-Q1,0.754827663
AUS,2004-Q2,0.754895375
AUS,2004-Q3,0.661819906
AUS,2004-Q4,0.757070241
AUS,2005-Q1,0.822721628
AUS,2005-Q2,0.465117402
AUS,2005-Q3,1.080970638
AUS,2005-Q4,0.808538163
AUS,2006-Q1,0.078082243
AUS,2006-Q2,0.284035329
AUS,2006-Q3,1.501476091
AUS,2006-Q4,1.23403329
AUS,2007-Q1,1.376825684
AUS,2007-Q2,0.664283909
AUS,2007-Q3,1.171412689
AUS,2007-Q4,0.351165604
AUS,2008-Q1,1.123992414
AUS,2008-Q2,0.367006528
AUS,2008-Q3,0.674771759
AUS,2008-Q4,-0.434732819
AUS,2009-Q1,1.022567225
AUS,2009-Q2,0.647028117
AUS,2009-Q3,0.310975935
AUS,2009-Q4,0.805988314
AUS,2010-Q1,0.459927813
AUS,2010-Q2,0.642295708
AUS,2010-Q3,0.666379962
AUS,2010-Q4,0.83596365
AUS,2011-Q1,-0.272711007
AUS,2011-Q2,1.225605946
AUS,2011-Q3,1.357859695
AUS,2011-Q4,1.111131211
AUS,2012-Q1,1.065523747
AUS,2012-Q2,0.721873961
AUS,2012-Q3,0.588592553
AUS,2012-Q4,0.438375951
AUS,2013-Q1,0.544708422
AUS,2013-Q2,0.3698869
AUS,2013-Q3,0.810407541
AUS,2013-Q4,0.779952652
AUS,2014-Q1,0.800876288
AUS,2014-Q2,0.479550823
AUS,2014-Q3,0.403178521
AUS,2014-Q4,0.369486668
AUS,2015-Q1,0.979330981
AUS,2015-Q2,0.097312564
AUS,2015-Q3,0.989174451
AUS,2015-Q4,0.614689208
AUS,2016-Q1,0.925662819
AUS,2016-Q2,0.640969669
AUS,2016-Q3,0.005665943
AUS,2016-Q4,1.154370496
AUS,2017-Q1,0.332032276
AUS,2017-Q2,0.57289695
AUS,2017-Q3,0.958698099
AUS,2017-Q4,0.391727001
AUS,2018-Q1,1.062606321
AUS,2018-Q2,0.705640894
AUS,2018-Q3,0.383558603
AUS,2018-Q4,0.239708531
AUS,2019-Q1,0.787926592
AUS,2019-Q2,0.256664915
AUS,2019-Q3,0.576513762
AUS,2019-Q4,0.58817242300000006
AUS,2020-Q1,-0.156931467
AUS,2020-Q2,-6.789603977
