country,iso_code,19954,19961,19962,19963,19964,19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214,20221,20222,20223,20224,20231,20232,20233,20234,20241,20242,20243,20244
Australien,AUS,61.29557,61.48131,61.94567,62.13141,62.22429,62.31716,62.13141,61.8528,62.03854,62.22429,62.59578,62.68865,62.96726,62.96726,63.24588,63.80311,64.1746,64.73183,65.19619,67.70374,67.88948,68.63246,69.18969,69.37543,70.02554,70.67564,71.14001,71.60436,72.06873,72.99744,72.99744,73.46181,73.8333,74.4834,74.85489,75.13351,75.69073,76.24797,76.71233,77.45531,77.82679,78.4769,79.77711,80.52008,80.42721,80.42721,81.44881,82.00603,82.74902,83.86348,85.07082,86.09241,85.81379,85.90666,86.27815,87.114,87.57836,88.41421,88.97144,89.62154,89.99303,91.29324,92.12909,92.68633,92.68633,92.7792,93.24356,94.54376,94.72951,95.101,95.47249,96.58695,97.32993,97.88716,98.35152,98.81588,99.00163,99.18737,99.83747,100.3018,100.6733,100.4876,100.8591,101.602,102.1593,102.6236,102.8094,103.4595,104.1096,104.574,104.9454,105.4098,105.967,105.967,106.6171,107.1744,107.9173,108.2888,106.2456,107.9173,108.8461,109.4962,110.332,111.1679,112.6538,115.0685,117.1117,119.2477,121.4767,123.1484,124.17,125.6559,126.3989,127.6062,128.9064,129.185,129.4637
Österrike,AUT,69.63699,70.28645,70.6178,71.55884,71.19435,71.62511,71.81066,71.83054,72.09563,72.38059,72.54626,72.46674,72.61916,72.71857,72.81135,72.80472,73.32825,73.86505,74.34882,74.88561,75.40253,75.91901,76.64039,76.83939,77.01352,77.41152,78.00852,78.15778,78.38165,78.77966,78.92891,79.15279,79.32691,79.84929,80.49604,80.86917,81.49105,82.16676,82.49686,82.66191,82.79945,83.10204,83.84476,83.9548,83.9823,84.47745,85.44023,85.57777,86.65059,87.28328,88.52114,88.76871,88.57616,88.24606,88.76871,88.79623,89.12632,89.48392,90.50172,90.39169,90.99687,92.05515,93.50104,93.59141,94.10349,94.43484,95.57951,95.79037,96.72417,96.78442,97.62785,97.53749,98.23031,98.32068,99.34486,99.16412,99.61596,99.1584,100.3583,100.0917,100.3916,100.125,100.9249,100.7916,101.7249,102.1581,102.8914,102.9581,103.958,103.9913,104.8913,105.1579,106.1578,105.7912,106.6578,106.6245,107.5577,107.7713,107.7713,108.1317,108.8526,109.213,110.4745,111.5198,113.286,115.5928,119.1611,122.4411,125.2886,127.6314,129.6859,130.7673,132.1009,133.1101,133.9031,133.831,134.624
Belgien-Luxemburg,BEL_LUX,69.23904,70.04782,70.17005,70.66227,70.94637,71.39565,71.24039,71.92091,71.85815,71.911,72.41314,72.4693,72.34046,72.67081,73.08045,73.13331,73.49008,74.11445,74.77515,75.33675,75.58782,75.73318,76.9786,77.23958,77.26601,77.80448,78.0126,78.21742,78.23724,79.02679,79.08625,79.53552,79.58508,80.074,80.87345,81.31282,81.62666,82.18164,83.07029,83.86314,83.78055,84.0184,84.73527,85.11186,84.99294,85.48846,85.96417,86.24497,87.33844,88.76225,90.31161,91.0648,90.38759,90.19929,90.04402,89.95483,90.13652,91.09123,92.00301,92.29372,92.83549,94.16681,95.20412,95.65009,96.20839,97.51658,97.8205,98.17728,98.54067,98.73888,99.05272,99.29387,99.33351,99.72663,99.46565,99.37315,99.20138,99.24763,99.95457,100.1759,100.6219,101.0249,102.0854,102.2803,102.5049,103.6842,104.0377,104.2194,104.6258,105.2666,105.9174,106.5682,107.3677,107.5428,107.9293,107.807,107.9491,108.6627,108.5206,108.6891,108.5503,109.2441,110.0832,111.5367,114.1597,117.9621,119.964,123.0032,126.8056,126.3464,125.9401,127.3474,127.8495,129.7688,130.3403,131.4041,131.9227
Brasilien,BRA,28.43479,29.48983,30.39784,31.2095,31.49665,32.16354,32.75872,32.99576,33.16753,33.65839,33.9822,33.86194,33.7713,34.43362,35.09246,35.72484,36.59512,37.14445,37.40252,38.42632,38.86459,39.45173,40.01985,40.97621,41.77634,42.46077,43.1432,44.10481,46.22355,49.09841,50.41639,50.81546,51.49038,52.41394,53.18453,54.32116,55.21549,56.3153,57.32997,57.69175,58.57688,59.41839,59.79285,59.9043,60.41697,61.19367,61.76016,62.31359,62.98712,64.02979,65.19425,66.21503,66.91284,67.73239,68.56879,69.1298,69.74478,71.02673,72.06993,72.30759,73.63686,75.36126,76.82077,77.46785,78.57331,79.70692,80.66382,81.52752,82.97976,84.77028,85.95911,86.47843,87.82665,89.69273,91.45432,92.17518,93.54961,96.5619,99.24072,100.9553,103.2421,106.3569,108.3177,109.767,110.515,111.5608,112.1711,112.586,113.629,114.6772,115.9132,117.5412,118.3051,119.3573,120.917,121.2801,122.2942,123.9305,123.5002,124.4655,127.4925,130.4809,133.0346,136.4667,140.8642,144.4992,148.8869,148.2647,149.3866,152.2088,154.4831,155.076,156.4192,158.7661,160.5811,161.879,163.9599
Kanada,CAN,69.39689,69.68659,70.23966,70.34501,70.7664,71.16145,71.37214,71.5565,71.50382,71.89886,72.08322,72.16223,72.29391,72.45193,73.24203,73.74243,74.00579,74.3745,75.03292,75.74401,76.27074,76.42876,77.71925,77.79826,77.08717,77.61391,78.77271,79.61549,80.01054,81.09033,80.95865,81.27469,81.40637,81.82776,82.74954,82.90756,83.27627,83.56597,84.32973,85.06716,85.11983,85.54121,86.48933,86.54201,86.27864,87.09508,88.38557,88.38557,88.35923,88.648929999999993,90.46616,91.41428,90.04477,89.75507,90.51883,90.62418,90.75586,91.20358,91.78299,92.28338,92.81011,93.57388,94.86436,95.04872,95.31209,95.75981,96.36555,96.20753,96.20753,96.62891,97.10297,97.31367,97.10297,97.97208,99.26257,99.34158,98.97287,99.02554,100.158,100.5267,100.2897,100.5531,101.7119,101.7645,101.6855,102.4756,103.055,103.1604,103.5028,104.5826,105.4253,105.9257,105.6097,106.2681,107.6903,107.98,107.822,108.1907,107.7166,108.2697,108.6647,109.7445,111.32470000000001,112.6679,113.8004,116.1443,119.7261,120.7269,121.3853,122.1227,123.9399,125.1778,125.2831,125.5992,127.3374,127.7324,127.6797
Schweiz,CHE,90.26676,90.66876,90.74939,90.80351,90.97419,91.33298,91.22747,91.22774,91.2971,91.336429999999993,91.27628,91.31181,91.22626,91.58853,91.80679,92.19412,92.50607,93.02094,93.28243,93.56211,93.96691,93.96668,94.68564,94.52158,94.35578,94.49454,95.33841,94.8102,95.31294,95.48195,95.85765,95.23312,95.80853,95.53461,96.68758,96.09796,97.13128,96.82638,97.71157,97.23396,98.19684,98.02145,99.00865,98.42298,98.64742,98.10749,99.52773,99.04731,100.3042,100.5347,102.1992,101.9935,101.8905,100.5182,101.4328,101.0039,101.7092,101.6425,102.4351,101.3389,102.0327,102.2503,102.8418,101.7273,101.5723,101.3545,101.7939,101.192,101.223,100.9758,101.3628,101.1573,101.1861,100.9475,101.467,101.1626,101.0515,100.2071,100.3367,99.77255,99.68357,99.2197,99.94674,99.5971,99.49799,99.7367,100.3179,100.0765,100.2563,100.4561,101.3041,101.2108,101.1654,101.0817,101.9599,101.4733,101.088,100.9542,100.7151,100.5986,100.3909,100.519,101.2131,101.4379,101.8316,102.5922,104.2079,104.8658,104.8175,105.8744,106.4415,106.5485,106.5126,107.1064,107.8912,107.6827,107.2156
Kina,CHN,66.33797,68.43523,70.00101,69.88256,70.95956,71.96712,72.05466,71.36991,71.66868,72.18226,71.43173,70.34659,70.88027,71.14736,69.88374,69.52779,70.28999,71.21915,69.95148,69.71136,70.94372,71.69186,71.04778,70.2639,70.84885,71.2711,70.34344,69.73151,70.4286,71.6058,70.77215,70.29418,72.27983,73.58439,73.82867,73.92466,74.51263,75.6049,75.06893,74.89146,75.54058,76.67402,76.3139,76.08392,77.00058,78.78079,79.06779,80.7932,82.17343,85.15934,85.28526,85.08582,84.29391,84.6265,83.97952,84.00587,84.73795,86.37958,86.26215,86.7483,88.67176,90.89174,91.39828,92.33354,92.76922,94.27955,93.93101,94.08586,94.72031,96.60223,96.17685,96.65771,97.46173,98.76667,98.23333,98.5,98.83334,99.9,99.56667,100.2667,100.2667,102,101.6667,101.9,102.4333,103.4667,103.2,103.5333,104.3,105.6667,104.9667,105.9,106.5667,107.6,107.7667,108.9333,111.0667,112.9333,110.7,111.0667,111.2,112.8103,112.1038,112.1782,113.1821,114.1116,114.6322,115.1527,115.2643,115.5246,114.7437,115.0784,114.8925,115.4874,115.004,115.6361,115.1156
Tjeckien,CZE,53.5333333333333,55.4,56.3,57.4,58.1333333333333,59.3666666666666,60.1666666666666,63.1,64.1333333333333,67.2333333333333,67.8,69.2,68.9333333333333,69.3,69.4,70.0333333333333,70.2666666666666,71.7333333333333,71.9333333333333,72.7666666666666,73.1,74.6333333333333,75.5,76.7,76.2,77.5,77.3333333333333,77.3,76.6666666666666,77.2,77.4,77.2666666666666,77.3,79.0333333333333,79.4,79.6666666666666,79.6,80.3,80.6333333333333,81.1333333333333,81.5333333333333,82.6,82.9333333333333,83.5333333333333,82.7333333333333,83.8333333333333,84.9666666666666,85.7,86.7666666666666,90.0666666666666,90.7333333333333,91.3666666666666,90.8,91.9666666666666,92,91.4666666666666,91.2333333333333,92.5666666666666,93.1666666666666,93.2333333333333,93.1,94.2,94.8,94.9,95.3,97.6333333333333,98,98,98.0333333333333,99.4,99.5,99.2333333333333,99.1666666666666,99.5666666666666,99.6666666666666,99.8333333333333,99.6,99.6666666666666,100.333333333333,100.2,99.7,100.133333333333,100.6,100.733333333333,101.166666666666,102.566666666666,102.833333333333,103.3,103.8,104.466666666666,105.166666666666,105.766666666666,105.966666666666,107.3,108.133333333333,108.766666666666,109.166666666666,111.166666666666,111.5,112.366666666666,112.033333333333,113.6,114.733333333333,117,118.9,126.366666666666,132.833333333333,137.566666666666,137.566666666666,147.066666666666,147.633333333333,148.633333333333,147.966666666666,150.133333333333,151.266666666666,152.066666666666,152.233333333333
Tyskland,DEU,75.19341,75.87755,76.12633,76.31291,76.344,77.21473,77.30802,78.08546,77.96107,78.17875,78.36533,78.55192,78.30314,78.33424,78.7696,79.08057,79.04948,79.54704,79.64033,80.16898,80.41776,80.91531,81.66165,81.78604,81.75494,82.53238,82.71896,82.78116,82.71896,83.4653,83.37201,83.65189,83.68298,84.27383,84.92687,85.17565,85.36224,85.64211,85.98418,86.57504,86.79272,87.10369,87.57015,87.85003,87.91222,88.65856,89.37379,89.84026,90.61769,91.27074,91.95488,92.60793,92.07927,92.01707,92.20366,92.39024,92.45244,92.76341,93.22987,93.41645,93.72742,94.50486,95.09571,95.46888,95.81095,96.52619,96.86826,97.39691,97.73898,98.01886,98.32983,98.98288,99.04507,99.20056,99.38715,99.82251,99.54263,99.14986,100.3501,100.5501,99.94999,99.44991,100.4834,101.0502,100.9835,101.0835,101.917,102.6171,102.4171,102.4171,103.6839,104.5508,104.4507,103.8173,105.4509,106.0844,105.751,105.4987,105.8852,105.1121,105.2175,107.0801,108.2047,109.1887,110.1727,112.211,115.409,117.2715,119.6261,121.4535,122.9646,123.8432,123.8784,124.5109,125.7761,126.2329,126.7249
