observation_date,GDP_Real,year
1952-01-01,187099.921875,1952
1953-01-01,200522.296875,1953
1954-01-01,208047.984375,1954
1955-01-01,216307.8125,1955
1956-01-01,244697.3125,1956
1957-01-01,256734.890625,1957
1958-01-01,293452.46875,1958
1959-01-01,308740.28125,1959
1960-01-01,302222.4375,1960
1961-01-01,245150.078125,1961
1962-01-01,244256.328125,1962
1963-01-01,264542.65625,1963
1964-01-01,298682.03125,1964
1965-01-01,335528.9375,1965
1966-01-01,361677.8125,1966
1967-01-01,349710.84375,1967
1968-01-01,340278.59375,1968
1969-01-01,374077.0625,1969
1970-01-01,417947.15625,1970
1971-01-01,447203.4375,1971
1972-01-01,464197.125,1972
1973-01-01,500868.75,1973
1974-01-01,512388.71875,1974
1975-01-01,556966.5625,1975
1976-01-01,548055.125,1976
1977-01-01,589707.25,1977
1978-01-01,658703,1978
1979-01-01,708715.3125,1979
1980-01-01,764227.5,1980
1981-01-01,803291.75,1981
1982-01-01,875739.75,1982
1983-01-01,970043.8125,1983
1984-01-01,1117421.875,1984
1985-01-01,1267498.75,1985
1986-01-01,1380926.875,1986
1987-01-01,1541915,1987
1988-01-01,1714947.375,1988
1989-01-01,1787095.625,1989
1990-01-01,1857144.75,1990
1991-01-01,2029162.375,1991
1992-01-01,2317807.25,1992
1993-01-01,2639603.75,1993
1994-01-01,2983718.25,1994
1995-01-01,3310553,1995
1996-01-01,3639051,1996
1997-01-01,3975175,1997
1998-01-01,4287072,1998
1999-01-01,4615530.5,1999
2000-01-01,5007389.5,2000
2001-01-01,5424793,2001
2002-01-01,5920274,2002
2003-01-01,6514553.5,2003
2004-01-01,7173414,2004
2005-01-01,7990793.5,2005
2006-01-01,9007300,2006
2007-01-01,10289115,2007
2008-01-01,11282083,2008
2009-01-01,12342457,2009
2010-01-01,13655183,2010
2011-01-01,14959365,2011
2012-01-01,16135730,2012
2013-01-01,17388854,2013
2014-01-01,18680110,2014
2015-01-01,19995438,2015
2016-01-01,21364878,2016
2017-01-01,22849138,2017
2018-01-01,24391402,2018
2019-01-01,25842820,2019
2020-01-01,26421342,2020
2021-01-01,28653542,2021
2022-01-01,29499014,2022
2023-01-01,31047584,2023
