"","country","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"1","Australien",0.93,1.02,1.07,1.04,1.06,1.09,1,0.82,0.87,0.82,0.81,0.87,0.91,0.88,1.02,1.17,1.04,1.22,1.34,1.41,1.49,1.46,1.33,1.24,1.14,1.15,1.24,1.24,1.33,1.29,1.24,1.3
"2","Belgien-Luxemburg",4.28,4.53,4.55,4.8,4.6,4.57,4.44,4.78,4.82,4.72,4.88,5.06,5.04,5.01,4.84,5.12,5.17,5.03,4.84,4.75,4.86,4.82,5.34,4.98,5.16,5.38,5.45,5.08,3.97,3.99,4.01,4.25
"3","Brasilien",0.65,0.59,0.65,0.76,0.77,0.82,0.89,1.01,0.92,0.88,0.91,0.81,0.78,0.93,0.92,0.85,0.92,1.06,0.94,1.31,1.46,1.41,1.23,1.19,1.02,0.96,1,1.06,1.08,1.09,1.13,1.25
"4","Danmark",6.02,6.11,5.66,5.68,5.52,5.27,4.94,4.9,4.88,4.65,4.8,4.84,4.81,4.66,4.75,4.34,4.46,4.39,4.67,4.11,3.99,4.17,4.32,4.42,4.01,4.18,3.87,3.82,3.93,4.11,4.05,3.58
"5","Finland",5.67,5.11,4.73,5.03,5.34,5.21,5.14,5.19,5,4.87,4.67,4.65,4.67,4.87,5,4.96,5,4.73,4.56,4.47,4.42,4.25,4.36,4.25,4.02,4.01,4,3.96,4,4.09,4.02,3.78
"6","Frankrike",6.75,6.93,7.09,6.91,7.13,7.17,7.21,7.39,7.42,7.21,7.4,7.1,6.84,6.62,6.28,5.95,6.03,6.07,5.95,5.66,5.6,5.3,5.11,5.07,4.93,4.93,4.68,4.6,4.66,4.63,4.53,4.43
"7","Grekland",0.42,0.43,0.43,0.41,0.39,0.35,0.4,0.43,0.44,0.43,0.33,0.33,0.38,0.37,0.37,0.4,0.34,0.33,0.33,0.29,0.24,0.26,0.27,0.25,0.22,0.22,0.23,0.25,0.24,0.23,0.25,0.29
"8","Indien",0.42,0.43,0.48,0.62,0.54,0.68,0.55,0.46,0.46,0.53,0.62,0.79,0.85,0.92,0.82,0.92,0.96,1.08,1.24,1.31,1.34,1.22,1.16,1.17,1.18,1.12,1.14,1.16,1.15,1.05,1.23,1.45
"9","Irland",0.88,0.96,0.99,1.12,1.06,1.13,1.16,1.4,1.4,1.45,1.58,1.44,1.32,1.2,1.11,1.07,1.01,0.86,0.88,0.71,0.74,0.71,0.73,0.7,0.9,0.85,0.77,0.81,0.84,0.83,0.779999999999999,0.779999999999999
"10","Island",0.11,0.09,0.09,0.08,0.08,0.07,0.1,0.08,0.08,0.08,0.08,0.08,0.09,0.1,0.1,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
"11","Italien",5.67,5.39,5.09,4.97,4.91,5.01,4.81,5.12,4.97,4.83,4.67,4.68,4.72,4.79,4.46,4.66,4.76,4.61,4.33,4.18,4.07,3.89,3.93,3.95,4.06,4.08,4.15,4.15,4.27,4.22,4.29,4.39
"12","Japan",5.23,5.06,5.22,5.1,4.96,4.76,4.76,4.03,4.38,4.83,4.27,3.81,3.51,3.37,2.99,2.85,2.5,2.54,2.41,2.55,2.53,2.65,2.24,2.18,2.23,2.39,2.32,2.31,2.4,2.26,2.08,2.11
