date,value
1995-01-02,119.0586
1995-01-03,118.97216
1995-01-04,118.50262
1995-01-05,118.70269
1995-01-09,119.58636
1995-01-10,119.70981
1995-01-11,120.66753
1995-01-12,119.94844
1995-01-13,120.52817
1995-01-16,119.83088
1995-01-17,120.14551
1995-01-18,119.76126
1995-01-19,120.20111
1995-01-20,120.34199
1995-01-23,120.24858
1995-01-24,120.83529
1995-01-25,120.83068
1995-01-26,121.10549
1995-01-27,121.02492
1995-01-30,120.33194
1995-01-31,120.59003
1995-02-01,120.58064
1995-02-02,120.3559
1995-02-03,120.25902
1995-02-06,120.15884
1995-02-07,119.516
1995-02-08,119.7877
1995-02-09,120.10585
1995-02-10,119.54238
1995-02-13,119.64927
1995-02-14,119.52472
1995-02-15,119.21296
1995-02-16,119.52691
1995-02-17,119.95004
1995-02-20,119.97487
1995-02-21,119.832
1995-02-22,120.56289
1995-02-23,119.8563
1995-02-24,119.6235
1995-02-27,119.94258
1995-02-28,121.05515
1995-03-01,121.37436
1995-03-02,120.2629
1995-03-03,120.96168
1995-03-06,121.78688
1995-03-07,121.95985
1995-03-08,122.57737
1995-03-09,120.64716
1995-03-10,120.59152
1995-03-13,121.46473
1995-03-14,122.07242
1995-03-15,121.32492
1995-03-16,122.1451
1995-03-17,121.7785
1995-03-20,122.5037
1995-03-21,121.97099
1995-03-22,121.62482
1995-03-23,123.0694
1995-03-24,122.78356
1995-03-27,122.96029
1995-03-28,122.77867
1995-03-29,125.17059
1995-03-30,125.66979
1995-03-31,126.2916
1995-04-03,126.70783
1995-04-04,126.58148
1995-04-05,126.20218
1995-04-06,127.51537
1995-04-07,126.70078
1995-04-10,125.79593
1995-04-11,123.99425
1995-04-12,124.48612
1995-04-13,124.69976
1995-04-18,125.90326
1995-04-19,126.59308
1995-04-20,126.48941
1995-04-21,126.94509
1995-04-24,127.89529
1995-04-25,127.33078
1995-04-26,126.5295
1995-04-27,125.07036
1995-04-28,124.29187
1995-05-02,124.84304
1995-05-03,125.8198
1995-05-04,124.60257
1995-05-05,124.67089
1995-05-08,124.50739
1995-05-09,123.88684
1995-05-10,122.80849
1995-05-11,123.03264
1995-05-12,122.93629
1995-05-15,122.94736
1995-05-16,122.88558
1995-05-17,122.76327
1995-05-18,123.05648
1995-05-19,123.15975
1995-05-22,123.39373
1995-05-23,122.98282
1995-05-24,123.46471
1995-05-26,123.59873
1995-05-29,124.79384
1995-05-30,124.93213
1995-05-31,124.23674
1995-06-01,124.20491
1995-06-02,123.75353
1995-06-06,122.3831
1995-06-07,122.6749
1995-06-08,122.24509
1995-06-09,122.92927
1995-06-12,123.73069
1995-06-13,123.78589
1995-06-14,123.19534
1995-06-15,123.6447
1995-06-16,123.87037
1995-06-19,124.047
1995-06-20,124.04381
1995-06-21,124.99505
1995-06-22,124.45983
1995-06-26,124.20895
1995-06-27,124.49067
1995-06-28,124.4855
1995-06-29,124.34286
1995-06-30,124.60117
1995-07-03,124.93633
1995-07-04,124.35594
1995-07-05,124.27965
1995-07-06,124.45628
1995-07-07,124.24306
1995-07-10,123.93243
1995-07-11,123.91407
1995-07-12,123.58345
1995-07-13,122.53857000000001
1995-07-14,122.86271
1995-07-17,122.77616
1995-07-18,123.04739
1995-07-19,123.08832
1995-07-20,123.23072
1995-07-21,122.96926
1995-07-24,123.01145
1995-07-25,122.44582
1995-07-26,122.17081
1995-07-27,122.19993
1995-07-28,121.14837
1995-07-31,121.65533
1995-08-01,122.12029
1995-08-02,121.85471
1995-08-03,121.34204
1995-08-04,121.56587
1995-08-07,121.10952
1995-08-08,121.57958000000001
1995-08-09,122.04766
1995-08-10,121.46433
1995-08-11,120.33523
1995-08-14,120.50247
1995-08-15,120.63173
1995-08-16,120.41179
1995-08-17,120.06547
1995-08-18,120.30266
1995-08-21,121.52191
1995-08-22,120.84078
1995-08-23,120.24003
1995-08-24,119.79473
1995-08-25,120.08566
1995-08-28,120.64865
1995-08-29,120.66313
1995-08-30,120.31289
1995-08-31,120.44798
1995-09-01,120.42177
1995-09-04,120.99493
1995-09-05,120.38109
1995-09-06,120.05268
1995-09-07,119.44722
1995-09-08,118.59401
1995-09-11,117.58087
1995-09-12,116.75287
1995-09-13,116.4261
1995-09-14,116.63234
1995-09-15,117.1964
1995-09-18,117.07229
1995-09-19,117.32766
1995-09-20,116.11795
1995-09-21,117.35023
1995-09-22,118.33453
1995-09-25,117.95339
1995-09-26,116.72548
1995-09-27,117.22915
1995-09-28,117.98855
1995-09-29,117.11568
1995-10-02,116.45372
1995-10-03,116.95084
1995-10-04,116.31035
1995-10-05,116.50046
1995-10-06,116.96876
1995-10-09,117.51759
1995-10-10,116.89394
1995-10-11,116.59877
1995-10-12,116.5363
1995-10-13,117.05069
1995-10-16,116.83425
1995-10-17,116.2973
1995-10-18,115.84564
1995-10-19,114.2053
1995-10-20,114.01285
1995-10-23,113.74546
1995-10-24,113.00325
1995-10-25,112.2232
1995-10-26,112.37742
1995-10-27,111.6716
1995-10-30,111.78262
1995-10-31,112.01455
1995-11-01,111.72314
1995-11-02,111.22131
1995-11-03,111.39712
1995-11-06,112.02492
1995-11-07,112.56684
1995-11-08,112.43864
1995-11-09,111.8429
1995-11-10,112.22055
1995-11-13,112.29618
1995-11-14,111.91759
1995-11-15,112.06244
1995-11-16,111.54981
1995-11-17,110.91611
1995-11-20,109.9895
1995-11-21,110.54048
1995-11-22,109.89602
1995-11-23,109.62981
1995-11-24,109.81586
1995-11-27,108.51472
1995-11-28,109.04425
1995-11-29,108.54541
1995-11-30,108.51477
1995-12-01,108.31631
1995-12-04,108.31142
1995-12-05,108.33954
1995-12-06,108.92669
1995-12-07,109.06876
1995-12-08,110.09129
1995-12-11,110.88157
1995-12-12,111.31798
1995-12-13,111.06082
1995-12-14,110.43727
1995-12-15,109.9176
1995-12-18,109.31089
1995-12-19,110.13159
1995-12-20,109.91142
1995-12-21,110.37604
1995-12-22,110.21911
1995-12-27,110.34046
1995-12-28,110.95125
1995-12-29,110.88805
1996-01-02,110.22821
1996-01-03,109.77377
1996-01-04,109.6179
1996-01-05,109.65744
1996-01-08,109.82162
1996-01-09,109.46728
1996-01-10,109.23097
1996-01-11,109.47185
1996-01-12,109.28107
1996-01-15,108.93049
1996-01-16,108.88844
1996-01-17,109.20075
1996-01-18,109.31752
1996-01-19,109.62651
1996-01-22,110.09422000000001
1996-01-23,111.75022
1996-01-24,111.13348
1996-01-25,111.45357
1996-01-26,112.45861
1996-01-29,112.92954
1996-01-30,112.88378
1996-01-31,112.18751
1996-02-01,112.35464
1996-02-02,112.92997
1996-02-05,113.87107
