Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2026,112.9,112.2,112.7,113.0,113.5,113.6,114.2,—,—,—,—,—,—
2025,111.2,110.8,111.1,111.5,111.8,111.7,111.9,112.1,112.0,112.8,113.2,113.0,111.9
2024,106.9,106.9,107.2,107.7,108.1,108.2,108.6,109.1,108.9,109.5,110.0,110.7,108.5
2023,104.7,104.0,104.4,105.1,105.1,105.2,105.7,105.9,106.2,107.1,106.9,106.8,105.6
2022,100.3,100.7,101.1,101.5,101.8,101.8,102.3,102.7,103.1,103.7,103.9,104.1,102.3
2021,99.8,99.8,99.9,99.1,99.4,99.5,99.7,99.7,100.1,99.9,100.1,100.1,99.8
2020,100.5,100.3,100.3,100.2,100.1,99.9,100.0,100.1,99.9,99.8,99.5,99.3,100.0
2019,99.7,99.7,99.7,100.0,100.0,99.8,99.8,100.0,100.1,100.4,100.5,100.5,100.0
2018,99.5,99.5,99.2,99.1,99.3,99.2,99.2,99.8,99.9,100.2,100.0,99.7,99.6
2017,98.2,98.1,98.1,98.5,98.6,98.5,98.3,98.5,98.8,98.8,99.1,99.4,98.6
2016,97.7,97.8,97.9,98.1,98.2,98.1,97.9,97.9,98.0,98.6,98.6,98.4,98.1
2015,97.8,97.6,97.9,98.4,98.7,98.4,98.3,98.4,98.5,98.5,98.1,98.1,98.2
2014,95.5,95.5,95.7,97.7,98.1,98.0,98.1,98.3,98.5,98.2,97.9,97.9,97.5
2013,94.2,94.0,94.2,94.5,94.6,94.6,94.8,95.1,95.4,95.5,95.5,95.6,94.8
2012,94.5,94.7,95.1,95.2,94.9,94.4,94.1,94.3,94.4,94.4,94.1,94.1,94.5
2011,94.4,94.4,94.6,94.7,94.7,94.6,94.6,94.7,94.7,94.8,94.2,94.3,94.6
2010,94.9,94.9,95.1,95.1,95.1,94.9,94.4,94.5,94.7,95.0,94.7,94.5,94.8
2009,95.9,95.6,95.9,96.0,95.8,95.6,95.3,95.6,95.6,95.2,95.0,94.8,95.5
2008,95.9,95.7,96.1,96.0,96.8,97.3,97.5,97.8,97.8,97.7,96.8,96.4,96.8
2007,95.2,94.7,95.0,95.3,95.6,95.4,95.3,95.8,95.8,96.0,95.9,96.0,95.5
2006,95.2,94.9,95.1,95.3,95.6,95.6,95.3,96.0,96.0,95.8,95.3,95.4,95.5
