Country Code;IMF Country Code;Country;Indicator Type;Series Name;19954;19961;19962;19963;19964;19971;19972;19973;19974;19981;19982;19983;19984;19991;19992;19993;19994;20001;20002;20003;20004;20011;20012;20013;20014;20021;20022;20023;20024;20031;20032;20033;20034;20041;20042;20043;20044;20051;20052;20053;20054;20061;20062;20063;20064;20071;20072;20073;20074;20081;20082;20083;20084;20091;20092;20093;20094;20101;20102;20103;20104;20111;20112;20113;20114;20121;20122;20123;20124;20131;20132;20133;20134;20141;20142;20143;20144;20151;20152;20153;20154;20161;20162;20163;20164;20171;20172;20173;20174;20181;20182;20183;20184;20191;20192;20193;20194;20201;20202;20203;20204;20211;20212;20213;20214;20221;20222;20223;20224;20231;20232;20233;20234;20241;20242;20243;20244;Data source;Note;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;314;Aruba;index;Headline Consumer Price Index;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,8;54,0;54,9;56,6;58,0;57,6;57,9;59,6;60,1;61,5;64,1;67,6;71,5;81,4;84,1;83,2;77,8;72,9;73,4;74,3;73,2;74,1;77,1;80,6;83,0;83,7;85,7;88,5;89,5;90,0;89,8;93,6;95,5;96,6;97,6;100,0;101,1;101,7;102,6;102,5;101,3;99,9;100,6;103,4;104,2;104,5;106,1;108,2;109,4;112,0;110,9;111,8;112,3;110,8;110,9;112,8;113,2;115,4;113,7;114,7;117,2;123,6;120,5;121,4;122,1;124,5;126,8;134,0;140,2;144,5;147,4;144,9;144,4;139,5;134,4;131,9;130,4;129,8;126,2;127,5;IFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFG;512;Afghanistan;index;Headline Consumer Price Index;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,8;54,0;54,9;56,6;58,0;57,6;57,9;59,6;60,1;61,5;64,1;67,6;71,5;81,4;84,1;83,2;77,8;72,9;73,4;74,3;73,2;74,1;77,1;80,6;83,0;83,7;85,7;88,5;89,5;90,0;89,8;93,6;95,5;96,6;97,6;100,0;101,1;101,7;102,6;102,5;101,3;99,9;100,6;103,4;104,2;104,5;106,1;108,2;109,4;112,0;110,9;111,8;112,3;110,8;110,9;112,8;113,2;115,4;113,7;114,7;117,2;123,6;120,5;121,4;122,1;124,5;126,8;134,0;140,2;144,5;147,4;144,9;144,4;139,5;134,4;131,9;130,4;129,8;126,2;127,5;IFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;614;Angola;index;Headline Consumer Price Index;;;;;;;;;;;;;;;;;;;;;;;;;;2,3;2,7;3,2;3,8;4,7;5,6;6,4;7,0;7,6;8,3;8,8;9,3;9,8;10,3;10,7;11,0;11,4;11,7;12,0;12,4;12,8;13,1;13,4;13,8;14,3;14,7;15,2;15,7;16,2;16,7;17,3;17,8;18,5;19,0;19,8;20,6;21,2;21,8;22,4;23,0;23,6;24,1;24,6;25,2;25,8;26,3;26,8;27,2;27,7;28,2;28,7;29,2;29,8;30,5;31,5;32,6;35,3;38,8;42,9;45,7;48,7;51,4;54,0;57,0;59,3;61,6;64,2;67,5;69,9;72,2;75,1;78,5;83,0;87,9;92,7;98,0;103,5;109,9;116,9;124,4;131,8;136,6;140,0;143,4;147,1;151,4;159,0;169,6;182,5;196,5;207,5;217,7;IFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIA;264;Anguilla;index;Headline Consumer Price Index;60,7;;;;62,8;;;;63,0;;;;64,7;;;;66,4;;;;70,7;71,5;71,9;73,0;72,7;72,6;73,3;73,1;71,7;71,6;75,5;76,2;76,7;76,8;76,8;78,9;80,6;80,6;81,7;81,9;83,2;84,3;86,1;92,8;91,9;91,9;91,9;91,9;95,0;96,1;100,6;101,8;100,0;99,3;98,6;98,7;99,2;100,0;100,3;100,7;103,0;104,7;104,9;106,1;107,5;107,2;107,9;106,9;107,2;107,2;107,7;106,9;108,0;107,3;107,7;106,8;107,0;106,6;106,3;106,4;105,2;104,0;105,7;105,7;107,0;106,6;106,4;106,4;108,4;107,7;107,2;106,6;107,9;108,0;107,7;108,6;108,6;108,7;107,2;107,4;107,5;108,9;110,2;109,7;109,7;110,7;112,8;118,5;121,0;119,7;118,9;119,9;120,2;118,2;119,4;119,2;;IFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;914;Albania;index;Headline Consumer Price Index;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75,8;75,1;75,5;76,8;78,6;78,3;77,7;78,7;80,1;79,9;79,4;80,9;83,2;83,0;82,1;83,6;86,9;86,0;84,7;85,7;87,8;87,6;87,0;87,8;90,0;89,6;88,4;89,1;91,7;91,0;89,9;90,3;98,6;93,6;91,3;92,0;93,8;93,3;93,3;93,8;96,3;95,2;94,9;95,5;98,1;97,3;96,9;97,2;99,7;98,7;98,3;98,5;101,3;100,6;99,7;100,0;102,2;102,4;102,1;103,1;106,8;109,3;110,1;111,2;113,7;114,3;114,5;115,5;116,8;116,8;116,8;117,8;IFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;530;Netherlands Antilles;index;Headline Consumer Price Index;67,4;68,4;68,6;69,4;70,6;71,2;71,4;71,6;71,8;71,9;72,1;72,8;72,4;71,6;71,8;72,0;74,9;76,0;76,5;77,0;77,7;77,8;78,2;78,4;78,3;77,1;78,2;79,1;79,7;79,5;79,6;79,9;80,0;80,3;80,6;81,1;81,6;82,8;83,6;84,8;85,6;86,2;86,5;87,1;87,6;88,2;88,8;89,9;90,9;92,5;94,5;97,2;98,3;96,2;96,4;97,9;98,8;99,2;99,8;100,3;100,7;101,2;101,2;103,2;103,7;104,6;105,5;105,7;106,6;106,7;107,7;106,4;107,2;107,6;108,3;109,3;109,2;107,8;107,7;109,1;107,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARE;466;United Arab Emirates;index;Headline Consumer Price Index;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83,5;85,9;88,1;88,5;87,9;87,1;87,9;88,4;87,9;87,9;88,8;89,9;89,2;89,2;89,3;89,9;89,8;89,7;90,1;90,4;90,4;90,7;91,2;91,6;91,9;92,6;93,5;94,4;95,5;96,5;97,8;97,8;97,5;98,2;99,0;99,2;100,0;100,1;100,1;101,4;104,2;103,6;103,7;102,5;101,7;102,0;101,4;100,9;100,2;99,6;99,0;98,6;98,6;99,1;99,6;100,9;102,1;105,1;106,5;105,6;105,5;106,0;107,0;107,6;107,5;108,4;108,6;108,7;IFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG;213;Argentina;index;Headline Consumer Price Index;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103,8;110,4;115,6;121,7;130,1;140,4;156,5;179,3;197,4;219,4;241,3;272,9;297,0;315,7;337,3;372,2;417,7;468,7;512,3;563,5;638,2;754,4;910,1;1080,9;1288,9;1606,8;2055,8;2948,5;4814,8;6085,2;6871,1;7499,8;National sources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARM;911;Armenia;index;Headline Consumer Price Index;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97,8;100,0;98,8;101,7;108,7;108,8;104,4;106,8;112,3;110,0;107,0;110,5;115,7;115,7;116,2;117,6;121,0;119,5;117,3;121,3;127,2;125,6;121,6;122,5;125,5;123,5;119,6;121,4;125,1;125,1;120,7;123,9;129,2;127,1;124,4;126,5;131,1;130,2;125,5;127,6;131,0;131,8;127,5;130,4;137,8;139,9;138,5;141,9;147,4;152,8;151,6;154,4;158,0;154,9;151,5;153,9;156,1;155,0;153,2;155,7;IFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
