quarter_raw,unemployment_rate,quarter
1983 Q1,3.6,1983Q1
1983 Q2,3.666667,1983Q2
1983 Q3,3.766667,1983Q3
1983 Q4,3.666667,1983Q4
1984 Q1,3.466667,1984Q1
1984 Q2,3.333333,1984Q2
1984 Q3,3.133333,1984Q3
1984 Q4,3.066667,1984Q4
1985 Q1,3,1985Q1
1985 Q2,2.966667,1985Q2
1985 Q3,2.8,1985Q3
1985 Q4,2.7,1985Q4
1986 Q1,2.833333,1986Q1
1986 Q2,2.666667,1986Q2
1986 Q3,2.566667,1986Q3
1986 Q4,2.633333,1986Q4
1987 Q1,2.366667,1987Q1
1987 Q2,2.3,1987Q2
1987 Q3,2.166667,1987Q3
1987 Q4,1.9,1987Q4
1988 Q1,1.9,1988Q1
1988 Q2,1.833333,1988Q2
1988 Q3,1.833333,1988Q3
1988 Q4,1.633333,1988Q4
1989 Q1,1.6,1989Q1
1989 Q2,1.566667,1989Q2
1989 Q3,1.433333,1989Q3
1989 Q4,1.566667,1989Q4
1990 Q1,1.433333,1990Q1
1990 Q2,1.533333,1990Q2
1990 Q3,1.766667,1990Q3
1990 Q4,2.166667,1990Q4
1991 Q1,2.433333,1991Q1
1991 Q2,2.733333,1991Q2
1991 Q3,3.366667,1991Q3
1991 Q4,3.866667,1991Q4
1992 Q1,4.566667,1992Q1
1992 Q2,5.266667,1992Q2
1992 Q3,5.966667,1992Q3
1992 Q4,6.5,1992Q4
1993 Q1,7.7,1993Q1
1993 Q2,9.033334,1993Q2
1993 Q3,9.633333,1993Q3
1993 Q4,9.8,1993Q4
1994 Q1,9.733334,1994Q1
1994 Q2,9.366667,1994Q2
1994 Q3,9.233334,1994Q3
1994 Q4,9,1994Q4
1995 Q1,8.833333,1995Q1
1995 Q2,8.7,1995Q2
1995 Q3,8.666667,1995Q3
1995 Q4,8.966666,1995Q4
1996 Q1,9,1996Q1
1996 Q2,9.5,1996Q2
1996 Q3,9.733334,1996Q3
1996 Q4,9.933333,1996Q4
1997 Q1,10.26667,1997Q1
1997 Q2,10.3,1997Q2
1997 Q3,9.733334,1997Q3
1997 Q4,9.133333,1997Q4
1998 Q1,8.666667,1998Q1
1998 Q2,8.6,1998Q2
1998 Q3,8,1998Q3
1998 Q4,7.466667,1998Q4
1999 Q1,7.1,1999Q1
1999 Q2,6.766667,1999Q2
1999 Q3,6.633333,1999Q3
1999 Q4,6.333333,1999Q4
2000 Q1,6.066667,2000Q1
2000 Q2,5.766667,2000Q2
2000 Q3,5.433333,2000Q3
2000 Q4,5.1,2000Q4
2001 Q1,6,2001Q1
2001 Q2,5.866667,2001Q2
2001 Q3,6,2001Q3
2001 Q4,6.066667,2001Q4
2002 Q1,5.933333,2002Q1
2002 Q2,5.933333,2002Q2
2002 Q3,6.166667,2002Q3
2002 Q4,6.3,2002Q4
2003 Q1,6.366667,2003Q1
2003 Q2,6.466667,2003Q2
2003 Q3,6.766667,2003Q3
2003 Q4,7.2,2003Q4
2004 Q1,7.4,2004Q1
2004 Q2,7.566667,2004Q2
2004 Q3,7.566667,2004Q3
2004 Q4,7.533333,2004Q4
2005 Q1,7.9,2005Q1
2005 Q2,8.033334,2005Q2
2005 Q3,7.933333,2005Q3
2005 Q4,7.8,2005Q4
2006 Q1,7.566667,2006Q1
2006 Q2,7.433333,2006Q2
2006 Q3,7,2006Q3
2006 Q4,6.666667,2006Q4
2007 Q1,6.466667,2007Q1
2007 Q2,6.166667,2007Q2
2007 Q3,6.066667,2007Q3
2007 Q4,6.166667,2007Q4
2008 Q1,5.933333,2008Q1
2008 Q2,6.1,2008Q2
2008 Q3,6.266667,2008Q3
2008 Q4,6.8,2008Q4
2009 Q1,7.533333,2009Q1
2009 Q2,8.466666,2009Q2
2009 Q3,8.766666,2009Q3
2009 Q4,8.933333,2009Q4
2010 Q1,9.066667,2010Q1
2010 Q2,8.9,2010Q2
2010 Q3,8.633333,2010Q3
2010 Q4,8.233334,2010Q4
2011 Q1,8,2011Q1
2011 Q2,7.9,2011Q2
2011 Q3,7.8,2011Q3
2011 Q4,7.866667,2011Q4
2012 Q1,7.833333,2012Q1
2012 Q2,7.966667,2012Q2
2012 Q3,8.2,2012Q3
2012 Q4,8.3,2012Q4
2013 Q1,8.166667,2013Q1
2013 Q2,8.166667,2013Q2
2013 Q3,8.1,2013Q3
2013 Q4,8.066667,2013Q4
2014 Q1,8.166667,2014Q1
2014 Q2,8.1,2014Q2
2014 Q3,7.966667,2014Q3
2014 Q4,7.933333,2014Q4
2015 Q1,7.866667,2015Q1
2015 Q2,7.733333,2015Q2
2015 Q3,7.233333,2015Q3
2015 Q4,7.2,2015Q4
2016 Q1,7.233333,2016Q1
2016 Q2,7,2016Q2
2016 Q3,6.966667,2016Q3
2016 Q4,7.033333,2016Q4
2017 Q1,6.833333,2017Q1
2017 Q2,6.833333,2017Q2
2017 Q3,6.8,2017Q3
2017 Q4,6.733333,2017Q4
2018 Q1,6.3,2018Q1
2018 Q2,6.366667,2018Q2
2018 Q3,6.533333,2018Q3
2018 Q4,6.633333,2018Q4
2019 Q1,6.866667,2019Q1
2019 Q2,6.533333,2019Q2
2019 Q3,7.133333,2019Q3
2019 Q4,7.133333,2019Q4
2020 Q1,7.333333,2020Q1
2020 Q2,8.6,2020Q2
2020 Q3,9.3,2020Q3
2020 Q4,8.866667,2020Q4
2021 Q1,9.233334,2021Q1
2021 Q2,9.2,2021Q2
2021 Q3,8.833333,2021Q3
2021 Q4,8.266666,2021Q4
2022 Q1,7.666667,2022Q1
2022 Q2,7.7,2022Q2
2022 Q3,7.066667,2022Q3
2022 Q4,7.5,2022Q4
2023 Q1,7.333333,2023Q1
2023 Q2,7.5,2023Q2
2023 Q3,7.766667,2023Q3
2023 Q4,8.033334,2023Q4
2024 Q1,8.266666,2024Q1
2024 Q2,8.333333,2024Q2
2024 Q3,8.5,2024Q3
2024 Q4,8.333333,2024Q4
2025 Q1,8.933333,2025Q1
2025 Q2,8.666667,2025Q2
2025 Q3,8.8,2025Q3
2025 Q4,9.033334,2025Q4
2026 Q1,8.6,2026Q1
2026 Q2,8.733334,2026Q2
