quarter,consumer_confidence
1996Q1,89.10000000000001
1996Q2,89.13333333333333
1996Q3,91.5
1996Q4,91.1
1997Q1,93.03333333333333
1997Q2,97.83333333333333
1997Q3,100
1997Q4,105.5
1998Q1,105.16666666666667
1998Q2,107.53333333333333
1998Q3,106.86666666666666
1998Q4,106.83333333333333
1999Q1,108.73333333333333
1999Q2,109.5
1999Q3,113.3
1999Q4,114.93333333333334
2000Q1,119.46666666666667
2000Q2,118.06666666666666
2000Q3,116.8
2000Q4,115.23333333333333
2001Q1,107.5
2001Q2,103.73333333333333
2001Q3,100.7
2001Q4,101.13333333333333
2002Q1,104.63333333333333
2002Q2,105.6
2002Q3,103.26666666666667
2002Q4,99.66666666666667
2003Q1,95.8
2003Q2,96.4
2003Q3,103
2003Q4,98.73333333333333
2004Q1,102.06666666666666
2004Q2,102.7
2004Q3,102.46666666666667
2004Q4,104.56666666666666
2005Q1,105.4
2005Q2,102.63333333333333
2005Q3,104.7
2005Q4,106.63333333333334
2006Q1,109.8
2006Q2,109.43333333333334
2006Q3,108.23333333333333
2006Q4,107.83333333333333
2007Q1,107.66666666666667
2007Q2,111.16666666666667
2007Q3,108.7
2007Q4,106.8
2008Q1,100.5
2008Q2,94.8
2008Q3,86.63333333333334
2008Q4,83.43333333333334
2009Q1,88.83333333333333
2009Q2,88.96666666666667
2009Q3,98.93333333333334
2009Q4,104.56666666666666
2010Q1,104.66666666666667
2010Q2,108.63333333333334
2010Q3,111
2010Q4,112.06666666666666
2011Q1,109.93333333333334
2011Q2,106.1
2011Q3,98.13333333333334
2011Q4,95.6
2012Q1,98.33333333333334
2012Q2,101
2012Q3,101.13333333333334
2012Q4,97.13333333333334
2013Q1,100.23333333333333
2013Q2,100.56666666666666
2013Q3,102.33333333333333
2013Q4,105.63333333333333
2014Q1,104.23333333333333
2014Q2,104.83333333333333
2014Q3,104.7
2014Q4,101.86666666666667
2015Q1,102
2015Q2,101.43333333333334
2015Q3,101.66666666666667
2015Q4,99.13333333333334
2016Q1,100.5
2016Q2,101.03333333333333
2016Q3,101.1
2016Q4,104.13333333333334
2017Q1,104.36666666666667
2017Q2,106.16666666666667
2017Q3,104.6
2017Q4,106.86666666666667
2018Q1,105.33333333333333
2018Q2,103.5
2018Q3,104.60000000000001
2018Q4,100.93333333333334
2019Q1,98.8
2019Q2,99.73333333333333
2019Q3,99.06666666666666
2019Q4,98.3
2020Q1,98.63333333333334
2020Q2,87.6
2020Q3,93.66666666666667
2020Q4,97.26666666666667
2021Q1,101.36666666666666
2021Q2,107.8
2021Q3,108.93333333333334
2021Q4,104.76666666666667
2022Q1,92.6
2022Q2,80.6
2022Q3,68.3
2022Q4,64.73333333333333
2023Q1,67
2023Q2,73.33333333333333
2023Q3,72.7
2023Q4,74
2024Q1,84.73333333333333
2024Q2,93.7
2024Q3,97.6
2024Q4,99.1
2025Q1,93.56666666666668
2025Q2,85.86666666666667
2025Q3,91.53333333333333
2025Q4,95.36666666666667
2026Q1,95.1
2026Q2,93
2026Q3,97.6
