quarter,dsr_value
1996Q1,10.4
1996Q2,9.1
1996Q3,9.6
1996Q4,9.4
1997Q1,9.6
1997Q2,8.7
1997Q3,9.2
1997Q4,9.2
1998Q1,9.3
1998Q2,8.7
1998Q3,9.1
1998Q4,8.9
1999Q1,8.9
1999Q2,8.9
1999Q3,8.9
1999Q4,9.1
2000Q1,9.1
2000Q2,9.1
2000Q3,9
2000Q4,9.1
2001Q1,9.1
2001Q2,9.1
2001Q3,9.1
2001Q4,9
2002Q1,9
2002Q2,9.1
2002Q3,9.1
2002Q4,9.1
2003Q1,9.2
2003Q2,9.1
2003Q3,9.1
2003Q4,9.2
2004Q1,9.3
2004Q2,9.3
2004Q3,9.4
2004Q4,9.5
2005Q1,9.6
2005Q2,9.6
2005Q3,9.6
2005Q4,9.7
2006Q1,9.7
2006Q2,9.8
2006Q3,10
2006Q4,10.3
2007Q1,10.5
2007Q2,10.5
2007Q3,10.7
2007Q4,10.9
2008Q1,11.2
2008Q2,11.3
2008Q3,11.5
2008Q4,11.5
2009Q1,10.8
2009Q2,10.4
2009Q3,10.3
2009Q4,10.3
2010Q1,10.3
2010Q2,10.4
2010Q3,10.6
2010Q4,10.8
2011Q1,11.1
2011Q2,11.3
2011Q3,11.5
2011Q4,11.6
2012Q1,11.6
2012Q2,11.4
2012Q3,11.5
2012Q4,11.2
2013Q1,11.1
2013Q2,11.1
2013Q3,11.1
2013Q4,11.1
2014Q1,11.2
2014Q2,11.1
2014Q3,11.1
2014Q4,11.1
2015Q1,11.1
2015Q2,11
2015Q3,11
2015Q4,11.1
2016Q1,11.1
2016Q2,11.2
2016Q3,11.2
2016Q4,11.3
2017Q1,11.4
2017Q2,11.4
2017Q3,11.5
2017Q4,11.5
2018Q1,11.3
2018Q2,11.5
2018Q3,11.5
2018Q4,11.5
2019Q1,11.5
2019Q2,11.6
2019Q3,11.6
2019Q4,11.6
2020Q1,11.7
2020Q2,12
2020Q3,12.1
2020Q4,12.2
2021Q1,12.2
2021Q2,12.1
2021Q3,12.1
2021Q4,12.1
2022Q1,12
2022Q2,11.9
2022Q3,12
2022Q4,12.1
2023Q1,12.2
2023Q2,12.4
2023Q3,12.5
2023Q4,12.7
2024Q1,12.8
2024Q2,12.7
2024Q3,12.6
2024Q4,12.3
2025Q1,12
2025Q2,11.7
2025Q3,11.6
2025Q4,11.4
