quarter,debt_to_asset_ratio
1996K1,63.33785725108072
1996K2,63.03630704190289
1996K3,62.406916801931075
1996K4,63.05127745652299
1997K1,62.18808791456696
1997K2,60.193868514994456
1997K3,59.04977237686
1997K4,59.62920422432661
1998K1,59.02647576652954
1998K2,58.3336948094481
1998K3,58.21342836386862
1998K4,58.85607384651927
1999K1,58.50917654440232
1999K2,57.24525267555354
1999K3,56.19097657829529
1999K4,57.245491996729235
2000K1,56.60709062132214
2000K2,55.282814222592854
2000K3,54.42983386851885
2000K4,55.323848030049305
2001K1,54.07137121531361
2001K2,54.19165666350825
2001K3,53.800512623946794
2001K4,55.297401844260804
2002K1,55.45827428663392
2002K2,55.201487959037834
2002K3,54.522116217239414
2002K4,55.91763722433435
2003K1,54.538112770996264
2003K2,52.62904783085867
2003K3,50.76011219627363
2003K4,49.88814232346358
2004K1,49.59678665819983
2004K2,48.775784739843516
2004K3,48.44017828938287
2004K4,49.11139187132312
2005K1,49.34030846997718
2005K2,48.72062955091941
2005K3,47.77020833521342
2005K4,47.817895555225455
2006K1,46.88922977542942
2006K2,46.44932148358639
2006K3,45.81005549228354
2006K4,46.41020087392725
2007K1,46.630717120487475
2007K2,45.234505316296634
2007K3,44.11905418575997
2007K4,44.97288478741443
2008K1,45.7252037811348
2008K2,45.63072021466606
2008K3,45.01567921529399
2008K4,46.65595905042116
2009K1,47.79390961735507
2009K2,46.85280786021023
2009K3,46.318637081491275
2009K4,46.397044058142676
2010K1,45.919512103685555
2010K2,45.535242824256
2010K3,45.89983494368218
2010K4,46.150027394731154
2011K1,46.1920973716614
2011K2,46.2479474606834
2011K3,46.47936871782797
2011K4,48.302263308503164
2012K1,48.891635151278635
2012K2,48.89562490976422
2012K3,48.61549121442553
2012K4,49.012366714675295
2013K1,49.29940721199558
2013K2,48.99622355666655
2013K3,48.61526335340824
2013K4,48.51962170893764
2014K1,48.386464239823106
2014K2,48.127113811710984
2014K3,47.44662729008795
2014K4,47.81327864992427
2015K1,47.1782073957617
2015K2,46.14107861181117
2015K3,45.04397943064994
2015K4,44.49173177119775
2016K1,44.8307966900826
2016K2,44.301201934763206
2016K3,43.03748591339552
2016K4,43.0215816985223
2017K1,42.89389318566245
2017K2,42.5003453371928
2017K3,42.431579788410986
2017K4,43.126989482787884
2018K1,43.342921664853165
2018K2,43.78712934435591
2018K3,43.38356115818403
2018K4,43.42294952660373
2019K1,43.59910308730085
2019K2,43.483930091812304
2019K3,42.948645932281
2019K4,43.25336101430316
2020K1,43.22634759569519
2020K2,42.90745611589272
2020K3,42.29042675997548
2020K4,41.24856787232161
2021K1,40.730487905840654
2021K2,39.58347112731882
2021K3,38.59087041985747
2021K4,39.586775660737665
2022K1,39.15834936355523
2022K2,38.19387795726843
2022K3,38.19129531435231
2022K4,40.169963613382336
2023K1,41.86989073352522
2023K2,42.35965262180762
2023K3,41.90502551434042
2023K4,42.08911507564755
2024K1,42.531692915071694
2024K2,42.14300387851804
2024K3,41.30609730948006
2024K4,41.719140793422156
2025K1,41.64027528676657
2025K2,41.496421487381525
2025K3,41.34548729032932
2025K4,41.97432631509609
2026K1,41.96149973844468
2026K2,NA
