quarter,liquid_assets,disp_income_annualized,liquid_asset_to_income_ratio
1996K1,899598,840040,107.08990048092947
1996K2,938528,995348,94.2914437965415
1996K3,972814,869876,111.83364065682926
1996K4,1005075,857880,117.15799412505245
1997K1,1106730,835076,132.53045231811237
1997K2,1160355,981400,118.23466476462197
1997K3,1211079,887228,136.5014404414649
1997K4,1171827,880380,133.10468206910653
1998K1,1292285,866008,149.2232173374842
1998K2,1334872,992920,134.4390283205092
1998K3,1191303,907624,131.25512326690347
1998K4,1254147,918780,136.5013387317965
1999K1,1308838,898140,145.7276148484646
1999K2,1392197,1051680,132.37838506009433
1999K3,1402588,936916,149.70264143210278
1999K4,1639794,946372,173.2716098954745
2000K1,1602847,958744,167.18195889622257
2000K2,1661847,1083624,153.36011384022504
2000K3,1623633,1004444,161.64494984289817
2000K4,1490985,1001740,148.83951923652845
2001K1,1346849,1031096,130.6230457687742
2001K2,1428936,1173496,121.76743678717268
2001K3,1281002,1078552,118.77053679377536
2001K4,1397054,1078804,129.50026140058804
2002K1,1377866,1101052,125.14086528156709
2002K2,1241279,1256968,98.7518377556151
2002K3,1107089,1137692,97.31008040840578
2002K4,1175406,1140688,103.04360175613314
2003K1,1157523,1138552,101.66623922315361
2003K2,1246527,1284524,97.04193927088946
2003K3,1304085,1175648,110.9247836086992
2003K4,1356072,1157752,117.12974799438913
2004K1,1428126,1164840,122.60276089420006
2004K2,1448226,1292832,112.0196591668523
2004K3,1464244,1200852,121.93376036347527
2004K4,1490955,1191820,125.09900823949924
2005K1,1579223,1191068,132.58881944607697
2005K2,1678280,1382948,121.35524979970324
2005K3,1787484,1227652,145.60184808072648
2005K4,1810187,1253296,144.4341161226079
2006K1,1987697,1255888,158.27024384340004
2006K2,1922309,1491624,128.8735633108612
2006K3,2027889,1295756,156.50238162123117
2006K4,2119805,1321168,160.44931454591696
2007K1,2182031,1355480,160.9784725706023
2007K2,2270267,1651196,137.49227832431765
2007K3,2270419,1380884,164.41779323969283
2007K4,2154534,1380588,156.05915740249807
2008K1,2047097,1428416,143.3123823872037
2008K2,1994242,1790652,111.36960168698329
2008K3,1918973,1471436,130.41498237096278
2008K4,1848773,1443824,128.04697802502244
2009K1,1839238,1505764,122.14649838885774
2009K2,2002723,1821972,109.92062446623767
2009K3,2108204,1537516,137.1175324354348
2009K4,2181163,1538564,141.76615337418528
2010K1,2259434,1558796,144.94738246698094
2010K2,2244632,1879868,119.40370281317625
2010K3,2345596,1607300,145.93392646052385
2010K4,2419902,1621180,149.26794063583316
2011K1,2404120,1640040,146.5891075827419
2011K2,2332836,1999344,116.68007106330876
2011K3,2170335,1685528,128.7629158340888
2011K4,2255885,1672632,134.87037196466406
2012K1,2413159,1695180,142.35414528250686
2012K2,2425674,2106580,115.14749024485185
2012K3,2479123,1752736,141.4430353458821
2012K4,2408258,1752844,137.39146210387233
2013K1,2530655,1782744,141.9527986070911
2013K2,2581776,2113180,122.17492120879432
2013K3,2672847,1801804,148.34282752175042
2013K4,2731728,1808772,151.0266633937279
2014K1,2718930,1819116,149.4643552142909
2014K2,2903418,2228472,130.28738974508093
2014K3,2929430,1858120,157.65558736787722
2014K4,3001693,1860300,161.35531903456433
2015K1,3173687,1869404,169.76999086339816
2015K2,3213334,2340780,137.27620707627372
2015K3,3156852,1897516,166.36760902147861
2015K4,3316674,1905204,174.08497987617073
2016K1,3240021,1987688,163.00450573731894
2016K2,3346683,2422376,138.15704085575484
2016K3,3495005,1956576,178.62863492141375
2016K4,3587004,1982400,180.94249394673122
2017K1,3695699,1999196,184.8592634238964
2017K2,3763525,2569636,146.4614054286288
2017K3,3838556,2038644,188.2896670531981
2017K4,3858998,2098724,183.8735345857769
2018K1,3888571,2182744,178.1505756057513
2018K2,3991387,2511432,158.92873070025388
2018K3,4127472,2157604,191.29886670584594
2018K4,3907639,2229184,175.2945921018633
2019K1,4166475,2278152,182.88836741358784
2019K2,4309211,2634376,163.57615617512457
2019K3,4389188,2262584,193.99005738571472
2019K4,4537163,2330216,194.70997538425624
2020K1,4214806,2347116,179.5738259208322
2020K2,4631693,2500476,185.23245174118847
2020K3,4864332,2287476,212.65062453114263
2020K4,5109871,2383204,214.41181703286838
2021K1,5366206,2482960,216.12132293713952
2021K2,5679204,2721848,208.652503740106
2021K3,5711220,2415540,236.43657318860377
2021K4,6130873,2525280,242.77992935436862
2022K1,5836830,2681784,217.64728255519458
2022K2,5415540,2996236,180.74477444366866
2022K3,5374959,2572752,208.91865986305714
2022K4,5532810,2767132,199.94745462088545
2023K1,5771820,2844392,202.91928819937618
2023K2,5917184,3167304,186.8208419526512
2023K3,5745832,2754944,208.56438461181062
2023K4,6020365,2845968,211.54015083795744
2024K1,6313898,2968660,212.68511719092115
2024K2,6461996,3338432,193.56380480417155
2024K3,6544649,2865108,228.42590925019232
2024K4,6478824,2985800,216.9878759461451
2025K1,6445353,3034052,212.43383435748632
2025K2,6763216,3438052,196.7165127229024
2025K3,6711881,2985500,224.81597722324568
2025K4,6878185,3086568,222.84249042949972
2026K1,7024421,3140072,223.70254567411192
