sector,quarter,saving_rate,debt_income
Households,1980Q1,2.8,101.7
Households,1980Q2,10.8,97.1
Households,1980Q3,7.1,94.8
Households,1980Q4,-6.5,93
Households,1981Q1,-0.1,94
Households,1981Q2,3.9,95.1
Households,1981Q3,1.4,96.7
Households,1981Q4,-9.6,97.2
Households,1982Q1,-3,98.1
Households,1982Q2,2.3,98.7
Households,1982Q3,-0.9,99.9
Households,1982Q4,-14.8,101.1
Households,1983Q1,-2.6,101.6
Households,1983Q2,8.9,99.9
Households,1983Q3,-1.9,100.2
Households,1983Q4,-14.4,100.4
Households,1984Q1,-4.5,100.9
Households,1984Q2,5.6,101.7
Households,1984Q3,0.1,102
Households,1984Q4,-13.5,102.7
Households,1985Q1,-5.8,102.4
Households,1985Q2,5.3,101.7
Households,1985Q3,0.9,101.2
Households,1985Q4,-13.5,101.2
Households,1986Q1,-6.7,104.3
Households,1986Q2,3.6,106.9
Households,1986Q3,-0.7,108.8
Households,1986Q4,-17.3,111.3
Households,1987Q1,-8.5,112.4
Households,1987Q2,2.3,112.8
Households,1987Q3,-3.9,114.8
Households,1987Q4,-23,116.7
Households,1988Q1,-16.4,121.2
Households,1988Q2,-1,125.1
Households,1988Q3,-7,128.7
Households,1988Q4,-23.1,132
Households,1989Q1,-11.8,131.4
Households,1989Q2,-1.4,131.3
Households,1989Q3,-2.9,130.6
Households,1989Q4,-24.1,131
Households,1990Q1,-11.2,129.9
Households,1990Q2,3.5,126.6
Households,1990Q3,-3.2,125.3
Households,1990Q4,-13.3,122.6
Households,1991Q1,-3,117.4
Households,1991Q2,6.2,113.1
Households,1991Q3,1.2,109.3
Households,1991Q4,-8.2,105.4
Households,1992Q1,0.9,103.4
Households,1992Q2,8.1,102.3
Households,1992Q3,5.3,100.7
Households,1992Q4,0.2,98.8
Households,1993Q1,4,98.3
Households,1993Q2,7.8,98.2
Households,1993Q3,4,97
Households,1993Q4,-10.3,97.3
Households,1994Q1,-0.5,97.2
Households,1994Q2,4.9,97
Households,1994Q3,1,96.8
Households,1994Q4,-7.5,94.3
Households,1995Q1,-1.8,94.6
Households,1995Q2,7.1,92.8
Households,1995Q3,-1.9,92.5
Households,1995Q4,-9.5,93.5
Households,1996Q1,-5,93.7
Households,1996Q2,7.4,93.5
Households,1996Q3,-4.5,93.8
Households,1996Q4,-14.9,95.2
Households,1997Q1,-9.4,96.5
Households,1997Q2,0.3,98.2
Households,1997Q3,-6.2,98.8
Households,1997Q4,-17.4,100.1
Households,1998Q1,-9.4,100.4
Households,1998Q2,-1.7,101.4
Households,1998Q3,-7.6,102.7
Households,1998Q4,-17.4,103.3
Households,1999Q1,-11.3,103.9
Households,1999Q2,-1.1,104.8
Households,1999Q3,-10.2,105.9
Households,1999Q4,-23,107.8
Households,2000Q1,-12.5,108.2
Households,2000Q2,-5.6,110
Households,2000Q3,-10.1,110.4
Households,2000Q4,-19.9,111.2
Households,2001Q1,-8.3,111
Households,2001Q2,-0.4,111.4
Households,2001Q3,-5.3,111.7
Households,2001Q4,-13.8,112.2
Households,2002Q1,-4.9,112
Households,2002Q2,3.1,112.2
Households,2002Q3,-3.6,112.8
Households,2002Q4,-12.8,113.9
Households,2003Q1,-5.1,115.1
Households,2003Q2,2.6,117
Households,2003Q3,-4.6,118.4
Households,2003Q4,-14.7,121
Households,2004Q1,-6.4,122.8
Households,2004Q2,-0.5,126.2
Households,2004Q3,-5.8,128.2
Households,2004Q4,-14.6,131.2
Households,2005Q1,-5.8,132.8
Households,2005Q2,1.7,134.4
Households,2005Q3,-9,137.3
Households,2005Q4,-13.5,139.6
Households,2006Q1,-4.4,140.6
Households,2006Q2,5.7,141.8
Households,2006Q3,-6.4,143.4
Households,2006Q4,-12.1,145.6
Households,2007Q1,-2,145.5
Households,2007Q2,9.8,145.1
Households,2007Q3,-6.4,146.2
Households,2007Q4,-13.4,148.3
Households,2008Q1,-1.6,149.5
Households,2008Q2,12.9,150.2
Households,2008Q3,-1.7,150.3
Households,2008Q4,-8.3,151
Households,2009Q1,2.5,151.2
Households,2009Q2,12.2,154.1
Households,2009Q3,-1.1,155.5
Households,2009Q4,-6.8,156.9
Households,2010Q1,-0.3,158
Households,2010Q2,10.7,159.9
Households,2010Q3,-1.5,161.4
Households,2010Q4,-6.6,162
Households,2011Q1,0.7,161.9
Households,2011Q2,12.2,161.5
Households,2011Q3,0.3,161.6
Households,2011Q4,-5.3,162.2
Households,2012Q1,2.2,162.4
Households,2012Q2,15.7,162
Households,2012Q3,2.3,162.1
Households,2012Q4,-2.3,161.7
Households,2013Q1,5.5,161.4
Households,2013Q2,14.3,163.3
Households,2013Q3,2.2,164
Households,2013Q4,-2.6,164.6
Households,2014Q1,4.7,165.5
Households,2014Q2,15.3,165.6
Households,2014Q3,1.9,166.6
Households,2014Q4,-3.7,168.2
Households,2015Q1,2,169.4
Households,2015Q2,15.3,170.3
Households,2015Q3,-1,172.4
Households,2015Q4,-6.5,174.6
Households,2016Q1,4.7,176
Households,2016Q2,15.7,178
Households,2016Q3,-1,179.4
Households,2016Q4,-5.5,180.5
Households,2017Q1,-0.3,182.9
Households,2017Q2,17.3,183.3
Households,2017Q3,-0.3,184.6
Households,2017Q4,-3,184.6
Households,2018Q1,5.1,183
Households,2018Q2,10.7,186.9
Households,2018Q3,0.3,186.5
