quarter,Balances,debt_growth
1996K1,829054,NA
1996K2,834174,0.6156721956202205
1996K3,839310,0.6138112017202602
1996K4,847976,1.0272207795987143
1997K1,858307,1.2109510842842397
1997K2,869944,1.3466997413393855
1997K3,879298,1.06950200849667
1997K4,896571,1.945362494021552
1998K1,907066,1.1637728046636653
1998K2,919648,1.377577330139168
1998K3,936214,1.7853094689751714
1998K4,952007,1.672830488170618
1999K1,965914,1.4502415628763643
1999K2,989587,2.4212881036863365
1999K3,1007275,1.771625944691202
1999K4,1033288,2.549728605697865
2000K1,1053073,1.8966605592023456
2000K2,1079795,2.5058651819287903
2000K3,1101622,2.001243088003335
2000K4,1125728,2.164629829714748
2001K1,1143342,1.5525615174555085
2001K2,1173110,2.5702789259739234
2001K3,1196127,1.9430495266263392
2001K4,1223387,2.253440446401278
2002K1,1241480,1.4680974645466804
2002K2,1266961,2.0316903200503944
2002K3,1290131,1.8122644113363506
2002K4,1319791,2.2729627123613483
2003K1,1344556,1.8590456301936342
2003K2,1374967,2.236588379969362
2003K3,1402912,2.0120345585649346
2003K4,1438785,2.5248931014346
2004K1,1468448,2.0407053316452206
2004K2,1512131,2.9313853468957873
2004K3,1543994,2.0852651368736375
2004K4,1591021,3.0003382929626454
2005K1,1619529,1.7759417715970116
2005K2,1668842,2.9994606502633303
2005K3,1714175,2.680194258085855
2005K4,1763962,2.86305000886955
2006K1,1800139,2.030146874040284
2006K2,1853911,2.943357753356679
2006K3,1898959,2.400837960995972
2006K4,1952046,2.7572212000622542
2007K1,1986963,1.7729289072560661
2007K2,2039258,2.5978673842200095
2007K3,2086061,2.269158251876746
2007K4,2139160,2.513562989127749
2008K1,2183267,2.040915022631573
2008K2,2245412,2.8066644449507905
2008K3,2281893,1.6116338358809656
2008K4,2315162,1.447430184510523
2009K1,2348281,1.4203907633930868
2009K2,2405434,2.4046773532225174
2009K3,2452065,1.9200182037167224
2009K4,2511517,2.395642635340778
2010K1,2550890,1.5555364836719932
2010K2,2604545,2.0815677957291
2010K3,2657568,2.015342302291323
2010K4,2699622,1.570034434416101
2011K1,2730640,1.142425074699105
2011K2,2772758,1.5306478764445686
2011K3,2805353,1.168688503813975
2011K4,2837814,1.150465971907444
2012K1,2863741,0.9094774570179709
2012K2,2898933,1.2213926206516845
2012K3,2927997,0.9975833253660582
2012K4,2954166,0.8897806011777476
2013K1,2983903,1.0015797590593678
2013K2,3022111,1.2723418707206946
2013K3,3055096,1.0855422207137977
2013K4,3089271,1.112412472041413
2014K1,3120833,1.0164812620637065
2014K2,3170827,1.589248377967678
2014K3,3212697,1.3118334152540712
2014K4,3265230,1.6219433053098697
2015K1,3309801,1.3557862384260488
2015K2,3376255,1.9879040320859076
2015K3,3433229,1.6734110699651694
2015K4,3497358,1.8506608548170433
2016K1,3576712,2.2436116333482303
2016K2,3654556,2.153066575669804
2016K3,3709750,1.4989880509517661
2016K4,3766863,1.5278070681487677
2017K1,3822669,1.4706310161381353
2017K2,3899362,1.9864080262781414
2017K3,3963419,1.629408659358944
2017K4,4017245,1.3489307703089537
2018K1,4066399,1.216149692633195
2018K2,4125451,1.441750591076385
2018K3,4173593,1.1601948371991355
2018K4,4236752,1.501964243566789
2019K1,4281501,1.0506711095901622
2019K2,4342244,1.4087616131822855
2019K3,4393454,1.1724440707522987
2019K4,4452690,1.3392702040608384
2020K1,4504463,1.1560275140368503
2020K2,4569795,1.439966306451268
2020K3,4628731,1.2814402325432184
2020K4,4700535,1.5393583567774982
2021K1,4763752,1.3359261018029756
2021K2,4855727,1.9123240023306565
2021K3,4934686,1.6130210641698284
2021K4,5021668,1.7473105722054072
2022K1,5088379,1.3197162827147224
2022K2,5160788,1.4129968754931
2022K3,5192867,0.619667212194841
2022K4,5208229,0.29539216194685025
2023K1,5211076,0.054648559973102806
2023K2,5224363,0.2546516189733339
2023K3,5232858,0.16247149923849236
2023K4,5230041,-0.05384741013116923
2024K1,5240529,0.20033300016422118
2024K2,5262676,0.4217195193886525
2024K3,5283068,0.38673469441050656
2024K4,5309225,0.49388839922936967
2025K1,5337053,0.5227754408984708
2025K2,5379227,0.7871055578130282
2025K3,5414674,0.6567991947953544
2025K4,5454604,0.734734719821617
2026K1,5493501,0.7105734492633076
