quarter,financial_asset_liability_ratio,total_asset_liability_ratio
1996K1,145.25900942523802,286.49137495822987
1996K2,149.05521481484135,290.9513135471673
1996K3,153.974527615155,297.2898564968865
1996K4,158.71180361888392,300.5575651688124
1997K1,166.0706760151437,309.8829468983157
1997K2,171.35839568684554,319.9065115042222
1997K3,175.77991245693107,327.1733074319001
1997K4,169.93917136560015,319.84502691408727
1998K1,181.1420541879236,332.51861773549365
1998K2,184.52018859662877,337.63948418354846
1998K3,165.43548046949067,318.82565576307667
1998K4,173.61691846379117,325.2872939304466
1999K1,177.18605214471467,329.7433083472194
1999K2,181.40365871817852,337.33684106025527
1999K3,180.6980386733492,339.55224971685203
1999K4,201.5399233729517,357.4799242934023
2000K1,191.42573673431977,349.0192502850778
2000K2,195.62628340783093,356.905868984454
2000K3,187.8808201792694,351.5913794576853
2000K4,173.37062722406554,334.34961954535277
2001K1,165.7454743381007,333.03043172501356
2001K2,170.0501111429523,337.7127652644568
2001K3,150.27637540063137,317.7028763103501
2001K4,159.18165619294143,321.41149641057956
2002K1,157.12357817620978,319.3701359445991
2002K2,148.26970152031564,311.3088364096566
2002K3,136.64526555252593,301.6157583430423
2002K4,140.2170287014932,302.2260234010451
2003K1,145.7901741520034,314.57146391088753
2003K2,153.60146632783574,329.0077741776363
2003K3,155.80564298502478,336.132702136241
2003K4,160.5890283054186,343.8990455112587
2004K1,164.08623546403078,351.47144191696225
2004K2,162.22830095400568,353.5705589500988
2004K3,159.24589047938375,349.91928844654217
2004K4,158.4110496135164,346.323214652385
2005K1,163.50386635310875,352.0041559260476
2005K2,169.3771959512115,360.0452828930852
2005K3,177.7872020110463,371.27689506121027
2005K4,180.8911538862462,374.1239242703057
2006K1,198.30819265912962,396.4978108462502
2006K2,187.3859529795647,385.97493630480665
2006K3,194.22945186331856,395.7661084444785
2006K4,200.74125254973697,399.24888359040716
2007K1,211.47315166009034,411.32186508996006
2007K2,213.62454510019634,418.9073582869117
2007K3,206.8298919321178,416.648973803245
2007K4,187.9224873356495,392.5201939236066
2008K1,183.85791739094446,389.7061240501345
2008K2,175.29292681430587,382.05534963673995
2008K3,164.71153341794707,374.07503966067577
2008K4,153.82021898555163,354.7837683723177
2009K1,158.8468781289156,358.34015259741835
2009K2,166.35834513010929,369.0295804637162
2009K3,174.63057151093167,379.4662248376142
2009K4,176.03337372562814,379.8687463803208
2010K1,181.3328554598603,389.1604178844447
2010K2,174.21258407969626,382.62982048600384
2010K3,177.92879375365547,384.28916599479874
2010K4,180.23771634188103,384.51568158889165
2011K1,179.03914810853271,385.6064532557961
2011K2,171.9282319443834,377.6972741016122
2011K3,158.32449459788472,363.04945505920546
2011K4,160.88907992019912,357.25338717564193
2012K1,170.88457445938855,366.32261476917705
2012K2,168.08037818023084,364.1421183798449
2012K3,170.18369124324155,367.2287648300581
2012K4,166.9143915221901,361.5863692547293
2013K1,174.73672950791413,369.7466436334857
2013K2,174.22204893785232,370.3769860240856
2013K3,177.26482155684172,375.1626638930357
2013K4,178.23136242317295,375.90257535393147
2014K1,182.06464328286694,380.9354500698036
2014K2,188.50094092724103,388.34763961510777
2014K3,191.25559926567007,394.20583640243126
2014K4,194.08356341812373,395.2501249719052
2015K1,206.7364618251267,410.7346222957228
2015K2,202.7779661354979,411.25415859440125
2015K3,200.3696517485515,414.20288342091095
2015K4,202.84488750716133,419.1486855885559
2016K1,201.47353831466157,416.27417507786583
2016K2,197.99489489861324,415.3223186848403
2016K3,204.72481386541884,428.66074101709455
2016K4,209.23758208108296,433.0387829123096
2017K1,216.4569792719639,440.9994235509891
2017K2,214.44507066742472,441.04353705151607
2017K3,213.76955690976578,440.81235809902637
2017K4,205.46492406723456,428.8475922549466
2018K1,205.1166135096799,427.2447514530405
2018K2,206.22203157156252,426.10940038194036
2018K3,209.83852585078608,432.0599233968745
2018K4,196.05286342410443,417.88458088743675
2019K1,205.63080191289492,426.71322462081906
2019K2,209.5530296942848,431.2126529062773
2019K3,210.8334100567856,435.61045989654633
2019K4,216.55378711037804,439.71381927145916
2020K1,204.84658517167315,427.9251006707186
2020K2,213.95407327049588,437.17329837668746
2020K3,223.4444268228585,450.647404005686
2020K4,228.59093109549343,461.6553672304829
2021K1,237.80214974552786,473.7224539271268
2021K2,241.9151887868737,484.92629146187954
2021K3,239.0477923096932,488.3844384426368
2021K4,248.0908314181777,490.99197721804126
2022K1,237.57867252366123,482.94037160241584
2022K2,216.6923747431597,468.1968735929535
2022K3,210.19647388552576,461.918812223894
2022K4,213.5169714481567,452.3035093596614
2023K1,222.30608538144244,451.31597595529234
2023K2,222.64697534006248,448.7932261789874
2023K3,215.75193534958993,444.4432833929476
2023K4,221.63208824193413,448.7832824383525
2024K1,233.06668441563002,458.3688341667771
2024K2,237.78780372299732,465.2414899708728
2024K3,240.28707613752104,472.83020101570264
2024K4,236.04840791466515,465.7786406575216
2025K1,236.81521694480656,467.7344988682405
2025K2,242.60770525013365,474.3894137293053
2025K3,242.19850307476727,475.2020046447445
2025K4,245.55036213642757,474.87071598067826
2026K1,249.25699557489298,478.86526288296113
