sector,quarter,income_growth,debt_income,interest_burden,saving_rate
Households,1980K1,NA,101.7,10.6,NA
Households,1980K2,NA,97.1,10,NA
Households,1980K3,NA,94.8,10.7,NA
Households,1980K4,NA,93,11.5,NA
Households,1981K1,NA,94,12.6,NA
Households,1981K2,NA,95.1,11.9,NA
Households,1981K3,NA,96.7,13.1,NA
Households,1981K4,NA,97.2,13.3,NA
Households,1982K1,-1.4,98.1,12,NA
Households,1982K2,-0.9,98.7,11.3,NA
Households,1982K3,-1.9,99.9,12.6,NA
Households,1982K4,-3.1,101.1,12.9,NA
Households,1983K1,-2.5,101.6,11.2,NA
Households,1983K2,3.8,99.9,9.9,NA
Households,1983K3,-3,100.2,11.8,NA
Households,1983K4,-2.1,100.4,12,NA
Households,1984K1,1.1,100.9,11.6,NA
Households,1984K2,-1.1,101.7,10.5,NA
Households,1984K3,3.6,102,12,NA
Households,1984K4,1.6,102.7,12.5,NA
Households,1985K1,1.8,102.4,12.4,NA
Households,1985K2,3,101.7,11.2,NA
Households,1985K3,3.1,101.2,12.8,NA
Households,1985K4,2.6,101.2,13.5,NA
Households,1986K1,1.7,104.3,12.5,NA
Households,1986K2,2.6,106.9,11.2,NA
Households,1986K3,5.3,108.8,12.5,NA
Households,1986K4,3.2,111.3,13.4,NA
Households,1987K1,4.4,112.4,12.5,NA
Households,1987K2,5.9,112.8,11.2,NA
Households,1987K3,0.2,114.8,13.4,NA
Households,1987K4,-0.3,116.7,14.2,NA
Households,1988K1,-1.2,121.2,13.7,NA
Households,1988K2,-1.6,125.1,12.7,NA
Households,1988K3,0.6,128.7,15.5,NA
Households,1988K4,1.5,132,16.4,NA
Households,1989K1,3.7,131.4,14.8,NA
Households,1989K2,1.4,131.3,13.8,NA
Households,1989K3,4.7,130.6,16,NA
Households,1989K4,0.8,131,17.8,NA
Households,1990K1,-0.2,129.9,16.7,NA
Households,1990K2,4.5,126.6,14.8,NA
Households,1990K3,-1.1,125.3,16.2,NA
Households,1990K4,5,122.6,16.9,NA
Households,1991K1,6.3,117.4,15.3,NA
Households,1991K2,2,113.1,12.3,NA
Households,1991K3,4.9,109.3,13.4,NA
Households,1991K4,7.2,105.4,14.2,NA
Households,1992K1,2.4,103.4,13.4,NA
Households,1992K2,0.5,102.3,11.4,NA
Households,1992K3,3.6,100.7,13.5,NA
Households,1992K4,5.3,98.8,13.3,NA
Households,1993K1,-4.4,98.3,12.4,6.3
Households,1993K2,-6.2,98.2,10.9,4.7
Households,1993K3,-2.3,97,11.3,7.1
Households,1993K4,-8.5,97.3,11.6,2.5
Households,1994K1,-1.2,97.2,10.9,3.4
Households,1994K2,-1.5,97,9.9,2.2
Households,1994K3,-1.6,96.8,10.5,4.2
Households,1994K4,3.8,94.3,10.3,5.8
Households,1995K1,-0.4,94.6,10.1,5.2
Households,1995K2,4.3,92.8,8.9,4.7
Households,1995K3,-1.2,92.5,10,2.2
Households,1995K4,-1,93.5,9.9,4
Households,1996K1,-1.3,93.7,9.5,1.7
Households,1996K2,2.5,93.5,7.6,5.9
Households,1996K3,0.3,93.8,8.3,0.8
Households,1996K4,-2.6,95.2,8,-0.8
Households,1997K1,-1.4,96.5,8.1,-3
Households,1997K2,-2.6,98.2,6.7,-2.2
Households,1997K3,0.4,98.8,7.4,-1.5
Households,1997K4,1.2,100.1,7.4,-2.6
Households,1998K1,2.8,100.4,7.5,-1.6
Households,1998K2,0.7,101.4,6.5,-3.2
Households,1998K3,2.5,102.7,7,-2.1
Households,1998K4,4.2,103.3,6.8,-1.3
Households,1999K1,2.7,103.9,6.7,-2.7
Households,1999K2,4.4,104.8,5.6,-1.5
Households,1999K3,1.5,105.9,6.4,-3.7
Households,1999K4,1.6,107.8,6.5,-4.5
Households,2000K1,5.8,108.2,6.6,-0.9
Households,2000K2,2.3,110,5.9,-4.9
Households,2000K3,6.5,110.4,6.4,-1.2
Households,2000K4,5,111.2,6.5,-1.3
Households,2001K1,6,111,6.4,0.7
Households,2001K2,5.8,111.4,5.7,0.6
Households,2001K3,5.2,111.7,6.3,2.1
Households,2001K4,5.1,112.2,6.3,3.9
Households,2002K1,4.8,112,6.3,3.4
Households,2002K2,5.9,112.2,5.7,3.6
Households,2002K3,3.9,112.8,6.5,3.5
Households,2002K4,3.5,113.9,6.4,3.7
Households,2003K1,0.4,115.1,6.4,3.2
Households,2003K2,0.3,117,5.4,2.8
Households,2003K3,1.2,118.4,5.8,3.6
Households,2003K4,0.6,121,6,2.2
Households,2004K1,2.3,122.8,5.9,1.9
Households,2004K2,-0.4,126.2,5.1,-1.4
Households,2004K3,1.6,128.2,5.5,3.8
Households,2004K4,3,131.2,5.6,3.4
Households,2005K1,1.8,132.8,5.6,2.3
Households,2005K2,5.8,134.4,4.7,0.3
Households,2005K3,1.1,137.3,5.2,0.9
Households,2005K4,4.4,139.6,5.1,3.6
Households,2006K1,4.5,140.6,5.2,4.2
Households,2006K2,7.4,141.8,4.6,3.1
Households,2006K3,4.5,143.4,5.6,3.8
Households,2006K4,4.6,145.6,5.9,5
Households,2007K1,7,145.5,6.3,7
Households,2007K2,9.1,145.1,5.4,8.8
Households,2007K3,5.4,146.2,6.8,4.8
Households,2007K4,3,148.3,7.2,5.2
Households,2008K1,2.8,149.5,7.4,5.9
Households,2008K2,6,150.2,6.2,12.3
Households,2008K3,3.4,150.3,8.1,8.6
Households,2008K4,0.8,151,8.2,8.3
Households,2009K1,3,151.2,6.2,9.2
Households,2009K2,-0.2,154.1,4.4,8
Households,2009K3,2.7,155.5,4.8,8.2
Households,2009K4,4.6,156.9,4.6,9.3
Households,2010K1,1.7,158,4.4,9.5
Households,2010K2,2,159.9,3.7,8.9
Households,2010K3,3.7,161.4,4.7,9.5
Households,2010K4,4.2,162,5.2,10.2
Households,2011K1,3.9,161.9,5.9,9.9
Households,2011K2,4.7,161.5,5.3,10.3
Households,2011K3,3,161.6,6.7,10.7
Households,2011K4,2.3,162.2,6.9,10.6
Households,2012K1,3,162.4,6.9,10.7
Households,2012K2,4.5,162,5.4,13
Households,2012K3,3.5,162.1,6.4,12.1
Households,2012K4,4.7,161.7,6.1,12.9
Households,2013K1,4.8,161.4,5.8,13.3
Households,2013K2,0.3,163.3,4.8,11.1
Households,2013K3,2.2,164,5.6,12.5
Households,2013K4,2,164.6,5.5,12.9
Households,2014K1,1.6,165.5,5.5,13.3
Households,2014K2,4.3,165.6,4.4,12.9
Households,2014K3,1.9,166.6,5.2,13.6
Households,2014K4,2.3,168.2,4.9,13.5
Households,2015K1,1.6,169.4,4.7,10.2
Households,2015K2,4,170.3,3.5,11.7
Households,2015K3,1.3,172.4,4.2,11
Households,2015K4,1.4,174.6,4.1,10.4
Households,2016K1,5.7,176,4,11.6
Households,2016K2,2.7,178,3.2,12.5
Households,2016K3,2.1,179.4,4.1,11.8
Households,2016K4,2.8,180.5,4,12.3
Households,2017K1,-1.1,182.9,4,6.8
Households,2017K2,4.1,183.3,3.1,13.9
Households,2017K3,2.5,184.6,4,12.2
Households,2017K4,4.4,184.6,3.9,12
Households,2018K1,6.8,183,3.8,12.1
Households,2018K2,-4.5,186.9,3.3,9.4
Households,2018K3,2.7,186.5,3.8,14.1
Households,2018K4,3.6,186.6,3.7,14
Households,2019K1,2.5,186.6,3.8,13.6
Households,2019K2,2.5,186.8,3.4,14
Households,2019K3,2.8,186.9,4,15
Households,2019K4,2.4,187.4,3.9,15.9
Households,2020K1,1.7,188.2,4,10.5
Households,2020K2,-5.6,193.6,3.8,13.1
Households,2020K3,0.2,195.6,4.2,17.7
Households,2020K4,1.8,197.5,4,18.5
Households,2021K1,4.2,197.4,3.8,17.2
Households,2021K2,6.6,196.7,3.4,13.7
Households,2021K3,3.9,197.3,3.9,14.9
Households,2021K4,2.4,198,3.7,14.3
Households,2022K1,4.2,196.8,3.3,14.3
Households,2022K2,3.9,194.4,3.2,11.5
Households,2022K3,-1.7,192.8,4.5,12.1
Households,2022K4,0,189.1,5.2,14
Households,2023K1,-2.6,186.4,5.6,14.4
Households,2023K2,-2,184,5.7,14.1
Households,2023K3,0.4,181.3,7.2,15
Households,2023K4,0.1,179.9,7.5,14.7
Households,2024K1,0.4,178.4,7.7,16.2
Households,2024K2,2.7,176.5,6.9,17
Households,2024K3,2.1,175.5,7.9,16
Households,2024K4,2.1,174.4,7,16.2
Households,2025K1,0.3,174.1,6.2,13.4
Households,2025K2,0.7,173.9,5.3,14
Households,2025K3,1.4,173.2,5.9,13.3
Households,2025K4,1.1,172.7,5.5,13.2
Households,2026K1,1,172.7,5.4,12.8
