country,iso_code,quarter,value
Japan,JPN,1995 Q4,97.53118
Japan,JPN,1996 Q1,97.25969
Japan,JPN,1996 Q2,97.97234
Japan,JPN,1996 Q3,97.80267
Japan,JPN,1996 Q4,98.07415
Japan,JPN,1997 Q1,97.8366
Japan,JPN,1997 Q2,99.90668
Japan,JPN,1997 Q3,99.87274
Japan,JPN,1997 Q4,100.1442
Japan,JPN,1998 Q1,99.737
Japan,JPN,1998 Q2,100.246
Japan,JPN,1998 Q3,99.66913
Japan,JPN,1998 Q4,100.6872
Japan,JPN,1999 Q1,99.63519
Japan,JPN,1999 Q2,99.97455
Japan,JPN,1999 Q3,99.66913
Japan,JPN,1999 Q4,99.66913
Japan,JPN,2000 Q1,99.02435
Japan,JPN,2000 Q2,99.2619
Japan,JPN,2000 Q3,99.02435
Japan,JPN,2000 Q4,98.8886
Japan,JPN,2001 Q1,98.61712
Japan,JPN,2001 Q2,98.54925
Japan,JPN,2001 Q3,98.3117
Japan,JPN,2001 Q4,97.97234
Japan,JPN,2002 Q1,97.25969
Japan,JPN,2002 Q2,97.70086
Japan,JPN,2002 Q3,97.53118
Japan,JPN,2002 Q4,97.42937
Japan,JPN,2003 Q1,97.02214
Japan,JPN,2003 Q2,97.46331
Japan,JPN,2003 Q3,97.29362
Japan,JPN,2003 Q4,97.12395
Japan,JPN,2004 Q1,96.8864
Japan,JPN,2004 Q2,97.15788
Japan,JPN,2004 Q3,97.19182
Japan,JPN,2004 Q4,97.63299
Japan,JPN,2005 Q1,96.92033
Japan,JPN,2005 Q2,97.05608
Japan,JPN,2005 Q3,96.8864
Japan,JPN,2005 Q4,96.8864
Japan,JPN,2006 Q1,96.78459
Japan,JPN,2006 Q2,97.22575
Japan,JPN,2006 Q3,97.49725
Japan,JPN,2006 Q4,97.22575
Japan,JPN,2007 Q1,96.68279
Japan,JPN,2007 Q2,97.15788
Japan,JPN,2007 Q3,97.3615
Japan,JPN,2007 Q4,97.70086
Japan,JPN,2008 Q1,97.63299
Japan,JPN,2008 Q2,98.44744
Japan,JPN,2008 Q3,99.46552
Japan,JPN,2008 Q4,98.71893
Japan,JPN,2009 Q1,97.53118
Japan,JPN,2009 Q2,97.53118
Japan,JPN,2009 Q3,97.22575
Japan,JPN,2009 Q4,96.71672
Japan,JPN,2010 Q1,96.68279
Japan,JPN,2010 Q2,96.75066
Japan,JPN,2010 Q3,96.24162
Japan,JPN,2010 Q4,96.44524
Japan,JPN,2011 Q1,96.17375
Japan,JPN,2011 Q2,96.37737
Japan,JPN,2011 Q3,96.37737
Japan,JPN,2011 Q4,96.13982
Japan,JPN,2012 Q1,96.47917
Japan,JPN,2012 Q2,96.54704
Japan,JPN,2012 Q3,95.97014
Japan,JPN,2012 Q4,95.90227
Japan,JPN,2013 Q1,95.8344
Japan,JPN,2013 Q2,96.27556
Japan,JPN,2013 Q3,96.81853
Japan,JPN,2013 Q4,97.25969
Japan,JPN,2014 Q1,97.29362
Japan,JPN,2014 Q2,99.70306
Japan,JPN,2014 Q3,100.0764
Japan,JPN,2014 Q4,99.77094
Japan,JPN,2015 Q1,99.53339
Japan,JPN,2015 Q2,100.28
Japan,JPN,2015 Q3,100.1782
Japan,JPN,2015 Q4,100.0085
Japan,JPN,2016 Q1,99.56732
Japan,JPN,2016 Q2,99.90668
Japan,JPN,2016 Q3,99.70306
Japan,JPN,2016 Q4,100.3139
Japan,JPN,2017 Q1,99.90668
Japan,JPN,2017 Q2,100.3139
Japan,JPN,2017 Q3,100.3139
Japan,JPN,2017 Q4,100.8908
Japan,JPN,2018 Q1,101.1962
Japan,JPN,2018 Q2,100.9926
Japan,JPN,2018 Q3,101.4338
Japan,JPN,2018 Q4,101.7731
Japan,JPN,2019 Q1,101.5017
Japan,JPN,2019 Q2,101.7392
Japan,JPN,2019 Q3,101.7731
Japan,JPN,2019 Q4,102.2822
Japan,JPN,2020 Q1,102.1804
Japan,JPN,2020 Q2,101.8749
Japan,JPN,2020 Q3,101.8071
Japan,JPN,2020 Q4,101.332
Japan,JPN,2021 Q1,101.6374
Japan,JPN,2021 Q2,101.1284
Japan,JPN,2021 Q3,101.63743557046979
Japan,JPN,2021 Q4,101.8410497986577
Japan,JPN,2022 Q1,102.51976389261745
Japan,JPN,2022 Q2,103.53783503355704
Japan,JPN,2022 Q3,104.55590617449664
Japan,JPN,2022 Q4,105.77759154362417
Japan,JPN,2023 Q1,106.25269140939598
Japan,JPN,2023 Q2,107.03321261744965
Japan,JPN,2023 Q3,107.84766953020134
Japan,JPN,2023 Q4,108.86574067114094
Japan,JPN,2024 Q1,108.9336120805369
Japan,JPN,2024 Q2,109.9516832214765
Japan,JPN,2024 Q3,110.83401154362414
Japan,JPN,2024 Q4,112.05569691275167
