country,quarter,gdp_growth_qoq,source
AUS,1996-Q1,1.523513993,OECD
AUS,1996-Q2,0.641597463,OECD
AUS,1996-Q3,0.814778394,OECD
AUS,1996-Q4,0.922654298,OECD
AUS,1997-Q1,0.711716865,OECD
AUS,1997-Q2,2.988976985,OECD
AUS,1997-Q3,0.153399511,OECD
AUS,1997-Q4,1.42943038,OECD
AUS,1998-Q1,0.614943981,OECD
AUS,1998-Q2,1.05306244,OECD
AUS,1998-Q3,1.859864246,OECD
AUS,1998-Q4,1.543026706,OECD
AUS,1999-Q1,0.746142458,OECD
AUS,1999-Q2,0.388418703,OECD
AUS,1999-Q3,1.098266066,OECD
AUS,1999-Q4,1.695367697,OECD
AUS,2000-Q1,0.394877999,OECD
AUS,2000-Q2,0.985017279,OECD
AUS,2000-Q3,0.272416685,OECD
AUS,2000-Q4,-0.406111601,OECD
AUS,2001-Q1,0.947418552,OECD
AUS,2001-Q2,0.899723913,OECD
AUS,2001-Q3,1.125485552,OECD
AUS,2001-Q4,1.188196284,OECD
AUS,2002-Q1,0.7813873,OECD
AUS,2002-Q2,1.740600142,OECD
AUS,2002-Q3,0.230728866,OECD
AUS,2002-Q4,0.834236585,OECD
AUS,2003-Q1,0.235598611,OECD
AUS,2003-Q2,0.408920772,OECD
AUS,2003-Q3,1.687089925,OECD
AUS,2003-Q4,1.692240626,OECD
AUS,2004-Q1,0.754827663,OECD
AUS,2004-Q2,0.754895375,OECD
AUS,2004-Q3,0.661819906,OECD
AUS,2004-Q4,0.757070241,OECD
AUS,2005-Q1,0.822721628,OECD
AUS,2005-Q2,0.465117402,OECD
AUS,2005-Q3,1.080970638,OECD
AUS,2005-Q4,0.808538163,OECD
AUS,2006-Q1,0.078082243,OECD
AUS,2006-Q2,0.284035329,OECD
AUS,2006-Q3,1.501476091,OECD
AUS,2006-Q4,1.23403329,OECD
AUS,2007-Q1,1.376825684,OECD
AUS,2007-Q2,0.664283909,OECD
AUS,2007-Q3,1.171412689,OECD
AUS,2007-Q4,0.351165604,OECD
AUS,2008-Q1,1.123992414,OECD
AUS,2008-Q2,0.367006528,OECD
AUS,2008-Q3,0.674771759,OECD
AUS,2008-Q4,-0.434732819,OECD
AUS,2009-Q1,1.022567225,OECD
AUS,2009-Q2,0.647028117,OECD
AUS,2009-Q3,0.310975935,OECD
AUS,2009-Q4,0.805988314,OECD
