quarter,policy_rate
1995K1,7.8023437499999995
1995K2,8.45949152542373
1995K3,8.902307692307692
1995K4,8.91
1996K1,8.27828125
1996K2,6.696610169491525
1996K3,5.483333333333333
1996K4,4.607258064516129
1997K1,4.1
1997K2,4.1
1997K3,4.1
1997K4,4.132258064516129
1998K1,4.35
1998K2,4.286440677966102
1998K3,4.1
1998K4,3.821428571428571
1999K1,3.270967741935484
1999K2,2.9
1999K3,2.9
1999K4,3.06953125
2000K1,3.546875
2000K2,3.75
2000K3,3.75
2000K4,3.7936507936507935
2001K1,4
2001K2,4
2001K3,4.161538461538462
2001K4,3.75
2002K1,3.778225806451613
2002K2,4.1625
2002K3,4.25
2002K4,4.100806451612903
2003K1,3.713709677419355
2003K2,3.389830508474576
2003K3,2.772727272727273
2003K4,2.75
2004K1,2.607142857142857
2004K2,2.033333333333333
2004K3,2
2004K4,2
2005K1,2
2005K2,1.9516129032258065
2005K3,1.5
2005K4,1.5
2006K1,1.77734375
2006K2,2.0296610169491527
2006K3,2.3192307692307694
2006K4,2.6865079365079363
2007K1,3.109375
2007K2,3.26271186440678
2007K3,3.55
2007K4,3.911290322580645
2008K1,4.108870967741935
2008K2,4.25
2008K3,4.534090909090909
2008K4,3.653225806451613
2009K1,1.5161290322580645
2009K2,0.6083333333333333
2009K3,0.2689393939393939
2009K4,0.25
2010K1,0.25
2010K2,0.25
2010K3,0.5492424242424242
2010K4,0.953125
2011K1,1.376984126984127
2011K2,1.6833333333333333
2011K3,1.9886363636363635
2011K4,1.97265625
2012K1,1.640625
2012K2,1.5
2012K3,1.45
2012K4,1.2298387096774193
2013K1,1
2013K2,1
2013K3,1
2013K4,0.9758064516129032
2014K1,0.75
2014K2,0.75
2014K3,0.29545454545454547
2014K4,0.08064516129032258
2015K1,-0.06048387096774194
2015K2,-0.25
2015K3,-0.3424242424242424
2015K4,-0.35
2016K1,-0.4237704918032787
2016K2,-0.5
2016K3,-0.5
2016K4,-0.5
2017K1,-0.5
2017K2,-0.5
2017K3,-0.5
2017K4,-0.5
2018K1,-0.5
2018K2,-0.5
2018K3,-0.5
2018K4,-0.5
2019K1,-0.2698412698412698
2019K2,-0.25
2019K3,-0.25
2019K4,-0.25
2020K1,-0.011904761904761904
2020K2,0
2020K3,0
2020K4,0
2021K1,0
2021K2,0
2021K3,0
2021K4,0
2022K1,0
2022K2,0.1625
2022K3,0.8484848484848485
2022K4,2.0078125
2023K1,2.7578125
2023K2,3.3389830508474576
2023K3,3.753846153846154
2023K4,4
2024K1,4
2024K2,3.870833333333333
2024K3,3.640151515151515
2024K4,3.004032258064516
2025K1,2.3548387096774195
2025K2,2.233050847457627
2025K3,2
2025K4,1.75
2026K1,1.75
2026K2,1.75
2026K3,1.75
