quarter,policy_rate
1995K1,7.79561797752809
1995K2,8.45054945054945
1995K3,8.89913043478261
1995K4,8.91
1996K1,8.274725274725276
1996K2,6.697802197802198
1996K3,5.47608695652174
1996K4,4.57554347826087
1997K1,4.1
1997K2,4.1
1997K3,4.1
1997K4,4.143478260869565
1998K1,4.35
1998K2,4.289560439560439
1998K3,4.1
1998K4,3.807065217391304
1999K1,3.2777777777777777
1999K2,2.9
1999K3,2.9
1999K4,3.071195652173913
2000K1,3.5357142857142856
2000K2,3.75
2000K3,3.75
2000K4,3.801630434782609
2001K1,4
2001K2,4
2001K3,4.157608695652174
2001K4,3.75
2002K1,3.783333333333333
2002K2,4.164835164835165
2002K3,4.25
2002K4,4.078804347826087
2003K1,3.713888888888889
2003K2,3.39010989010989
2003K3,2.7717391304347827
2003K4,2.75
2004K1,2.6126373626373627
2004K2,2.032967032967033
2004K3,2
2004K4,2
2005K1,2
2005K2,1.9505494505494505
2005K3,1.5
2005K4,1.5
2006K1,1.7694444444444444
2006K2,2.0274725274725274
2006K3,2.317934782608696
2006K4,2.698369565217391
2007K1,3.1083333333333334
2007K2,3.260989010989011
2007K3,3.551630434782609
2007K4,3.9184782608695654
2008K1,4.112637362637362
2008K2,4.25
2008K3,4.5353260869565215
2008K4,3.5597826086956523
2009K1,1.5333333333333334
2009K2,0.6153846153846154
2009K3,0.26902173913043476
2009K4,0.25
2010K1,0.25
2010K2,0.25
2010K3,0.5461956521739131
2010K4,0.9565217391304348
2011K1,1.3722222222222222
2011K2,1.6785714285714286
2011K3,1.986413043478261
2011K4,1.9701086956521738
2012K1,1.6428571428571428
2012K2,1.5
2012K3,1.4483695652173914
2012K4,1.2146739130434783
2013K1,1
2013K2,1
2013K3,1
2013K4,0.9619565217391305
2014K1,0.75
2014K2,0.75
2014K3,0.29347826086956524
2014K4,0.07608695652173914
2015K1,-0.058333333333333334
2015K2,-0.25
2015K3,-0.34239130434782605
2015K4,-0.35
2016K1,-0.4225274725274725
2016K2,-0.5
2016K3,-0.5
2016K4,-0.5
2017K1,-0.5
2017K2,-0.5
2017K3,-0.5
2017K4,-0.5
2018K1,-0.5
2018K2,-0.5
2018K3,-0.5
2018K4,-0.5
2019K1,-0.2722222222222222
2019K2,-0.25
2019K3,-0.25
2019K4,-0.25
2020K1,-0.019230769230769232
2020K2,0
2020K3,0
2020K4,0
2021K1,0
2021K2,0
2021K3,0
2021K4,0
2022K1,0
2022K2,0.15934065934065933
2022K3,0.8315217391304348
2022K4,2.010869565217391
2023K1,2.75
2023K2,3.3241758241758244
2023K3,3.75
2023K4,4
2024K1,4
2024K2,3.870879120879121
2024K3,3.6385869565217392
2024K4,2.9864130434782608
2025K1,2.3666666666666667
2025K2,2.2335164835164836
2025K3,2
2025K4,1.75
2026K1,1.75
2026K2,1.75
2026K3,1.75
