quarter,policy_rate
1995Q1,7.79561797752809
1995Q2,8.45054945054945
1995Q3,8.89913043478261
1995Q4,8.91
1996Q1,8.274725274725276
1996Q2,6.697802197802198
1996Q3,5.47608695652174
1996Q4,4.57554347826087
1997Q1,4.1
1997Q2,4.1
1997Q3,4.1
1997Q4,4.143478260869565
1998Q1,4.35
1998Q2,4.289560439560439
1998Q3,4.1
1998Q4,3.807065217391304
1999Q1,3.2777777777777777
1999Q2,2.9
1999Q3,2.9
1999Q4,3.071195652173913
2000Q1,3.5357142857142856
2000Q2,3.75
2000Q3,3.75
2000Q4,3.801630434782609
2001Q1,4
2001Q2,4
2001Q3,4.157608695652174
2001Q4,3.75
2002Q1,3.783333333333333
2002Q2,4.164835164835165
2002Q3,4.25
2002Q4,4.078804347826087
2003Q1,3.713888888888889
2003Q2,3.39010989010989
2003Q3,2.7717391304347827
2003Q4,2.75
2004Q1,2.6126373626373627
2004Q2,2.032967032967033
2004Q3,2
2004Q4,2
2005Q1,2
2005Q2,1.9505494505494505
2005Q3,1.5
2005Q4,1.5
2006Q1,1.7694444444444444
2006Q2,2.0274725274725274
2006Q3,2.317934782608696
2006Q4,2.698369565217391
2007Q1,3.1083333333333334
2007Q2,3.260989010989011
2007Q3,3.551630434782609
2007Q4,3.9184782608695654
2008Q1,4.112637362637362
2008Q2,4.25
2008Q3,4.5353260869565215
2008Q4,3.5597826086956523
2009Q1,1.5333333333333334
2009Q2,0.6153846153846154
2009Q3,0.26902173913043476
2009Q4,0.25
2010Q1,0.25
2010Q2,0.25
2010Q3,0.5461956521739131
2010Q4,0.9565217391304348
2011Q1,1.3722222222222222
2011Q2,1.6785714285714286
2011Q3,1.986413043478261
2011Q4,1.9701086956521738
2012Q1,1.6428571428571428
2012Q2,1.5
2012Q3,1.4483695652173914
2012Q4,1.2146739130434783
2013Q1,1
2013Q2,1
2013Q3,1
2013Q4,0.9619565217391305
2014Q1,0.75
2014Q2,0.75
2014Q3,0.29347826086956524
2014Q4,0.07608695652173914
2015Q1,-0.058333333333333334
2015Q2,-0.25
2015Q3,-0.34239130434782605
2015Q4,-0.35
2016Q1,-0.4225274725274725
2016Q2,-0.5
2016Q3,-0.5
2016Q4,-0.5
2017Q1,-0.5
2017Q2,-0.5
2017Q3,-0.5
2017Q4,-0.5
2018Q1,-0.5
2018Q2,-0.5
2018Q3,-0.5
2018Q4,-0.5
2019Q1,-0.2722222222222222
2019Q2,-0.25
2019Q3,-0.25
2019Q4,-0.25
2020Q1,-0.019230769230769232
2020Q2,0
2020Q3,0
2020Q4,0
2021Q1,0
2021Q2,0
2021Q3,0
2021Q4,0
2022Q1,0
2022Q2,0.15934065934065933
2022Q3,0.8315217391304348
2022Q4,2.010869565217391
2023Q1,2.75
2023Q2,3.3241758241758244
2023Q3,3.75
2023Q4,4
2024Q1,4
2024Q2,3.870879120879121
2024Q3,3.6385869565217392
2024Q4,2.9864130434782608
2025Q1,2.3666666666666667
2025Q2,2.2335164835164836
2025Q3,2
2025Q4,1.75
2026Q1,1.75
2026Q2,1.75
2026Q3,1.75
