"","d_oil_price_log","d_fed_funds_rate","d_kix_gdp_log","d_kix_cpi","d_gdp_se_log","d_cons_total_log","d_cons_durable_log","d_cons_habitual_log","d_unemployment_rate","d_consumer_confidence","d_house_price_real_log","d_debt_income","d_debt_to_asset_ratio","d_dsr_value","d_liquid_asset_to_income_ratio","d_saving_rate","d_cpi_log","d_policy_rate","d_kix_real_log"
"d_oil_price_log",1,0.247927253533263,0.429327038400399,0.404702141320725,0.470918749910134,0.357694109181074,0.261217164451795,0.328018502314614,-0.163894026098942,0.162778478465822,0.109789632706877,-0.0113124349867577,-0.15237559581702,0.0448430315881231,-0.0771338116069549,-0.128011530280026,0.235794828073788,0.0971993609857986,-0.363592003878124
"d_fed_funds_rate",0.247927253533263,1,0.306740869543023,0.210205726730498,0.294807692079262,0.191622897432261,0.0700176760976837,0.195812923009571,-0.242258619660517,0.117879668007607,-0.14062472760488,-0.199440744695289,-0.035075541144186,0.0348791786192368,0.0685957485145548,-0.182099806570555,0.310776033010301,0.325266508186246,-0.139241298459686
"d_kix_gdp_log",0.429327038400399,0.306740869543023,1,0.258322580721568,0.741585937185297,0.741989721816387,0.411515818123961,0.669822083492292,-0.260848092543148,0.313512367139953,0.114783446967676,-0.0997724363721376,-0.169320916099806,-0.016535068527233,-0.128254992433485,-0.19282385632559,0.137261138277887,0.100761413713725,-0.170421900520722
"d_kix_cpi",0.404702141320725,0.210205726730498,0.258322580721568,1,0.199674226270794,0.138553777622095,-0.0733956711092079,0.182488160983256,-0.305779885474573,-0.274790253224955,-0.279702737734882,-0.440124525580509,0.0175944390151085,-0.0488929268384942,-0.252001841254019,-0.0825135084476857,0.643995489134561,0.219706256945345,-0.042133087813136
"d_gdp_se_log",0.470918749910134,0.294807692079262,0.741585937185297,0.199674226270794,1,0.719741468050471,0.385505126853228,0.695554443593954,-0.358063260854958,0.358115684607493,0.237883446992203,-0.0345004450235716,-0.242489642775829,-0.00542675206360728,-0.126422248148769,-0.277223479458837,0.0333815539698911,0.100635901318808,-0.167269897814308
"d_cons_total_log",0.357694109181074,0.191622897432261,0.741989721816387,0.138553777622095,0.719741468050471,1,0.431484599772395,0.975165608772779,-0.19907662036416,0.371455865481502,0.271050094317069,-0.0863695254879786,-0.178898294975422,-0.105021344129493,-0.169938632085916,-0.385551676513025,-0.0708287158541677,-0.0355342697902504,-0.00316395278476119
"d_cons_durable_log",0.261217164451795,0.0700176760976837,0.411515818123961,-0.0733956711092079,0.385505126853228,0.431484599772395,1,0.26342924650329,-0.0610028778819546,0.23502216423008,0.265266178468028,0.301327211950216,-0.180358655446079,0.0170455242830903,0.144755479068687,-0.186796662159886,-0.183332778757337,-0.114045050054459,-0.0527321924592547
"d_cons_habitual_log",0.328018502314614,0.195812923009571,0.669822083492292,0.182488160983256,0.695554443593954,0.975165608772779,0.26342924650329,1,-0.231689746928186,0.353765742843931,0.24205097895936,-0.165323945836533,-0.15913378106806,-0.128343097123579,-0.206832281296904,-0.39769699988861,-0.0449747417949978,-0.018615579880995,0.027049369834205
"d_unemployment_rate",-0.163894026098942,-0.242258619660517,-0.260848092543148,-0.305779885474573,-0.358063260854958,-0.19907662036416,-0.0610028778819546,-0.231689746928186,1,-0.00415914664830357,-0.0906667228842464,0.0955942404961203,0.0601301702267587,-0.201825499593323,0.0990804415180079,0.112322684182604,-0.163698218234366,-0.303176487124991,-0.0162226541791695
"d_consumer_confidence",0.162778478465822,0.117879668007607,0.313512367139953,-0.274790253224955,0.358115684607493,0.371455865481502,0.23502216423008,0.353765742843931,-0.00415914664830357,1,0.272287774604524,0.00522313535329495,-0.115113031085931,-0.157527471829942,0.280413391648253,-0.168586107262485,-0.386131430696221,-0.214372785335572,-0.0975773241512811
"d_house_price_real_log",0.109789632706877,-0.14062472760488,0.114783446967676,-0.279702737734882,0.237883446992203,0.271050094317069,0.265266178468028,0.24205097895936,-0.0906667228842464,0.272287774604524,1,0.518169479734547,-0.717097902255577,-0.105256553282897,0.172557588975577,-0.140000373052213,-0.628583233768807,-0.268466971249729,-0.00687028329568373
"d_debt_income",-0.0113124349867577,-0.199440744695289,-0.0997724363721376,-0.440124525580509,-0.0345004450235716,-0.0863695254879786,0.301327211950216,-0.165323945836533,0.0955942404961203,0.00522313535329495,0.518169479734547,1,-0.296396001364986,0.115089080381544,0.310140482774717,-0.136033467236916,-0.473442869965474,-0.242885243612912,-0.0935340800584669
"d_debt_to_asset_ratio",-0.15237559581702,-0.035075541144186,-0.169320916099806,0.0175944390151085,-0.242489642775829,-0.178898294975422,-0.180358655446079,-0.15913378106806,0.0601301702267587,-0.115113031085931,-0.717097902255577,-0.296396001364986,1,0.0760224042366313,-0.125264521248489,0.165880383345566,0.225151797362053,0.0995747913622472,0.0930150830649248
"d_dsr_value",0.0448430315881231,0.0348791786192368,-0.016535068527233,-0.0488929268384942,-0.00542675206360728,-0.105021344129493,0.0170455242830903,-0.128343097123579,-0.201825499593323,-0.157527471829942,-0.105256553282897,0.115089080381544,0.0760224042366313,1,0.0598064352708616,-0.00498393510587974,0.224971861485375,0.505111751942888,-0.119132971451754
"d_liquid_asset_to_income_ratio",-0.0771338116069549,0.0685957485145548,-0.128254992433485,-0.252001841254019,-0.126422248148769,-0.169938632085916,0.144755479068687,-0.206832281296904,0.0990804415180079,0.280413391648253,0.172557588975577,0.310140482774717,-0.125264521248489,0.0598064352708616,1,-0.362806067790564,-0.2493538270787,-0.127216948287377,-0.133841026049314
"d_saving_rate",-0.128011530280026,-0.182099806570555,-0.19282385632559,-0.0825135084476857,-0.277223479458837,-0.385551676513025,-0.186796662159886,-0.39769699988861,0.112322684182604,-0.168586107262485,-0.140000373052213,-0.136033467236916,0.165880383345566,-0.00498393510587974,-0.362806067790564,1,0.0641376952143287,0.121232968927322,0.0405514024765795
"d_cpi_log",0.235794828073788,0.310776033010301,0.137261138277887,0.643995489134561,0.0333815539698911,-0.0708287158541677,-0.183332778757337,-0.0449747417949978,-0.163698218234366,-0.386131430696221,-0.628583233768807,-0.473442869965474,0.225151797362053,0.224971861485375,-0.2493538270787,0.0641376952143287,1,0.572438674462758,-0.199736106754197
"d_policy_rate",0.0971993609857986,0.325266508186246,0.100761413713725,0.219706256945345,0.100635901318808,-0.0355342697902504,-0.114045050054459,-0.018615579880995,-0.303176487124991,-0.214372785335572,-0.268466971249729,-0.242885243612912,0.0995747913622472,0.505111751942888,-0.127216948287377,0.121232968927322,0.572438674462758,1,-0.257049691759771
"d_kix_real_log",-0.363592003878124,-0.139241298459686,-0.170421900520722,-0.042133087813136,-0.167269897814308,-0.00316395278476119,-0.0527321924592547,0.027049369834205,-0.0162226541791695,-0.0975773241512811,-0.00687028329568373,-0.0935340800584669,0.0930150830649248,-0.119132971451754,-0.133841026049314,0.0405514024765795,-0.199736106754197,-0.257049691759771,1
