"","gdp_growth","consumption_growth","debt_growth","asset_liability_ratio","saving_rate","debt_income","interest_burden","real_house_price_growth","cpi_growth","policy_rate","exchange_rate_growth","export_growth"
"gdp_growth",1,0.687058010031783,0.137246279479728,0.0772331245893945,-0.106829343792459,-0.0813493632833695,-0.106234872049947,0.237645929847431,-0.0139371787837766,-0.056646718209006,-0.201955022870931,0.762024638962404
"consumption_growth",0.687058010031783,1,0.104091286242587,0.0404790133927546,-0.137367423105518,-0.105494081946511,-0.00593385368117639,0.258898709783286,-0.115116329528123,-0.0168752745729576,-0.10326735766977,0.592558791991782
"debt_growth",0.137246279479728,0.104091286242587,1,-0.348882014894699,-0.522858658657185,-0.380667970779467,-0.192919614703665,0.414809454002599,-0.00149629402646014,-0.0100098983329646,-0.0293492761857719,0.090109847329641
"asset_liability_ratio",0.0772331245893945,0.0404790133927546,-0.348882014894699,1,0.614023920355015,0.682826844163863,-0.388084569989692,-0.0965852489266433,0.227668357549185,-0.380088949418131,-0.0226979260959985,0.0440331011194535
"saving_rate",-0.106829343792459,-0.137367423105518,-0.522858658657185,0.614023920355015,1,0.931285811625058,-0.469234675537255,-0.292619591773866,0.181532912805762,-0.605944963823793,-0.0317240679351636,-0.13549646572669
"debt_income",-0.0813493632833695,-0.105494081946511,-0.380667970779467,0.682826844163863,0.931285811625058,1,-0.6406343899159,-0.271276477645122,0.259595867313998,-0.761384901305522,0.0170092560096135,-0.10807966715855
"interest_burden",-0.106234872049947,-0.00593385368117639,-0.192919614703665,-0.388084569989692,-0.469234675537255,-0.6406343899159,1,-0.119992462325485,-0.222400835192318,0.889629267184103,0.0229272269546161,-0.047056150840628
"real_house_price_growth",0.237645929847431,0.258898709783286,0.414809454002599,-0.0965852489266433,-0.292619591773866,-0.271276477645122,-0.119992462325485,1,-0.510331048994636,-0.0547237183770366,-0.143543508331458,0.188893472068304
"cpi_growth",-0.0139371787837766,-0.115116329528123,-0.00149629402646014,0.227668357549185,0.181532912805762,0.259595867313998,-0.222400835192318,-0.510331048994636,1,-0.0144868379808622,0.0388096972168218,0.0629981950059211
"policy_rate",-0.056646718209006,-0.0168752745729576,-0.0100098983329646,-0.380088949418131,-0.605944963823793,-0.761384901305522,0.889629267184103,-0.0547237183770366,-0.0144868379808622,1,-0.000771680263616451,0.0116896112545743
"exchange_rate_growth",-0.201955022870931,-0.10326735766977,-0.0293492761857719,-0.0226979260959985,-0.0317240679351636,0.0170092560096135,0.0229272269546161,-0.143543508331458,0.0388096972168218,-0.000771680263616451,1,-0.13032023040327
"export_growth",0.762024638962404,0.592558791991782,0.090109847329641,0.0440331011194535,-0.13549646572669,-0.10807966715855,-0.047056150840628,0.188893472068304,0.0629981950059211,0.0116896112545743,-0.13032023040327,1
