"","series","type","ind","time","coefhat","tstat"
"1","oil_price_log","AO",29,"2003:01",0.186819519787468,3.19276829681761
"2","oil_price_log","LS",52,"2008:04",-0.610859299413042,-5.87750051954476
"3","oil_price_log","LS",54,"2009:02",0.315365687004205,3.21081989271093
"4","oil_price_log","AO",77,"2015:01",-0.216580190759935,-3.69374216476982
"5","oil_price_log","AO",81,"2016:01",-0.247799178472435,-4.2481699832218
"6","oil_price_log","TC",98,"2020:02",-0.453551870076839,-5.28533076360026
"7","fed_funds_rate","AO",51,"2008:03",0.768001494026105,6.0002731614656
"8","kix_cpi","TC",22,"2001:02",0.00640574949347089,5.43374513698119
"9","kix_cpi","LS",98,"2020:02",-0.00565914932490098,-4.0280739469188
"10","kix_cpi","LS",106,"2022:02",0.00530657404598896,3.72098148481241
"11","gdp_se_log","LS",99,"2020:03",0.0573250666192697,4.00550893440799
"12","cons_total_log","TC",98,"2020:02",-0.128519580282655,-11.9793972061867
"13","cons_habitual_log","TC",98,"2020:02",-0.126931751542496,-12.4438599928033
"14","cons_habitual_log","AO",106,"2022:02",0.030459351705602,3.82433753698847
"15","unemployment_rate","AO",94,"2019:02",-0.479076913206227,-3.78173424623624
"16","unemployment_rate","LS",98,"2020:02",1.09808739830225,5.63903547098348
"17","unemployment_rate","AO",99,"2020:03",0.56256401573213,4.40640727398251
"18","unemployment_rate","AO",107,"2022:03",-0.510187935266178,-4.02328615351811
"19","unemployment_rate","AO",117,"2025:01",0.455365433395459,3.59034877405444
"20","consumer_confidence","LS",98,"2020:02",-12.690716368653,-6.25389399398046
"21","debt_income","LS",98,"2020:02",4.53909755727587,5.28891368915496
"22","debt_to_asset_ratio","AO",21,"2001:01",-1.10065534795714,-4.05239584360458
"23","debt_to_asset_ratio","TC",28,"2002:04",1.55825654134411,3.88058025344212
"24","dsr_value","LS",53,"2009:01",-0.656702899357881,-5.12637721629628
"25","saving_rate","AO",85,"2017:01",-6.63639890205779,-5.01093266056739
"26","cpi_log","TC",29,"2003:01",0.0125795898056365,3.83720024708978
"27","policy_rate","LS",31,"2003:03",-0.489772604827714,-3.774174596011
"28","policy_rate","LS",34,"2004:02",-0.477606167608267,-3.67743899779323
"29","policy_rate","AO",52,"2008:04",-1.09324564036411,-6.13964655589424
"30","policy_rate","LS",53,"2009:01",-2.94925338619785,-8.14771677568385
"31","policy_rate","TC",54,"2009:02",-0.475227094564683,-3.20505767901551
"32","policy_rate","AO",74,"2014:02",0.230863114124936,3.24339992782326
