"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"d_oil_price_log",-0.267824245242138,-0.119127462372192,-0.164411700050484,0.0530654720847659,-0.425654382116528,0.139895582279473,0.127432050996086,-0.106426602309407,0.292669790819437,-0.0685176313791456,-0.593162795303766,-0.152930187361587,-0.180140122728641,0.0503170872179388,-0.186933222008069,-0.337339670068745,0.04891326972424,0.0649021954424155,-0.00212578479037357
"d_fed_funds_rate",-0.170340558337593,-0.193128706110613,-0.166732782245159,-0.280563129896667,0.000497784943929838,-0.191434625205169,-0.349146322511427,-0.355166637484378,-0.49857552395083,0.310791412568708,-0.344945415724119,-0.0139703075361107,0.0904296202668392,-0.214907110022981,0.0507176935642196,0.143094414347885,-0.0178754010402664,-0.0194234482471208,0.00411159979540908
"d_kix_gdp_log",-0.389965455450793,-0.0828090358132977,0.0436978320355004,-0.0101264406616587,0.0167099900819359,0.177798622766007,0.042138707939952,-0.0690292065897762,-0.107116455230205,-0.0480501867003369,0.209682859772453,0.567171522157384,-0.00953260203604975,-0.177776761455618,0.127689458730077,-0.332251253402485,0.50230324671228,-0.0558823449056344,-0.0858473311599381
"d_kix_cpi",-0.117580389509031,-0.35597862007467,0.0715079032789397,0.148128353365889,-0.317419694284679,-0.33809506953139,0.169092727548596,-0.104483200850364,0.188694798308088,-0.220830048319621,0.0512047451502,0.0764939967943409,-0.0742495546234298,-0.0900553090483237,0.267490598855695,0.583953394985698,0.168432365642207,0.172544696065745,0.025773727345099
"d_gdp_se_log",-0.406575954430066,-0.0382630611175311,-0.0011748797571291,0.0458579576808414,0.057733164972943,0.101595938556881,-0.0443120628694045,-0.0224878563005581,0.0502273985731606,0.0884481542891552,0.0505118107533499,0.311803555803063,0.145866306797251,0.416801651849514,-0.582669179011309,0.36984189367521,-0.171169090324421,-0.0597599189020628,0.0269743363386171
"d_cons_total_log",-0.417830298629336,0.0187671565678799,0.200133740888755,-0.00922242803649755,0.145130790070119,0.0607698447569401,0.112188115001245,0.201576031042389,-0.104836699035141,0.0127869360655363,0.0120418103022928,-0.119652014923146,-0.203211783861425,-0.194353654515246,0.115994426252164,-0.0216528034555791,-0.221780604110324,0.0695143951457226,0.730975662221711
"d_cons_durable_log",-0.236324501854045,0.150384032330373,-0.117387439616437,-0.0295196929731634,0.0459214079952125,0.209072991739079,0.455753563928688,-0.524027494541672,-0.199236834783877,-0.186942880304005,0.276460662809764,-0.433281925107122,0.152277236300002,-0.00858272791310913,-0.012073415747698,0.0489070285172542,-0.00817223171103179,-0.0181932859600414,-0.11723303481733
"d_cons_habitual_log",-0.399448647217705,-0.010040843347398,0.2429583631486,-0.00299940636190883,0.152347758947722,-0.0185481855479759,0.0217321622932166,0.305897975139892,-0.0427323260966685,0.0533020817419157,-0.0497044314706376,-0.123954349554552,-0.236534263013868,-0.16766690070797,0.100928745061644,0.0381479716166445,-0.299295567592574,0.118076780046154,-0.664813958917833
"d_unemployment_rate",0.170792590156351,0.156583944365979,0.143761860352048,-0.23066762671523,-0.342662297360653,0.28835118238245,0.205493160688319,0.337643349338337,-0.542162002198675,-0.277459823633182,-0.219693791172542,0.0891534225030425,-0.0586813688133316,0.0836297593699202,-0.0544867304222492,0.240386973651169,0.121174724230907,-0.0467602206838216,-0.0210416384258314
"d_consumer_confidence",-0.210866697278933,0.205337165896058,0.0586861624756063,-0.389564444174074,0.0368445232085484,0.216285117129027,-0.410749808674236,-0.0647139026677421,0.284615980358295,-0.311173889774219,-0.0895250504727951,-0.0503504266945615,0.176311373021525,0.314390563710351,0.456592615422194,0.0995077659480878,-0.00543280116357315,-0.0166790582025589,0.0113360487102218
"d_house_price_real_log",-0.166754249014863,0.375031957320924,-0.13719865744099,0.369487313810618,-0.0470718295932033,-0.114482701000769,-0.208030772260901,0.0589988774232435,0.00312919465597063,-0.0565667758657005,-0.0540452942667637,-0.144620412738262,-0.192944082717613,-0.138573472095995,0.00530468465233373,0.19283279096615,0.197087857445438,-0.6741376781857,-0.0112496914179352
"d_debt_income",0.00913261677243903,0.345823367905784,-0.33657513093553,0.161083690364464,0.0145905752055089,0.0490480442092137,0.300302337673791,-0.0762203036062954,-0.0435220466854394,0.399641543051083,-0.137619796137043,0.306977985671893,-0.210289492005411,0.290008586159169,0.432847551056823,0.1054364215275,-0.14406015709698,0.141795909829215,-0.00634593872999075
"d_debt_to_asset_ratio",0.162742213226246,-0.216885627619482,0.206123692047335,-0.390696737847186,0.243463397456055,0.278189236092448,0.259722310061851,-0.111389136918962,0.300106861176682,0.325791904218435,-0.108404718990949,-0.0306927416746909,-0.283447972677495,-0.0696573874590085,-0.014122126089633,0.229596368691471,0.179252627724258,-0.368256620636413,-0.00814791809598348
"d_dsr_value",0.0274649446066101,-0.133552207310362,-0.452817988227224,0.0821276519189672,0.465912359194576,0.148992055830975,0.174482634337958,0.208202574615106,0.0851149448698668,-0.316909807935085,-0.32797856214883,0.13460469007268,0.316231697694595,-0.311399147677473,0.019344816812029,0.151117535905905,-0.0529984468362412,-0.0114496716869827,-0.00822340473867977
"d_liquid_asset_to_income_ratio",0.0251526658251581,0.221047541170559,-0.343142207920454,-0.481629507000889,-0.0371375411078539,-0.277471959887675,0.00787223180412779,-0.0865531698715393,0.106069229025464,-0.296641599765354,0.19409441066409,0.219404564456698,-0.449975617076141,-0.188730524070642,-0.224671763969184,-0.0202521688088669,-0.200300776310915,0.0265479670286681,-0.000724596129582126
"d_saving_rate",0.202585871364976,-0.087642002357863,0.0993461792165844,0.331495668538226,-0.0602730385408851,0.535901091458513,-0.315388476014384,-0.35140343162826,-0.0284899685582861,-0.159616525872858,0.0356068285015554,0.181261779797042,-0.285418211847208,-0.235649041561136,0.00402677252007852,0.111864850080795,-0.317473319658733,0.0833733258863729,-0.00803256610480826
"d_cpi_log",0.00197016249080229,-0.470678281162096,-0.101778770529448,-0.0191359253971064,-0.143451118115735,-0.0681133258591363,0.125215800967062,0.0377807394085549,-0.135397176271171,-0.135319480905793,0.118684531155066,0.105789570030284,0.0283154842495439,0.242759850046296,0.245814977297162,-0.23073912866578,-0.44587061223191,-0.539535565995832,-0.0137420759928538
"d_policy_rate",-0.0200544533987542,-0.339722410264318,-0.350607184329848,0.0732737735908102,0.26193946736086,0.111425263207546,-0.196708307324581,0.146880904956373,-0.198515612832996,-0.0946903030121632,0.137542159105556,-0.276792990075989,-0.447522593843498,0.379446825953806,-0.00659261559827183,0.0206651725487553,0.313301778769516,0.166653734051154,0.0055471418757299
"d_kix_real_log",0.0849531841557112,0.0714609990736141,0.400790631427841,0.137615752143818,0.419897637394453,-0.336941985950315,0.112029193430674,-0.316728430928802,-0.140323008441006,-0.343240702865591,-0.362737074303681,0.1440550271986,-0.175259656941019,0.258571702106131,-0.031159410285333,-0.122893972150286,0.0368970739750421,-0.0231273276269257,0.00368101891051035
