"","Variable","Is_Seasonal"
"1","oil_price_log",FALSE
"2","fed_funds_rate",FALSE
"3","kix_gdp_log",FALSE
"4","kix_cpi",TRUE
"5","gdp_se_log",FALSE
"6","cons_total_log",TRUE
"7","cons_durable_log",TRUE
"8","cons_habitual_log",TRUE
"9","unemployment_rate",FALSE
"10","consumer_confidence",FALSE
"11","house_price_real_log",TRUE
"12","debt_income",FALSE
"13","debt_to_asset_ratio",TRUE
"14","dsr_value",FALSE
"15","liquid_asset_to_income_ratio",TRUE
"16","saving_rate",TRUE
"17","cpi_log",TRUE
"18","policy_rate",FALSE
"19","kix_real_log",FALSE
