"","d_gdp_se_log","d_unemployment_rate","d_cpi_log","d_policy_rate","d_cons_durable_log","d_debt_to_asset_ratio","d_dsr_value","d_liquid_asset_to_income_ratio","d_saving_rate","d_kix_real_log"
"d_gdp_se_log",1,-0.358393083129324,0.021549127286379,0.105068100598207,0.372504775145523,-0.238063377996382,-0.00234145664523676,-0.110586834356752,-0.265844304222236,-0.15832304921135
"d_unemployment_rate",-0.358393083129324,1,-0.151817740973854,-0.318864321381577,-0.0542475041594684,0.0687269102074791,-0.212975350380254,0.0802740973961547,0.0951530823074207,-0.0224094584854061
"d_cpi_log",0.021549127286379,-0.151817740973854,1,0.559626518511473,-0.183118459392025,0.217830984789525,0.236907511832348,-0.265502406348565,0.0699712871813561,-0.184975789945486
"d_policy_rate",0.105068100598207,-0.318864321381577,0.559626518511473,1,-0.120849801647212,0.0970722616424428,0.513864066748987,-0.135712431156345,0.13244952795363,-0.233413555501306
"d_cons_durable_log",0.372504775145523,-0.0542475041594684,-0.183118459392025,-0.120849801647212,1,-0.173395094159247,0.00798298019865055,0.0934281084618613,-0.190363252733754,-0.0541175795788825
"d_debt_to_asset_ratio",-0.238063377996382,0.0687269102074791,0.217830984789525,0.0970722616424428,-0.173395094159247,1,0.0727330134524354,-0.0969808102503714,0.159847256787914,0.0917998699032402
"d_dsr_value",-0.00234145664523676,-0.212975350380254,0.236907511832348,0.513864066748987,0.00798298019865055,0.0727330134524354,1,0.0328544359627613,0.0100992757709091,-0.0739585165926476
"d_liquid_asset_to_income_ratio",-0.110586834356752,0.0802740973961547,-0.265502406348565,-0.135712431156345,0.0934281084618613,-0.0969808102503714,0.0328544359627613,1,-0.374572163700475,-0.124113604346728
"d_saving_rate",-0.265844304222236,0.0951530823074207,0.0699712871813561,0.13244952795363,-0.190363252733754,0.159847256787914,0.0100992757709091,-0.374572163700475,1,0.0479761771815306
"d_kix_real_log",-0.15832304921135,-0.0224094584854061,-0.184975789945486,-0.233413555501306,-0.0541175795788825,0.0917998699032402,-0.0739585165926476,-0.124113604346728,0.0479761771815306,1
