"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"d_fed_funds_rate",0.306065296848617,-0.0770677596264616,-0.212868708385015,0.244514146082369,0.060637443287902,0.0342837184382524,0.772222577185941,0.248213160888689,0.130330488666933,0.301570958790076,-0.0305795602809655,-0.152412881262493,-0.0199677157254977
"d_kix_gdp_log",0.430516413324056,0.209624108183125,0.0879973054717336,-0.0849981348196159,-0.184737586459215,0.183032629689494,-0.00107510452097417,0.040774055509784,-0.469966388211475,0.0809754219406748,0.557773781006195,0.2160266934048,-0.318194901831063
"d_kix_cpi",0.305603509554285,-0.224080826750427,0.251580185902472,0.445152599006218,0.134450417475283,-0.310089456570744,-0.279095666815333,-0.0897641378832897,-0.23299216224095,0.103745296463742,-0.234049696884143,-0.387464518658623,-0.353270471642639
"d_gdp_se_log",0.434956961739203,0.256803911367927,0.0454087482807243,-0.189053479578765,-0.115255621755757,0.106520734329407,0.000253731662281306,-0.0723547867229972,-0.12635728591443,0.0398467132283023,-0.7302382336564,0.343968386409392,0.0898841601626569
"d_unemployment_rate",-0.308972007840902,0.0824308831441572,0.0440795247430013,0.278305654720996,-0.394864446048615,0.306859420227809,-0.128955765527845,0.67989054695671,-0.149050685495317,-0.0432248984724037,-0.208317710056712,-0.0652048065209882,-0.132855531584154
"d_cpi_log",0.25323926807266,-0.467375101932692,0.0655541612214857,0.350227863376945,-0.0476459460188088,-0.00215960370305019,-0.160590642243638,0.148741084054517,-0.0749928367295813,-0.0433656990475233,0.149919460607634,0.363753253068048,0.614807803412723
"d_policy_rate",0.248245900711933,-0.4410942767066,-0.225372247889175,-0.215847821991942,-0.0470489078958301,0.0289600892632471,0.0626630571748472,0.142304145730172,0.129641922440726,-0.691137730525184,-0.0577561374007333,0.0275070016497151,-0.347313499840507
"d_cons_habitual_log",0.378466526683841,0.328621048187618,0.177623521914826,-0.0821101743880342,0.061808719982384,0.245019495397218,-0.123036842475851,0.130729151270659,0.177495154458563,-0.277528329993471,0.111426614307912,-0.58700199330261,0.385852715010459
"d_debt_to_asset_ratio",-0.0958581798924276,-0.274753935156837,0.149991417177212,0.127706474623863,0.227522427439611,0.822830594271046,0.0419302503829787,-0.35251576971691,-0.0265228085427658,0.0560319880459205,-0.0764318088422656,-0.0267834308377987,-0.106163756976676
"d_dsr_value",0.0923602686022143,-0.31267118971917,-0.368596729392829,-0.488658837940631,0.187350146977228,0.0965582583560767,-0.327228268009889,0.285910685995488,-0.135512741817148,0.470927756791977,-0.0365802012784793,-0.204793431790044,0.0489218597826953
"d_liquid_asset_to_income_ratio",-0.110703747105976,0.190346807759072,-0.617352161564786,0.239727253216698,0.176096033272963,0.018446877187251,0.0359730643023753,-0.167550608110888,-0.564152117199511,-0.277570795291622,-0.0642493455047167,-0.131537278698344,0.18830657492069
"d_saving_rate",-0.169782336534588,-0.302765719346597,0.342183549775843,-0.341171347950979,-0.359588851258861,-0.10346856668804,0.357761472482033,-0.129677886962282,-0.463832619893721,-0.0529188100252288,-0.0764436668933177,-0.293620086435295,0.226279486674165
"d_kix_real_log",-0.123049784443655,0.0708205579313065,0.369366318684,-0.129138259288852,0.720716226780865,-0.0732203656054562,0.161768955025219,0.388352149248175,-0.251529288159839,-0.164153269542242,-0.0339240519367743,0.183279004209345,0.00017385249826686
