"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"d_gdp_se_log",0.409535888140067,0.417129020026883,-0.131602220179716,0.128979757873913,-0.00268767113415112,-0.0896923163306354,-0.273240551993808,-0.283163328705077,0.453044808069927,0.506147618188684
"d_unemployment_rate",-0.418683696208539,-0.0841044605212411,0.0416940591793998,0.379360343825314,-0.28093888434719,0.647820501162613,-0.306740557735759,-0.252637621565715,0.00487793363907574,0.124259192495508
"d_cpi_log",0.381128576041834,-0.337169801516215,-0.0350262540779974,0.16377780229285,-0.333527751039445,0.221655802068223,0.540779280505331,-0.0913975888390173,0.455456082059761,-0.210711838805067
"d_policy_rate",0.483667041309526,-0.325406606664026,0.140277414997004,-0.000720419227799703,0.0666497004451413,0.0937697365156122,0.0236376210806684,-0.414719391422045,-0.619693332215353,0.265881136090099
"d_cons_habitual_log",0.311756956003944,0.474201753615539,-0.250248910583702,-0.00457725168319589,-0.226131330740931,0.157330418144208,-0.204618718719045,-0.140695654398849,-0.252540155231904,-0.643401874672593
"d_debt_to_asset_ratio",-0.0300367932948298,-0.32710490608409,-0.158624285012705,-0.256078643365266,-0.720382090810637,-0.388622534327858,-0.352603828767856,0.0197313815585291,-0.0158642448599763,0.0800870987590749
"d_dsr_value",0.317269218723319,-0.269220987993956,0.315535614207818,-0.359825548900531,0.214133494860339,0.34728175232939,-0.510362007409671,0.275437358000002,0.265174718567315,-0.15720253089757
"d_liquid_asset_to_income_ratio",-0.180370674662055,0.14964477220623,0.687010205502856,-0.190170054151158,-0.087564587246823,-0.221457805607851,0.0395113079003414,-0.548552812405165,0.165925902540607,-0.224078862734734
"d_saving_rate",-0.0996023904476136,-0.414020747963345,-0.374540439403553,0.221207372164354,0.419320621829478,-0.26872764417512,-0.264844411124933,-0.415047507776474,0.188783655758354,-0.321500150376473
"d_kix_real_log",-0.191266668165639,0.0347172143353367,-0.400531398705054,-0.729696693569142,0.0771164473192008,0.310993202526338,0.199693513556514,-0.326224024411437,0.0758289490545032,0.120895613171328
