Variable,Specification,ADF_Stat,ADF_Crit_5pct,ADF_Pass,KPSS_Stat,KPSS_Crit_5pct,KPSS_Pass,Verdict
oil_price_log,Drift (Constant),-2.06,-2.88,FALSE,1.451,0.463,FALSE,Non-Stationary (I(1))
oil_price_log,Trend (Constant + Trend),-2.258,-3.43,FALSE,0.426,0.146,FALSE,Non-Stationary (I(1))
fed_funds_rate,Drift (Constant),-2.775,-2.88,FALSE,0.703,0.463,FALSE,Non-Stationary (I(1))
fed_funds_rate,Trend (Constant + Trend),-2.795,-3.43,FALSE,0.343,0.146,FALSE,Non-Stationary (I(1))
kix_gdp_log,Drift (Constant),-0.98,-2.88,FALSE,2.447,0.463,FALSE,Non-Stationary (I(1))
kix_gdp_log,Trend (Constant + Trend),-3.338,-3.43,FALSE,0.203,0.146,FALSE,Non-Stationary (I(1))
kix_cpi,Drift (Constant),-0.453,-2.88,FALSE,2.428,0.463,FALSE,Non-Stationary (I(1))
kix_cpi,Trend (Constant + Trend),-1.992,-3.43,FALSE,0.248,0.146,FALSE,Non-Stationary (I(1))
gdp_se_log,Drift (Constant),-1.768,-2.88,FALSE,2.426,0.463,FALSE,Non-Stationary (I(1))
gdp_se_log,Trend (Constant + Trend),-2.75,-3.43,FALSE,0.339,0.146,FALSE,Non-Stationary (I(1))
cons_total_log,Drift (Constant),-1.797,-2.88,FALSE,2.458,0.463,FALSE,Non-Stationary (I(1))
cons_total_log,Trend (Constant + Trend),-2.174,-3.43,FALSE,0.403,0.146,FALSE,Non-Stationary (I(1))
cons_durable_log,Drift (Constant),-2.969,-2.88,TRUE,2.436,0.463,FALSE,"Conflicting (ADF=I(0), KPSS=I(1))"
cons_durable_log,Trend (Constant + Trend),-2.9,-3.43,FALSE,0.305,0.146,FALSE,Non-Stationary (I(1))
cons_habitual_log,Drift (Constant),-1.758,-2.88,FALSE,2.442,0.463,FALSE,Non-Stationary (I(1))
cons_habitual_log,Trend (Constant + Trend),-2.165,-3.43,FALSE,0.445,0.146,FALSE,Non-Stationary (I(1))
unemployment_rate,Drift (Constant),-2.658,-2.88,FALSE,0.189,0.463,TRUE,"Conflicting (ADF=I(1), KPSS=I(0))"
unemployment_rate,Trend (Constant + Trend),-2.863,-3.43,FALSE,0.12,0.146,TRUE,"Conflicting (ADF=I(1), KPSS=I(0))"
consumer_confidence,Drift (Constant),-3.86,-2.88,TRUE,0.669,0.463,FALSE,"Conflicting (ADF=I(0), KPSS=I(1))"
consumer_confidence,Trend (Constant + Trend),-4.595,-3.43,TRUE,0.132,0.146,TRUE,Stationary (I(0))
house_price_real_log,Drift (Constant),-2.315,-2.88,FALSE,2.324,0.463,FALSE,Non-Stationary (I(1))
house_price_real_log,Trend (Constant + Trend),-1.848,-3.43,FALSE,0.389,0.146,FALSE,Non-Stationary (I(1))
debt_income,Drift (Constant),-2.298,-2.88,FALSE,2.354,0.463,FALSE,Non-Stationary (I(1))
debt_income,Trend (Constant + Trend),0.786,-3.43,FALSE,0.391,0.146,FALSE,Non-Stationary (I(1))
debt_to_asset_ratio,Drift (Constant),-2.555,-2.88,FALSE,2.084,0.463,FALSE,Non-Stationary (I(1))
debt_to_asset_ratio,Trend (Constant + Trend),-2.594,-3.43,FALSE,0.33,0.146,FALSE,Non-Stationary (I(1))
dsr_value,Drift (Constant),-1.138,-2.88,FALSE,2.231,0.463,FALSE,Non-Stationary (I(1))
dsr_value,Trend (Constant + Trend),-1.65,-3.43,FALSE,0.14,0.146,TRUE,"Conflicting (ADF=I(1), KPSS=I(0))"
liquid_asset_to_income_ratio,Drift (Constant),-1.017,-2.88,FALSE,1.879,0.463,FALSE,Non-Stationary (I(1))
liquid_asset_to_income_ratio,Trend (Constant + Trend),-2.129,-3.43,FALSE,0.343,0.146,FALSE,Non-Stationary (I(1))
saving_rate,Drift (Constant),-0.765,-2.88,FALSE,2.19,0.463,FALSE,Non-Stationary (I(1))
saving_rate,Trend (Constant + Trend),-2.859,-3.43,FALSE,0.227,0.146,FALSE,Non-Stationary (I(1))
cpi_log,Drift (Constant),0.408,-2.88,FALSE,2.256,0.463,FALSE,Non-Stationary (I(1))
cpi_log,Trend (Constant + Trend),-1.81,-3.43,FALSE,0.282,0.146,FALSE,Non-Stationary (I(1))
policy_rate,Drift (Constant),-2.621,-2.88,FALSE,1.347,0.463,FALSE,Non-Stationary (I(1))
policy_rate,Trend (Constant + Trend),-3.184,-3.43,FALSE,0.297,0.146,FALSE,Non-Stationary (I(1))
kix_real_log,Drift (Constant),-3.58,-2.88,TRUE,0.219,0.463,TRUE,Stationary (I(0))
kix_real_log,Trend (Constant + Trend),-3.4,-3.43,FALSE,0.107,0.146,TRUE,"Conflicting (ADF=I(1), KPSS=I(0))"
