"","series","type","ind","time","coefhat","tstat"
"1","gdp_growth","AO",51,"2008:04",-4.69396551724084,-4.62617741912488
"2","gdp_growth","AO",63,"2011:04",-3.79396551724163,-3.73917480698335
"3","gdp_growth","AO",97,"2020:02",-9.49396551724126,-9.35685801872905
"4","consumption_growth","AO",97,"2020:02",-10.415950130872,-13.4241723593486
"5","consumption_growth","TC",98,"2020:03",3.16653743795401,5.53296494637788
"6","consumption_growth","AO",102,"2021:03",2.52376423027458,3.21342901797907
"7","consumption_growth","TC",106,"2022:03",-2.25233916434513,-3.98450826565946
"8","debt_growth","LS",50,"2008:03",-1.21187124158389,-5.6469511095755
"9","debt_growth","AO",80,"2016:01",0.750622002408894,3.77901549476432
"10","debt_growth","LS",106,"2022:03",-0.769599022141026,-3.67265350131407
"11","asset_liability_ratio","TC",91,"2018:04",-0.269070069069581,-3.20702621976548
"12","asset_liability_ratio","TC",96,"2020:01",-0.275172652145482,-3.27935727590508
"13","asset_liability_ratio","LS",105,"2022:02",-0.324681973845984,-3.56969760053702
"14","saving_rate","AO",84,"2017:01",-6.71040724816741,-4.91149145614523
"15","saving_rate","AO",96,"2020:01",-4.91104621945016,-3.59543644723711
"16","debt_income","LS",97,"2020:02",4.55152239979837,5.31042155469906
"17","interest_burden","TC",50,"2008:03",1.40326242908866,8.07044298854918
"18","interest_burden","AO",51,"2008:04",1.07236769168842,8.47829124247498
"19","real_house_price_growth","TC",99,"2020:04",4.75945024806632,3.50677496677909
"20","real_house_price_growth","TC",107,"2022:04",-6.5330292838399,-4.58584485805162
"21","exchange_rate_growth","AO",51,"2008:04",8.46100610591423,4.28459097061068
