"Specification","Num_Variables","Lag","Marginal_Log_Likelihood","Delta_MLL","Bayes_Factor_vs_Best"
"housing_durable",8,1,-147.177867199283,-112.585387970674,1.27287940991411e-49
"housing_durable",8,2,-113.59192408722,-78.9994448586112,4.90881906301658e-35
"housing_durable",8,3,-88.1537039372291,-53.5612247086199,5.47842430065842e-24
"housing_durable",8,4,-64.8628943738883,-30.270415145279,7.14045254958412e-14
"housing_durable",8,5,-34.5924792286093,0,1
"housing_habitual",8,1,-26.3687398264487,-91.7397271093009,1.43860890785295e-40
"housing_habitual",8,2,2.07676850475633,-63.2942187780958,3.24840408750104e-28
"housing_habitual",8,3,25.0344203648891,-40.336566917963,3.03425145317989e-18
"housing_habitual",8,4,40.9150437974518,-24.4559434854004,2.39286773921384e-11
"housing_habitual",8,5,65.3709872828522,0,1
"macro_durable",10,1,595.446489955138,-48.3969764469819,9.58208873381491e-22
"macro_durable",10,2,611.718497128272,-32.1249692738478,1.11764302743161e-14
"macro_durable",10,3,617.786864526793,-26.0566018753269,4.82793693401661e-12
"macro_durable",10,4,630.166871301165,-13.6765951009546,1.1490269537225e-06
"macro_durable",10,5,643.84346640212,0,1
"macro_habitual",10,1,654.850821024604,-39.3706708581022,7.9714054181181e-18
"macro_habitual",10,2,670.169110196998,-24.0523816857083,3.5824765580096e-11
"macro_habitual",10,3,674.740455598076,-19.4810362846308,3.463326530912e-09
"macro_habitual",10,4,686.213575896611,-8.00791598609521,0.000332817593245455
"macro_habitual",10,5,694.221491882707,0,1
"foreign_durable",13,1,1387.79538156164,-96.6051930430883,1.1089136724715e-42
"foreign_durable",13,2,1362.83500282834,-121.565571776386,1.6022968839563e-53
"foreign_durable",13,3,1448.94437191642,-35.4562026883063,3.99546033193798e-16
"foreign_durable",13,4,1466.18578213232,-18.2147924724036,1.22861592497202e-08
"foreign_durable",13,5,1484.40057460473,0,1
"foreign_habitual",13,1,1517.28939366671,-82.7768541394448,1.12323083681384e-36
"foreign_habitual",13,2,1490.04602479818,-110.020223007981,1.6551000426492e-48
"foreign_habitual",13,3,1572.92349406805,-27.1427537381103,1.62949048134068e-12
"foreign_habitual",13,4,1584.29541227315,-15.7708355330044,1.41518479247056e-07
"foreign_habitual",13,5,1600.06624780616,0,1
