quarter,oil_price_log,fed_funds_rate,kix_gdp_log,kix_cpi,gdp_se_log,cons_total_log,cons_durable_log,cons_habitual_log,unemployment_rate,consumer_confidence,house_price_real_log,debt_income,debt_to_asset_ratio,dsr_value,liquid_asset_to_income_ratio,saving_rate,cpi_log,policy_rate,kix_real_log
1996Q1,2.922999052763433,5.363333333333333,4.610831440224542,4.61492002701656,4.900671144468106,12.6232850566547,9.03850902645955,12.5947400715135,9,89.10000000000001,-0.335474583136153,93.7,62.9010404690862,10.4,101.583387701998,-3.35845654952901,5.54937473954836,8.274725274725276,3.777018001413627
1996Q2,2.9805693110120526,5.243333333333333,4.620839097615152,4.62323300789562,4.8885985632338365,12.6119877650311,9.05164203802163,12.5836605670013,9.5,89.13333333333333,-0.334659568440067,93.5,63.1903073537572,9.1,102.203899255613,-2.7050050458632,5.54668386410067,6.697802197802198,3.7561001883113985
1996Q3,3.0508850149766515,5.306666666666667,4.627932833268518,4.62906537781792,4.892590584503374,12.6317310379043,9.12091604712649,12.6005279404513,9.733334,91.5,-0.322298007164344,93.8,63.0763024828337,9.6,111.535593203543,-5.50669851871976,5.54323148630291,5.47608695652174,3.761258472410592
1996Q4,3.169856754396318,5.28,4.635151013184872,4.63544924831554,4.907479196997125,12.6255468800847,9.17504919111608,12.5936496651209,9.933333,91.1,-0.308618442148133,95.2,62.7440216383087,9.4,115.331613783726,-6.11078314877488,5.54250630240171,4.57554347826087,3.765797462527636
1997Q1,3.061608586689876,5.276666666666666,4.644237948820165,4.64263034550077,4.909477199659797,12.6370826552127,9.24210833306276,12.6029202164299,10.26667,93.03333333333332,-0.285065242097975,96.5,61.6773232011251,9.6,125.781829092094,-7.86957852308239,5.54240198808364,4.1,3.8182968729577103
1997Q2,2.9055288731961983,5.523333333333333,4.657043513582839,4.64779405993186,4.92633431672622,12.6524870322163,9.32376293530331,12.6158911823121,10.3,97.83333333333331,-0.266654954105854,98.2,60.3416819749934,8.7,127.792573942204,-8.68291656814393,5.54695485345506,4.1,3.835945392202596
1997Q3,2.9259186047097274,5.533333333333333,4.6648443615511646,4.65502941657401,4.9313218582372595,12.6395778271419,9.29050784942401,12.6032431956621,9.733334,100,-0.26087948880606,98.8,59.6849300642123,9.2,136.425023165301,-7.76830307774454,5.55400775475965,4.1,3.8194533187812567
1997Q4,2.941969876995465,5.506666666666667,4.675294756656852,4.66028602613455,4.950143612477847,12.6555400360132,9.3551864929807,12.6180892733828,9.133333,105.5,-0.248691695373184,100.1,59.1987925219843,9.2,130.858765564633,-8.79176430479138,5.55614638858846,4.143478260869565,3.807474100430972
1998Q1,2.670381898497501,5.52,4.681603718777186,4.66519610276633,4.953139121457645,12.6540530926917,9.39585731504926,12.6151260608419,8.666667,105.16666666666669,-0.210849620515422,100.4,58.6803589303209,9.3,142.002938860399,-8.36835443815539,5.55246856096271,4.35,3.8362605630844255
1998Q2,2.624117904142239,5.5,4.686163169854746,4.67008717213308,4.963089452310813,12.6782238015451,9.40686953620293,12.6395422375938,8.6,107.53333333333332,-0.186468401274475,101.4,58.4751411836667,8.7,144.910947522019,-9.99648097793911,5.54952619280929,4.289560439560439,3.817503750446092
1998Q3,2.54690807605616,5.533333333333333,4.69198542981267,4.67386739786533,4.974029392349148,12.6856352347287,9.45664658293941,12.6445135034705,8,106.86666666666666,-0.16408834624585,102.7,58.8407238228992,9.1,131.472982652446,-9.14866519561336,5.54758438100815,4.1,3.850874524667571
