"Hyperparameter","Mean","SD","q025","Median","q975"
"Psi_cpi_growth",0.4883,0.05,0.3972,0.4843,0.5878
"Psi_consumption_growth",0.4339,0.1185,0.2643,0.4119,0.7002
"Psi_policy_rate",1.053,0.188,0.7402,1.0272,1.4465
"Psi_debt_growth",1.3994,0.5152,0.6168,1.36,2.6529
"Psi_real_house_price_growth",4.5962,1.6862,2.0311,4.3913,8.6271
"lambda (Overall Tightness)",0.1953,0.0349,0.143,0.1888,0.275
"alpha (Lag Decay Exponent)",0.3546,0.0929,0.191,0.3554,0.5732
"a_0 (Gamma Shape)",13.9944,5.8292,5.2192,12.5992,29.3244
"mu (Sum-of-Coeff Weight)",7.0004,2.5094,3.9816,6.4192,12.5942
"mu_mu (Prior Mean mu)",4.1162,1.5295,2.2265,3.6971,8.1432
"sigma_mu (Prior SD mu)",1.9168,0.3969,1.2705,1.87,2.6422
"delta (Unit-Root Weight)",0.8016,0.0452,0.7214,0.7927,0.9011
