"Hyperparameter","Mean","SD","q025","Median","q975"
"Psi_gdp_growth",0.5516,0.06,0.3903,0.5463,0.6388
"Psi_consumption_growth",0.3221,0.0879,0.2418,0.3113,0.5266
"Psi_cpi_growth",1.0945,0.0713,0.9571,1.1176,1.2762
"Psi_saving_rate",12.8539,3.289,8.1448,12.9953,16.4357
"Psi_policy_rate",7.6457,1.4295,4.2984,7.7972,9.1477
"Psi_interest_burden",3.3453,0.583,2.2264,3.4454,4.7466
"Psi_debt_growth",24.1612,5.7465,10.0614,26.6514,29.5099
"Psi_real_house_price_growth",0.2992,0.0246,0.2312,0.3009,0.3461
"Psi_asset_liability_ratio",1.9259,0.3732,1.3392,2.0611,2.7966
"lambda (Overall Tightness)",0.7293,0.2603,0.4099,0.6576,1.2675
"alpha (Lag Decay Exponent)",28.6503,11.3069,12.9252,26.9928,41.5121
"a_0 (Gamma Shape)",0.0627,0.0025,0.0571,0.0639,0.0668
"mu (Sum-of-Coeff Weight)",5.0667,1.4468,3.8381,4.3698,8.7224
"mu_mu (Prior Mean mu)",3.4705,1.1115,2.4756,3.0265,5.4139
"sigma_mu (Prior SD mu)",1.7031,0.327,1.4429,1.5477,2.4951
"delta (Unit-Root Weight)",0.8573,0.0413,0.7753,0.8707,0.9293
