"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"GDP-D","Monetary Policy Shock",-0.0020782924064368,-0.00225518318219756,8,""
"Unemployment","Monetary Policy Shock",0.0566185173241547,0.0875253939444917,8,""
"CPIF","Monetary Policy Shock",-0.000670371336192711,-0.00161063719824784,16,""
"Interest","Monetary Policy Shock",0.0589693724689979,0.0589693724689979,0,"*"
"Durables","Monetary Policy Shock",-0.00305366373633229,-0.0038209082301634,1,""
"DTA","Monetary Policy Shock",0.0164356676642896,0.0961135067566979,4,""
"DSR","Monetary Policy Shock",0.008755477549229,-0.014011158447151,30,""
"LAI","Monetary Policy Shock",-0.280070356189329,0.41157560793851,20,""
"Savings","Monetary Policy Shock",0.115213810658776,0.141911186804912,1,""
"REER","Monetary Policy Shock",-0.000850729659077251,-0.000850729659077251,0,""
"GDP-D","Adverse Macro Shock",-0.0026642779490482,-0.0026642779490482,0,"*"
"Unemployment","Adverse Macro Shock",0.0582468219145655,0.108122644286865,2,"*"
"CPIF","Adverse Macro Shock",-0.000412476293132972,-0.00103522490518216,5,""
"Interest","Adverse Macro Shock",-0.0632837799074596,-0.14910420818638,3,"*"
"Durables","Adverse Macro Shock",-0.00436018393093988,-0.00444476953879297,1,""
"DTA","Adverse Macro Shock",0.0368091016742926,0.0501508432915531,1,""
"DSR","Adverse Macro Shock",-0.00861191251879746,-0.0401909079948866,3,""
"LAI","Adverse Macro Shock",-0.485188643446614,0.572451715877762,7,""
"Savings","Adverse Macro Shock",0.056365196321736,0.056365196321736,0,""
"REER","Adverse Macro Shock",0.00372017707298134,0.00437169340140922,1,""
