"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"GDP-D","Monetary Policy Shock",-0.00216007828827371,-0.00221799613630873,6,""
"Unemployment","Monetary Policy Shock",0.0572682199352318,0.0801740882485067,7,""
"CPIF","Monetary Policy Shock",-0.000678104885197102,-0.00168760525265501,16,""
"Interest","Monetary Policy Shock",0.060841845519845,0.060841845519845,0,"*"
"Habituals","Monetary Policy Shock",-0.000193143169529512,-0.000193143169529512,0,""
"DTA","Monetary Policy Shock",0.0162684111746649,0.0958452722155949,4,""
"DSR","Monetary Policy Shock",0.0124496913776236,0.0124496913776236,0,""
"LAI","Monetary Policy Shock",-0.499370197073115,-0.499370197073115,0,""
"Savings","Monetary Policy Shock",0.111733572083332,0.143359294051988,1,""
"GDP-D","Adverse Macro Shock",-0.00283803164207044,-0.00283803164207044,0,"*"
"Unemployment","Adverse Macro Shock",0.0585801656854196,0.0982079100902817,2,"*"
"CPIF","Adverse Macro Shock",-0.000359896432338462,-0.000890606271784466,4,""
"Interest","Adverse Macro Shock",-0.0677323512990262,-0.138491816551695,3,"*"
"Habituals","Adverse Macro Shock",-0.000559293651733603,-0.000559293651733603,0,""
"DTA","Adverse Macro Shock",0.0470520647835412,0.053323175512367,1,""
"DSR","Adverse Macro Shock",-0.0174442254829344,-0.0428563129640619,3,""
"LAI","Adverse Macro Shock",-0.587013007429193,-0.587013007429193,0,""
"Savings","Adverse Macro Shock",0.0711176389300935,0.0711176389300935,0,""
