"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"FED Rate","Monetary Policy Shock",0,0,0,""
"KIX GDP","Monetary Policy Shock",0,0,0,""
"KIX CPI","Monetary Policy Shock",0,0,0,""
"GDP-D","Monetary Policy Shock",-0.00291911170316243,-0.00291911170316243,0,"*"
"Unemployment","Monetary Policy Shock",0.0390852491301547,0.0390852491301547,0,"*"
"CPIF","Monetary Policy Shock",-0.000481354281090302,-0.000831258673554056,30,""
"Interest","Monetary Policy Shock",0.0665185561367962,0.0824747614823596,21,"*"
"Durables","Monetary Policy Shock",-0.00324043425755702,-0.00531266169549623,1,""
"DTA","Monetary Policy Shock",-0.0658910261246247,-0.0658910261246247,0,""
"DSR","Monetary Policy Shock",0.0228244978594942,0.0228244978594942,0,""
"LAI","Monetary Policy Shock",0.805208874531645,0.805208874531645,0,""
"Savings","Monetary Policy Shock",-0.0240648662913157,-0.0443476290742218,3,""
"Exchange","Monetary Policy Shock",-0.00361621213369868,-0.00430082280563158,15,""
"FED Rate","Adverse Macro Shock",0,0,0,""
"KIX GDP","Adverse Macro Shock",0,0,0,""
"KIX CPI","Adverse Macro Shock",0,0,0,""
"GDP-D","Adverse Macro Shock",-0.00224800502582002,-0.00224800502582002,0,"*"
"Unemployment","Adverse Macro Shock",0.0584371419659133,0.135610032152565,5,"*"
"CPIF","Adverse Macro Shock",0.000939638686912105,0.0011509351505225,2,""
"Interest","Adverse Macro Shock",-0.0520239953678711,-0.151238453891126,8,"*"
"Durables","Adverse Macro Shock",0.00465733138097411,0.00465733138097411,0,""
"DTA","Adverse Macro Shock",-0.0715803789594387,-0.231888528355397,15,""
"DSR","Adverse Macro Shock",0.0202949906750908,0.0202949906750908,0,""
"LAI","Adverse Macro Shock",0.0624196442666648,0.340075675170133,30,""
"Savings","Adverse Macro Shock",-0.226685120730338,-0.226685120730338,0,""
"Exchange","Adverse Macro Shock",0.00123113106352896,0.00308158974726766,8,""
