"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"FED Rate","Monetary Policy Shock",0,0,0,""
"KIX GDP","Monetary Policy Shock",0,0,0,""
"KIX CPI","Monetary Policy Shock",0,0,0,""
"GDP-D","Monetary Policy Shock",-0.00136438750569361,-0.00142902382952305,30,"*"
"Unemployment","Monetary Policy Shock",0.0629607566820561,0.0629607566820561,0,"*"
"CPIF","Monetary Policy Shock",-0.000206774284918705,-0.00160465576603943,30,"*"
"Interest","Monetary Policy Shock",0.046845816254048,0.0588985738269648,6,"*"
"Durables","Monetary Policy Shock",-0.00980909090964886,-0.00980909090964886,0,""
"DTA","Monetary Policy Shock",-0.131058552645906,-0.131058552645906,0,"*"
"DSR","Monetary Policy Shock",-0.0253711780480727,-0.0612049517692428,30,"*"
"LAI","Monetary Policy Shock",2.31291104451015,2.42379916220106,1,""
"Savings","Monetary Policy Shock",-0.243602987701461,-0.243602987701461,0,""
"REER","Monetary Policy Shock",0.00640655754505761,0.0108310634689933,30,""
"FED Rate","Adverse Macro Shock",0,0,0,""
"KIX GDP","Adverse Macro Shock",0,0,0,""
"KIX CPI","Adverse Macro Shock",0,0,0,""
"GDP-D","Adverse Macro Shock",-0.00130218665123033,-0.00130218665123033,0,"*"
"Unemployment","Adverse Macro Shock",0.0628272936635049,0.275201237838142,30,""
"CPIF","Adverse Macro Shock",-0.00030569664016429,-0.00146222309430835,7,"*"
"Interest","Adverse Macro Shock",-0.130539319551807,-0.283520909415617,8,"*"
"Durables","Adverse Macro Shock",0.00706555219089771,0.00889964573798291,6,""
"DTA","Adverse Macro Shock",0.0735675026766793,-0.180052141189514,30,""
"DSR","Adverse Macro Shock",-0.063507793959675,-0.10777748679915,8,"*"
"LAI","Adverse Macro Shock",1.14171375734463,1.74767978437678,3,""
"Savings","Adverse Macro Shock",-0.359118467512053,-0.381038381967458,3,"*"
"REER","Adverse Macro Shock",0.00234987267066981,0.0121708046264604,23,""
