"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"FED Rate","Monetary Policy Shock",0,0,0,""
"KIX GDP","Monetary Policy Shock",0,0,0,""
"KIX CPI","Monetary Policy Shock",0,0,0,""
"GDP-D","Monetary Policy Shock",-0.00460281449870972,-0.00460281449870972,0,"*"
"Unemployment","Monetary Policy Shock",0.0663785113276434,0.0897022603459422,4,""
"CPIF","Monetary Policy Shock",-0.000598449248637439,-0.00141681430663491,30,""
"Interest","Monetary Policy Shock",0.0466814223440737,0.0466814223440737,0,"*"
"Habituals","Monetary Policy Shock",0.00119677474558519,0.00270907933076335,30,""
"DTA","Monetary Policy Shock",0.0846825728579371,0.250843133017202,30,""
"DSR","Monetary Policy Shock",0.01242987555588,-0.0604778089477778,30,""
"LAI","Monetary Policy Shock",1.13296114278178,1.50628426118156,30,""
"Savings","Monetary Policy Shock",0.102788882130389,0.149784961438172,4,""
"REER","Monetary Policy Shock",-0.000159180647117922,-0.00256591587001612,30,""
"FED Rate","Adverse Macro Shock",0,0,0,""
"KIX GDP","Adverse Macro Shock",0,0,0,""
"KIX CPI","Adverse Macro Shock",0,0,0,""
"GDP-D","Adverse Macro Shock",-0.0011945179817754,-0.0011945179817754,0,"*"
"Unemployment","Adverse Macro Shock",0.0723809385501018,0.101661504466193,4,"*"
"CPIF","Adverse Macro Shock",3.84551290161547e-05,0.000992146004828172,30,""
"Interest","Adverse Macro Shock",-0.0641083983182998,-0.0716716921879361,5,""
"Habituals","Adverse Macro Shock",-0.000842341183272514,-0.00249751217956721,30,""
"DTA","Adverse Macro Shock",-0.144102275087071,-0.344339810497218,30,""
"DSR","Adverse Macro Shock",-0.0013226173452442,0.0432687057352135,30,""
"LAI","Adverse Macro Shock",-2.198470953386,-2.198470953386,0,""
"Savings","Adverse Macro Shock",0.138170221293883,0.138170221293883,0,""
"REER","Adverse Macro Shock",-0.00403187550661356,-0.00545010649399869,30,""
