"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"Unemployment","Monetary Policy Shock",0.0594983668616913,0.108454848061922,8,""
"Interest","Monetary Policy Shock",0.0733297144549596,0.0982778258510108,1,"*"
"House Price","Monetary Policy Shock",-0.000610107474785657,-0.00243786869606212,3,""
"DTA","Monetary Policy Shock",-0.0292582927859079,0.0315172868801111,4,""
"DSR","Monetary Policy Shock",0.0388735713452254,0.0588871569770514,4,""
"LAI","Monetary Policy Shock",-0.731806300106971,-0.731806300106971,0,""
"Savings","Monetary Policy Shock",0.057180232347611,0.152560485424361,4,""
"Durables","Monetary Policy Shock",-0.000459476884332247,-0.0038401305486045,4,""
"Unemployment","Adverse Macro Shock",0.0651537575497201,0.104266475016849,3,""
"Interest","Adverse Macro Shock",-0.075290866873656,-0.15273875728851,4,""
"House Price","Adverse Macro Shock",0.000646569975230639,0.00515003160612829,8,""
"DTA","Adverse Macro Shock",0.00467667414917886,-0.0920530998435259,7,""
"DSR","Adverse Macro Shock",-0.0195813772850002,-0.0508957803321919,4,""
"LAI","Adverse Macro Shock",-0.407045969492805,0.920429332253528,7,""
"Savings","Adverse Macro Shock",0.020024155325673,-0.0535095765522623,6,""
"Durables","Adverse Macro Shock",-0.00267858431049258,0.0036998244174031,8,""
"Unemployment","Asset Shock",-0.00766698593850414,-0.0291550302108224,30,""
"Interest","Asset Shock",0.0127582551450584,0.0325805773452802,3,""
"House Price","Asset Shock",-0.00358476745547106,-0.00777574194507407,5,""
"DTA","Asset Shock",0.136789705218644,0.253799937646897,5,""
"DSR","Asset Shock",0.00150014649378904,-0.0188033274117916,14,""
"LAI","Asset Shock",-0.7274737633473,-0.857251040722856,1,""
"Savings","Asset Shock",0.0465217549270115,0.0881681807927986,2,""
"Durables","Asset Shock",-0.00220070400749975,-0.00527785419558229,5,""
