"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"Unemployment (pp)","Monetary Policy Shock",0.0672036667935864,0.115672712155694,10,"*"
"Interest (pp)","Monetary Policy Shock",0.0693670254394834,0.0991069268400055,2,"*"
"Real House Price (Log)","Monetary Policy Shock",-0.000682990141341147,-0.00391528735184497,6,""
"DTA (pp)","Monetary Policy Shock",-0.0225867777673207,0.0813877066212206,7,""
"DSR (pp)","Monetary Policy Shock",0.0172237145124523,0.0353006616680643,2,""
"LAI (pp)","Monetary Policy Shock",-0.753420057148537,-0.920785590644376,3,""
"Savings (pp)","Monetary Policy Shock",0.0743187889924184,0.157790213209096,4,""
"Durables (Log)","Monetary Policy Shock",-0.00170559861675196,-0.00627639898158033,5,""
"Unemployment (pp)","Adverse Macro Shock",0.0700710892909988,0.132533344559267,3,"*"
"Interest (pp)","Adverse Macro Shock",-0.0771855257959572,-0.182056719341709,5,"*"
"Real House Price (Log)","Adverse Macro Shock",0.00011197261508106,0.00490473886055753,9,""
"DTA (pp)","Adverse Macro Shock",0.0143422055889869,-0.0986191290738495,9,""
"DSR (pp)","Adverse Macro Shock",-0.0202846326749348,-0.0562574203933544,4,""
"LAI (pp)","Adverse Macro Shock",-0.431716104697656,0.768244175449661,8,""
"Savings (pp)","Adverse Macro Shock",0.00406826620954298,-0.0878814519523382,6,""
"Durables (Log)","Adverse Macro Shock",-0.00295559885717361,-0.00295559885717361,0,""
"Unemployment (pp)","Asset Shock",-0.00251229621336794,0.0494726137894641,8,""
"Interest (pp)","Asset Shock",0.00892632212819606,0.016879619180738,2,""
"Real House Price (Log)","Asset Shock",-0.00369642518979978,-0.00847868107848357,6,"*"
"DTA (pp)","Asset Shock",0.139766939922225,0.272050032231678,6,"*"
"DSR (pp)","Asset Shock",0.00401097098138165,-0.0153792070845653,16,""
"LAI (pp)","Asset Shock",-0.547058539664643,-0.776355378878488,1,""
"Savings (pp)","Asset Shock",0.0297349134600427,0.102025386497864,4,""
"Durables (Log)","Asset Shock",-0.00260563583460194,-0.00638571841755085,6,""
