"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"Unemployment (pp)","Monetary Policy Shock",0.0673519041062343,0.108729439940859,12,"*"
"Interest (pp)","Monetary Policy Shock",0.0642486427110493,0.102923839062092,3,"*"
"Real House Price (Log)","Monetary Policy Shock",-0.000780329972434218,-0.00567177046442084,30,""
"DTA (pp)","Monetary Policy Shock",-0.0209018723839813,0.0971012392748601,7,""
"DSR (pp)","Monetary Policy Shock",0.0111987377681633,0.0241256241446231,3,""
"LAI (pp)","Monetary Policy Shock",-0.566259942749768,-0.630063553708395,4,""
"Savings (pp)","Monetary Policy Shock",0.0310572866880081,0.101909895306263,3,""
"Habituals (Log)","Monetary Policy Shock",-9.07621097596837e-05,-0.00172367628557431,26,""
"Unemployment (pp)","Adverse Macro Shock",0.0653132642920979,0.0999837708950643,2,"*"
"Interest (pp)","Adverse Macro Shock",-0.0716167894080305,-0.148868800759555,3,"*"
"Real House Price (Log)","Adverse Macro Shock",0.000151989032462799,0.00465313866642706,8,""
"DTA (pp)","Adverse Macro Shock",0.0241034065257291,-0.0856659254374565,7,""
"DSR (pp)","Adverse Macro Shock",-0.0211345724189014,-0.0470769943760551,3,""
"LAI (pp)","Adverse Macro Shock",-0.32030025689389,0.823158793093938,7,""
"Savings (pp)","Adverse Macro Shock",0.00604234525242072,-0.0600645862285251,5,""
"Habituals (Log)","Adverse Macro Shock",-5.10063386992273e-05,0.00120539264083657,11,""
"Unemployment (pp)","Asset Shock",-0.00207303829576468,-0.0262160574860041,30,""
"Interest (pp)","Asset Shock",0.00998467322077618,0.0178264975525518,2,""
"Real House Price (Log)","Asset Shock",-0.00389699715924911,-0.00807388947856649,5,"*"
"DTA (pp)","Asset Shock",0.141418120310825,0.267005954033858,5,"*"
"DSR (pp)","Asset Shock",0.00266931706265891,-0.00686448868495656,15,""
"LAI (pp)","Asset Shock",-0.447430878327555,-0.653944053644041,1,""
"Savings (pp)","Asset Shock",0.026561628192064,0.0991227607316801,2,""
"Habituals (Log)","Asset Shock",-0.000607679162135136,-0.00170493662952881,7,""
