"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"GDP-D","Monetary Policy Shock",-0.0016086598770468,-0.00188842384417307,6,""
"Unemployment","Monetary Policy Shock",0.059986005547205,0.0735974085005872,7,""
"CPIF","Monetary Policy Shock",-0.000449505099844215,-0.00162917212059582,30,""
"Interest","Monetary Policy Shock",0.0474348912887286,0.0474348912887286,0,"*"
"Habitual","Monetary Policy Shock",0.00181225451258786,0.00181225451258786,0,""
"DTA","Monetary Policy Shock",-0.0615531808142506,-0.0615531808142506,0,""
"DSR","Monetary Policy Shock",-0.0138019689577663,-0.0153318296715763,8,""
"LAI","Monetary Policy Shock",-1.61082047808003,-1.61082047808003,0,""
"Savings","Monetary Policy Shock",-0.0422458125227456,-0.0888134927021209,19,""
"REER","Monetary Policy Shock",-0.000469184678143775,-0.000658280703111114,27,""
"GDP-D","Adverse Macro Shock",-0.00114281540044646,-0.00124957496627813,1,"*"
"Unemployment","Adverse Macro Shock",0.0547029051700843,0.0808633824255922,6,""
"CPIF","Adverse Macro Shock",0.000435911868098451,0.000598074690763782,1,""
"Interest","Adverse Macro Shock",-0.0335272785801951,-0.0537937117073582,6,""
"Habitual","Adverse Macro Shock",-0.00095021193900365,-0.00129876008078927,4,""
"DTA","Adverse Macro Shock",-0.0104157251494401,-0.0122531533757888,15,""
"DSR","Adverse Macro Shock",-0.0371754048710128,-0.0371754048710128,0,""
"LAI","Adverse Macro Shock",-1.10391904526592,-1.10391904526592,0,""
"Savings","Adverse Macro Shock",0.337093565116108,0.337093565116108,0,""
"REER","Adverse Macro Shock",-0.00217301571054683,-0.00609249387355686,30,""
