"Hyperparameter","Mean","SD","q025","Median","q975"
"Psi_gdp_growth",0.4772,0.1051,0.3056,0.464,0.7178
"Psi_consumption_growth",0.3841,0.1673,0.1326,0.3562,0.7711
"Psi_cpi_growth",1.1425,0.1198,0.9231,1.1396,1.3955
"Psi_saving_rate",15.9957,4.7696,8.3593,15.3709,27.2143
"Psi_policy_rate",12.2402,3.659,6.3026,11.7764,20.6639
"Psi_interest_burden",2.7358,0.8289,1.4276,2.6327,4.6499
"Psi_debt_growth",23.7207,7.3161,12.3321,22.9009,41.5771
"Psi_real_house_price_growth",0.4333,0.1422,0.2148,0.4129,0.7689
"Psi_asset_liability_ratio",0.8326,0.265,0.4228,0.7996,1.4442
"lambda (Overall Tightness)",0.7755,0.2338,0.4108,0.7516,1.3181
"alpha (Lag Decay Exponent)",19.6237,5.91,10.0144,18.9627,33.2703
"a_0 (Gamma Shape)",0.095,0.0286,0.0509,0.0906,0.1631
"mu (Sum-of-Coeff Weight)",1,0,1,1,1
"mu_mu (Prior Mean mu)",1,0,1,1,1
"sigma_mu (Prior SD mu)",1,0,1,1,1
"delta (Unit-Root Weight)",0.8,0,0.8,0.8,0.8
