"Hyperparameter","Mean","SD","q025","Median","q975"
"Psi_gdp_growth",0.4853,0.1079,0.2966,0.4767,0.7262
"Psi_consumption_growth",0.3825,0.1616,0.1258,0.3574,0.7576
"Psi_cpi_growth",1.1542,0.1176,0.9269,1.1492,1.3973
"Psi_saving_rate",16.6489,5.1959,8.5974,15.8557,28.6521
"Psi_policy_rate",12.1455,3.7154,6.6558,11.5732,20.8633
"Psi_interest_burden",2.6754,0.768,1.415,2.5938,4.3946
"Psi_debt_growth",24.4498,6.9968,12.9648,23.5027,41.2557
"Psi_real_house_price_growth",0.4325,0.1408,0.2217,0.4078,0.7674
"Psi_asset_liability_ratio",0.8488,0.2645,0.4423,0.8183,1.4677
"lambda (Overall Tightness)",0.8057,0.2353,0.422,0.775,1.3297
"alpha (Lag Decay Exponent)",19.3652,5.7007,10.3017,18.5578,33.0422
"a_0 (Gamma Shape)",0.0925,0.0283,0.0465,0.0894,0.1549
"mu (Sum-of-Coeff Weight)",1,0,1,1,1
"mu_mu (Prior Mean mu)",1,0,1,1,1
"sigma_mu (Prior SD mu)",1,0,1,1,1
"delta (Unit-Root Weight)",0.8,0,0.8,0.8,0.8
