"","gdp_growth","consumption_growth","real_house_price_growth","d_debt_growth","d_asset_liability_ratio","d_saving_rate","d_debt_income","d_interest_burden","cpi_growth","d_policy_rate"
"gdp_growth",1,0.691575944076666,0.238023228657643,0.07523555509998,0.0577979003753815,-0.0989147435858467,-0.0270184564999658,-0.031865769386752,-0.0147239596321683,0.0627099995722228
"consumption_growth",0.691575944076666,1,0.25892891434178,-0.0291431381747298,0.0565842731911465,-0.271468200908543,-0.053940606546062,-0.013506721401511,-0.115108399353311,-0.0806500917615925
"real_house_price_growth",0.238023228657643,0.25892891434178,1,0.0298864798860715,0.030190054539312,-0.119042086717849,0.46343865414218,-0.0967710965973134,-0.510429367310797,-0.245371319984492
"d_debt_growth",0.07523555509998,-0.0291431381747298,0.0298864798860715,1,-0.0327358935912007,-0.0333655083311716,0.207653681273855,-0.589435569607166,0.231531757157662,-0.187251205985174
"d_asset_liability_ratio",0.0577979003753815,0.0565842731911465,0.030190054539312,-0.0327358935912007,1,-0.0425605753249698,0.0955414788048804,-0.0751452619499367,-0.220255197911383,-0.124715773394186
"d_saving_rate",-0.0989147435858467,-0.271468200908543,-0.119042086717849,-0.0333655083311716,-0.0425605753249698,1,-0.136163148644846,-0.058815162667343,0.0591642281987346,0.174196621657502
"d_debt_income",-0.0270184564999658,-0.053940606546062,0.46343865414218,0.207653681273855,0.0955414788048804,-0.136163148644846,1,-0.143131861582556,-0.336540787742484,-0.256221468713274
"d_interest_burden",-0.031865769386752,-0.013506721401511,-0.0967710965973134,-0.589435569607166,-0.0751452619499367,-0.058815162667343,-0.143131861582556,1,-0.0331912350593577,0.38394193777499
"cpi_growth",-0.0147239596321683,-0.115108399353311,-0.510429367310797,0.231531757157662,-0.220255197911383,0.0591642281987346,-0.336540787742484,-0.0331912350593577,1,0.510883601699111
"d_policy_rate",0.0627099995722228,-0.0806500917615925,-0.245371319984492,-0.187251205985174,-0.124715773394186,0.174196621657502,-0.256221468713274,0.38394193777499,0.510883601699111,1
