"","gdp_growth","consumption_growth","debt_growth","asset_liability_ratio","saving_rate","debt_income","interest_burden","real_house_price_growth","cpi_growth","policy_rate"
"gdp_growth",1,0.687058010031783,0.137246279479728,0.0772331245893945,-0.106829343792459,-0.0813493632833695,-0.106234872049947,0.237645929847431,-0.0139371787837766,-0.0579751145731741
"consumption_growth",0.687058010031783,1,0.104091286242587,0.0404790133927546,-0.137367423105518,-0.105494081946511,-0.00593385368117639,0.258898709783286,-0.115116329528123,-0.0177074556076048
"debt_growth",0.137246279479728,0.104091286242587,1,-0.348882014894699,-0.522858658657185,-0.380667970779467,-0.192919614703665,0.414809454002599,-0.00149629402646014,-0.0108639154175391
"asset_liability_ratio",0.0772331245893945,0.0404790133927546,-0.348882014894699,1,0.614023920355015,0.682826844163863,-0.388084569989692,-0.0965852489266433,0.227668357549185,-0.380453320815224
"saving_rate",-0.106829343792459,-0.137367423105518,-0.522858658657185,0.614023920355015,1,0.931285811625058,-0.469234675537255,-0.292619591773866,0.181532912805762,-0.605314973128127
"debt_income",-0.0813493632833695,-0.105494081946511,-0.380667970779467,0.682826844163863,0.931285811625058,1,-0.6406343899159,-0.271276477645122,0.259595867313998,-0.760898728560756
"interest_burden",-0.106234872049947,-0.00593385368117639,-0.192919614703665,-0.388084569989692,-0.469234675537255,-0.6406343899159,1,-0.119992462325485,-0.222400835192318,0.890200419116917
"real_house_price_growth",0.237645929847431,0.258898709783286,0.414809454002599,-0.0965852489266433,-0.292619591773866,-0.271276477645122,-0.119992462325485,1,-0.510331048994636,-0.0559877359669106
"cpi_growth",-0.0139371787837766,-0.115116329528123,-0.00149629402646014,0.227668357549185,0.181532912805762,0.259595867313998,-0.222400835192318,-0.510331048994636,1,-0.0145171757480249
"policy_rate",-0.0579751145731741,-0.0177074556076048,-0.0108639154175391,-0.380453320815224,-0.605314973128127,-0.760898728560756,0.890200419116917,-0.0559877359669106,-0.0145171757480249,1
