"Variable","Shock","Horizon","Mean","Median","Lower_90","Lower_68","Upper_68","Upper_90"
"gdp_growth","gdp_growth",1,0.00212487938180511,-0.00121576802833757,-0.757695990330185,-0.478965029580381,0.491771740402634,0.762744814222093
"gdp_growth","gdp_growth",2,0.000230630051248031,-0.00037901090667531,-0.272417715063671,-0.168483268785483,0.170620400120893,0.27426944191939
"gdp_growth","gdp_growth",3,-0.000631515079900615,-0.0015785363096328,-0.18453842768441,-0.111820688021584,0.110707468526147,0.183423741040461
"gdp_growth","gdp_growth",4,-0.00059388431486259,-0.000517177869540498,-0.138358183195543,-0.083098055421563,0.0818064336794405,0.137001607048259
"gdp_growth","gdp_growth",5,-0.00050482037685476,-0.000785047128803094,-0.137727694723398,-0.081420260707193,0.0807276962240016,0.135836702283732
"gdp_growth","gdp_growth",6,-1.05669556770015e-05,0.000144267014282132,-0.0940567094334255,-0.0549941279882007,0.0547490679276146,0.0936271653723337
"gdp_growth","gdp_growth",7,-0.000876742143995579,-0.000960062865075682,-0.0965087393547895,-0.055714138957497,0.0544893475916321,0.0938468085867125
"gdp_growth","gdp_growth",8,-0.000242244866221485,-0.000182609688974206,-0.0720692263521888,-0.0404856725139669,0.0404038634665877,0.0707184988341004
"gdp_growth","gdp_growth",9,-0.000373746578553022,-0.00033491665214222,-0.069418444013863,-0.0391326467427288,0.0382287467336072,0.0687243665598544
"gdp_growth","gdp_growth",10,-7.348903506789e-05,8.70843270716121e-05,-0.0574450445587974,-0.0319990151645467,0.0318351982395824,0.0576149205455904
"gdp_growth","gdp_growth",11,-0.000284143216114678,-0.000172287291778318,-0.0570026821170133,-0.0316885064531414,0.0312099215711197,0.0567791888082895
"gdp_growth","gdp_growth",12,-0.000126189640801586,-9.39169810945247e-05,-0.0499981916608489,-0.0275143883915645,0.0272713433451936,0.0496591638065636
"gdp_growth","gdp_growth",13,-0.000111339534803666,6.35877826674906e-05,-0.0475504607682601,-0.0260473879382003,0.0258031178341183,0.0477159025016596
"gdp_growth","gdp_growth",14,7.86262039589702e-05,1.05865132810008e-05,-0.0449796201161295,-0.0242923912442355,0.0246076212961984,0.0453343012804122
"gdp_growth","gdp_growth",15,-1.68860268988566e-05,-0.000271425255747321,-0.0426701551574147,-0.0232937425793588,0.0232992101750604,0.043824119086111
"gdp_growth","gdp_growth",16,7.51483302578747e-05,-2.12865253749791e-05,-0.0417331770399118,-0.0225413187052147,0.0227848006590569,0.042342680803357
"gdp_growth","gdp_growth",17,1.64225720463482e-05,-1.48772399864818e-05,-0.0397191534098214,-0.0210337741746569,0.0210451230769841,0.0404467792420548
"gdp_growth","gdp_growth",18,0.000113867797926176,7.91026578060469e-06,-0.0389909430924491,-0.0203837980816519,0.0208357511102011,0.0398005122865629
"gdp_growth","gdp_growth",19,2.00129874387886e-05,6.3387785795507e-05,-0.0370189990348758,-0.018990481133527,0.0191927805211913,0.0373457429202133
"gdp_growth","gdp_growth",20,5.14041262132449e-05,-7.27316300633794e-06,-0.0360504374181209,-0.0185407347147502,0.0189448608367779,0.0365694872652219
"gdp_growth","gdp_growth",21,-1.76029726213541e-05,1.74652724637592e-05,-0.0343797229253855,-0.0173793907023913,0.0174927468423309,0.0346762784661217
"gdp_growth","consumption_growth",1,-0.00481071059866971,-0.00678164972404267,-0.76562248776043,-0.48989663713052,0.478971615037351,0.763507612529798
"gdp_growth","consumption_growth",2,-0.000349147509602352,-0.00245630563150977,-0.27465530361671,-0.168076646744741,0.169252594712789,0.275728446257882
"gdp_growth","consumption_growth",3,-0.000913386142478918,-0.000137172233462097,-0.182684668569018,-0.112342864308463,0.109376024848447,0.182010752637535
