"Variable","Shock","Horizon","Mean","Median","Lower_90","Lower_68","Upper_68","Upper_90"
"gdp_growth","gdp_growth",1,-0.0019541764780568,-0.000434349973248032,-0.764367741001458,-0.493268821618491,0.484498407093467,0.778619622432823
"gdp_growth","gdp_growth",2,-0.000466109742125991,-0.000332170489351989,-0.273415513398789,-0.17063922780751,0.171603642727934,0.279124860008661
"gdp_growth","gdp_growth",3,-0.00100435252364727,-0.000879926098430652,-0.187725384766949,-0.115385582439533,0.112441975309407,0.194705204716078
"gdp_growth","gdp_growth",4,-0.000651713634146663,0.000263641976418068,-0.141927138395776,-0.0856675629316512,0.0823690944904012,0.139880559647129
"gdp_growth","gdp_growth",5,-0.000484509159060374,-0.000859498080247652,-0.13683681465185,-0.081967936462405,0.0809140145275686,0.133967489949773
"gdp_growth","gdp_growth",6,0.000372303130845985,0.000205442272857705,-0.0945943271969042,-0.0537267790265528,0.0567911124050902,0.0944232539265787
"gdp_growth","gdp_growth",7,-0.000394107930728085,-0.00215145560024613,-0.0955990973628057,-0.0571756733704831,0.0571971283630612,0.0977161561369534
"gdp_growth","gdp_growth",8,0.000373907088291054,2.39750306328928e-05,-0.0724176791456875,-0.0418085380613642,0.0410046471099009,0.074758310073757
"gdp_growth","gdp_growth",9,-7.84142716514256e-06,-2.44250282937675e-05,-0.0695491701942407,-0.0391188109539369,0.0397666234717104,0.0707949203286368
"gdp_growth","gdp_growth",10,0.000419281650034556,0.000437180600276503,-0.058088772250914,-0.0325065097229145,0.0332112820676211,0.0586228075033636
"gdp_growth","gdp_growth",11,-6.63644015563777e-05,-0.000187255475047272,-0.0566484444801013,-0.0325796342918862,0.0321292163583124,0.0590533205557039
"gdp_growth","gdp_growth",12,0.000187499881364169,0.00019064886592746,-0.0502547422757832,-0.0274726741345312,0.0282852012101395,0.0499229471182497
"gdp_growth","gdp_growth",13,-0.000289090776241585,-0.000350432824873358,-0.0476023315720247,-0.0267638583127746,0.0262557029611396,0.0487439922114881
"gdp_growth","gdp_growth",14,-5.57932356797529e-05,0.000146820141633544,-0.046506497385208,-0.0245386896810248,0.0248402403861578,0.0455879084320483
