"Hyperparameter","Mean","SD","q025","Median","q975"
"Psi_gdp_growth",0.4445,0.0365,0.3776,0.4515,0.5107
"Psi_consumption_growth",0.3231,0.0674,0.2148,0.3133,0.4777
"Psi_cpi_growth",1.0384,0.0789,0.9148,1.0289,1.1938
"Psi_saving_rate",15.3135,5.0844,7.5911,14.3472,26.6371
"Psi_policy_rate",10.8858,3.2973,6.1947,10.4534,18.7706
"Psi_interest_burden",2.4479,0.6969,1.304,2.4088,3.8266
"Psi_debt_growth",20.9558,5.8794,10.615,19.9886,35.5575
"Psi_real_house_price_growth",0.3189,0.0354,0.2468,0.3105,0.3803
"Psi_asset_liability_ratio",0.7421,0.222,0.441,0.6929,1.3729
"lambda (Overall Tightness)",0.8366,0.1987,0.5645,0.7859,1.232
"alpha (Lag Decay Exponent)",18.8309,5.9503,10.102,17.6105,35.4455
"a_0 (Gamma Shape)",0.0674,0.0031,0.0625,0.0673,0.0733
"mu (Sum-of-Coeff Weight)",1,0,1,1,1
"mu_mu (Prior Mean mu)",1,0,1,1,1
"sigma_mu (Prior SD mu)",1,0,1,1,1
"delta (Unit-Root Weight)",0.8,0,0.8,0.8,0.8
