quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,policy_rate
1996K2,-1.2,0.6,0.6240496270009999,2.2916361757986907,13,93.5,7.6,0.7291758130256731,6.696610169491525
1996K3,0.4,1.4,0.6220650279763262,2.3642411394718463,1.2,93.8,8.3,2.2677370275387965,5.483333333333333
1996K4,1.6,-0.4,1.0307018671220192,2.43755092933781,-8.9,95.2,8,0.013052274377312045,4.607258064516129
1997K1,0.2,1.7,1.2125871653850595,2.640516402663003,-3.9,96.5,8.1,1.8660375662154394,4.1
1997K2,1.7,1.3,1.365982760342277,2.715885028624258,5.8,98.2,6.7,2.654039996989521,4.1
1997K3,0.5,-0.3,1.0912031688601331,2.778055874857016,-0.7,98.8,7.4,1.6090565238291,4.1
1997K4,2,0.8,1.9563101353980983,2.7339344073411223,-11.3,100.1,7.4,-0.4380321355804462,4.132258064516129
1998K1,0.2,0.6,1.2034037401733144,2.8841733788408885,-2.9,100.4,7.5,3.8972211658850675,4.35
1998K2,1,1.6,1.4135179881614945,2.942438097629494,5.3,101.4,6.5,2.9500497343455834,4.286440677966102
1998K3,1.1,0.8,1.8149407373117654,2.7707265718196314,-0.9,102.7,7,3.2706957224774236,4.1
1998K4,1.6,1,1.7024580525532684,2.8844026599557653,-10.4,103.3,6.8,1.2634957005881908,3.821428571428571
1999K1,0.4,0.8,1.4583454531724271,2.9496216371927573,-4,103.9,6.7,1.3882708343330386,3.270967741935484
1999K2,0.6,0.7,2.4164149598126627,3.019489997981705,6.5,104.8,5.6,3.244726695161404,2.9
1999K3,1.5,1,1.7745518093164492,3.042041439425546,-2.5,105.9,6.4,2.973943370178045,2.9
1999K4,1.3,3.4,2.542012018122719,3.2751597154447705,-14.1,107.8,6.5,-0.47652868846910224,3.06953125
2000K1,0,1.8,1.9633554033095635,3.1809218741066103,-2.3,108.2,6.6,3.1345846413270095,3.546875
2000K2,3,1.2,2.5610422114230147,3.2248510005739117,3.5,110,5.9,3.8854966303770944,3.75
2000K3,1,0.5,2.06015264740973,3.1533734622717637,0.1,110.4,6.4,3.4285011768576013,3.75
2000K4,0.1,0,2.218076682504133,3.010067135332362,-10.2,111.2,6.5,-0.3436926334065227,3.7936507936507935
2001K1,-0.1,0.3,0,2.9305980788187473,-0.5,111,6.4,2.7697641377425697,4
2001K2,-0.4,-0.1,2.1225432316198223,2.983221674037471,8.2,111.4,5.7,-0.46001974109985966,4
2001K3,0.9,0.3,2.8083955355734602,2.7609247355230497,3.1,111.7,6.3,1.689180792812639,4.161538461538462
2001K4,0.4,-0.3,2.662183332843071,2.8431067733348976,-4.1,112.2,6.3,-1.8204087205555552,3.75
2002K1,0.8,2,1.1672932555766735,2.840617303814771,2.7,112,6.3,1.4732705414053804,3.778225806451613
