"quarter","gdp_growth","consumption_growth","asset_liability_ratio","saving_rate","debt_income","interest_burden","real_house_price_growth","policy_rate","debt_growth"
"1996K2",-1.2,0.6,2.53441389647845,13,93.5,7.6,0.729175813025673,6.69661016949153,0.624049627001
"1996K3",0.4,1.4,2.6147106865317,1.2,93.8,8.3,2.2677370275388,5.48333333333333,0.622065027976326
"1996K4",1.6,-0.4,2.6957869726134,-8.9,95.2,8,0.013052274377312,4.60725806451613,1.03070186712184
"1997K1",0.2,1.7,2.92025476620695,-3.9,96.5,8.1,1.86603756621544,4.1,1.21258716538506
"1997K2",1.7,1.3,3.00360800308283,5.8,98.2,6.7,2.65403999698952,4.1,1.36598276034245
"1997K3",0.5,-0.3,3.07236527717029,-0.7,98.8,7.4,1.6090565238291,4.1,1.09120316885996
"1997K4",2,0.8,3.02356954703379,-11.3,100.1,7.4,-0.438032135580446,4.13225806451613,1.9563101353981
"1998K1",0.2,0.6,3.18972495214688,-2.9,100.4,7.5,3.89722116588507,4.35,1.20340374017349
"1998K2",1,1.6,3.25416228060753,5.3,101.4,6.5,2.95004973434558,4.2864406779661,1.41351798816149
"1998K3",1.1,0.8,3.0642595020627,-0.9,102.7,7,3.27069572247742,4.1,1.81494073731177
"1998K4",1.6,1,3.18997852348158,-10.4,103.3,6.8,1.26349570058819,3.82142857142857,1.70245805255327
"1999K1",0.4,0.8,3.26210684994507,-4,103.9,6.7,1.38827083433304,3.27096774193548,1.45834545317243
"1999K2",0.6,0.7,3.33937711927391,6.5,104.8,5.6,3.2447266951614,2.9,2.41641495981266
"1999K3",1.5,1,3.36431767798235,-2.5,105.9,6.4,2.97394337017804,2.9,1.77455180931645
"1999K4",1.3,3.4,3.62213268566362,-14.1,107.8,6.5,-0.476528688469102,3.06953125,2.54201201812272
"2000K1",0,1.8,3.51791121404266,-2.3,108.2,6.6,3.13458464132701,3.546875,1.96335540330939
"2000K2",3,1.2,3.56649422637012,3.5,110,5.9,3.88549663037709,3.75,2.56104221142319
"2000K3",1,0.5,3.48744430200947,0.1,110.4,6.4,3.4285011768576,3.75,2.06015264740973
"2000K4",0.1,0,3.32895599121907,-10.2,111.2,6.5,-0.343692633406523,3.79365079365079,2.21807668250396
"2001K1",-0.1,0.3,2.93059807881875,-0.5,111,6.4,2.76976413774257,4,2.17030995706189
"2001K2",-0.4,-0.1,2.98322167403747,8.2,111.4,5.7,-0.46001974109986,4,2.12254323161982
"2001K3",0.9,0.3,2.76092473552305,3.1,111.7,6.3,1.68918079281264,4.16153846153846,2.80839553557346
"2001K4",0.4,-0.3,2.8431067733349,-4.1,112.2,6.3,-1.82040872055556,3.75,2.66218333284307
"2002K1",0.8,2,2.84061730381477,2.7,112,6.3,1.47327054140538,3.77822580645161,1.16729325557667
"2002K2",1.2,0.1,2.73517795265299,10.8,112.2,5.7,1.87626264004717,4.1625,2.00847942647631
"2002K3",-0.2,0.1,2.66274874524959,4,112.8,6.5,3.68579557660835,4.25,1.8729768307244
"2002K4",0.1,0.4,2.73928550346019,-4.1,113.9,6.4,-0.406650633040773,4.1008064516129,1.55709741873018
"2003K1",1.3,0.2,2.80674933147484,2.6,115.1,6.4,-0.441651023545742,3.71370967741935,0.261864956107871
"2003K2",-0.2,0.5,2.92995867560518,10.6,117,5.4,2.12293718873511,3.38983050847458,1.94961419248187
"2003K3",0.9,0.9,2.89859747472375,3.5,118.4,5.8,2.50652068838786,2.77272727272727,2.86105443704265
"2003K4",0.5,0.7,2.87871503454833,-5.7,121,6,0.484381593368965,2.75,2.61698332980238
"2004K1",1.7,1.4,2.9338804060135,1.2,122.8,5.9,2.2370380354956,2.60714285714286,0.42767294566417
"2004K2",0.7,-0.5,2.86356984633578,7.6,126.2,5.1,3.63990598101687,2.03333333333333,2.51085991539259
"2004K3",0.8,0.9,2.81018408570606,2.8,128.2,5.5,2.43905564451907,2,3.12587724545139
"2004K4",0.4,0.6,2.79712715616999,-5,131.2,5.6,0.765204621380633,2,3.0829320366303
"2005K1",0.4,1,2.88738044168023,2.1,132.8,5.6,0.896883502223389,2,0.998417960311571
"2005K2",0.9,0.6,2.99143606859606,9.5,134.4,4.7,3.03231620112463,1.95161290322581,3.11988157772607
"2005K3",1.4,1.8,3.06415548295361,-1.1,137.3,5.2,3.86599553527587,1.5,3.18122056283752
"2005K4",0.1,0,3.05809686792352,-5,139.6,5.1,1.46310018360953,1.5,2.89614540624203
"2006K1",1.9,0.3,3.21023178978886,3.6,140.6,5.2,3.49665676721624,1.77734375,1.45847017333551
"2006K2",1.7,1.3,3.01270619517197,13.1,141.8,4.6,1.87592569520465,2.02966101694915,3.68466882418872
"2006K3",0.9,0.6,3.09284334569371,1.4,143.4,5.6,2.9064966130723,2.31923076923077,2.31326130884533
"2006K4",0.9,1.4,3.12608561452791,-3.8,145.6,5.9,0.176826496576954,2.68650793650794,2.97002902059464
"2007K1",0.5,0.9,3.26602812287919,6.5,145.5,6.3,0.800832511857497,3.109375,0.625597637034403
"2007K2",1.2,1,3.27609185059979,18.2,145.1,5.4,4.15056582851996,3.26271186440678,2.95500184791084
"2007K3",0.3,1.9,3.21789836302874,2,146.2,6.8,4.14361192532811,3.55,2.58029736490162
"2007K4",1.1,0.6,2.97648605297671,-3.6,148.3,7.2,-1.47204927581193,3.91129032258065,3.11676391494302
"2008K1",-0.5,-0.7,2.94927727423227,5.4,149.5,7.4,-1.39956212515129,4.10887096774194,-0.227414491950917
"2008K2",-0.5,-0.3,2.83343277536549,21.1,150.2,6.2,-0.319163028977432,4.25,2.57037347672817
