quarter,gdp_growth,consumption_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,policy_rate,debt_growth
1996K2,-1.2,0.6,2.53441389647845,3.40843638874977,93.5,7.6,0.729175813025673,6.69661016949153,0.596214421415427
1996K3,0.4,1.4,2.6147106865317,0.219960921886557,93.8,8.3,2.2677370275388,5.48333333333333,0.782180248857193
1996K4,1.6,-0.4,2.6957869726134,-0.211296431818296,95.2,8,0.013052274377312,4.60725806451613,0.835548004286445
1997K1,0.2,1.7,2.92025476620695,-2.35185177119286,96.5,8.1,1.86603756621544,4.1,1.3026103111528
1997K2,1.7,1.3,3.00360800308283,-3.06558700543191,98.2,6.7,2.65403999698952,4.1,1.31803028075717
1997K3,0.5,-0.3,3.07236527717029,-1.95941777703024,98.8,7.4,1.6090565238291,4.1,1.23448895729121
1997K4,2,0.8,3.02356954703379,-2.61438973904106,100.1,7.4,-0.438032135580446,4.13225806451613,1.70312934916899
1998K1,0.2,0.6,3.18972495214688,-1.84249253178492,100.4,7.5,3.89722116588507,4.35,1.41910008607289
1998K2,1,1.6,3.25416228060753,-3.08493850472078,101.4,6.5,2.95004973434558,4.2864406779661,1.33507006254613
1998K3,1.1,0.8,3.0642595020627,-2.17804904318915,102.7,7,3.27069572247742,4.1,1.86671244784324
1998K4,1.6,1,3.18997852348158,-1.66333451752913,103.3,6.8,1.26349570058819,3.82142857142857,1.50906980478387
1999K1,0.4,0.8,3.26210684994507,-3.27285403813622,103.9,6.7,1.38827083433304,3.27096774193548,1.76272919659526
1999K2,0.6,0.7,3.33937711927391,-1.7154432218068,104.8,5.6,3.2447266951614,2.9,2.21303092946215
1999K3,1.5,1,3.36431767798235,-3.77723877817493,105.9,6.4,2.97394337017804,2.9,1.86183965640967
1999K4,1.3,3.4,3.62213268566362,-5.15221633516052,107.8,6.5,-0.476528688469102,3.06953125,2.333584214062
2000K1,0,1.8,3.51791121404266,-2.07558832046478,108.2,6.6,3.13458464132701,3.546875,2.31413628827537
2000K2,3,1.2,3.56649422637012,-4.12778355241976,110,5.9,3.88549663037709,3.75,2.37317758106368
2000K3,1,0.5,3.48744430200947,-1.25587993176332,110.4,6.4,3.4285011768576,3.75,2.02868602264749
2000K4,0.1,0,3.32895599121907,-1.65456264849428,111.2,6.5,-0.343692633406523,3.79365079365079,2.03009026779316
2001K1,-0.1,0.3,2.93059807881875,-0.20756376537827,111,6.4,2.76976413774257,4,2.64259311652993
2001K2,-0.4,-0.1,2.98322167403747,0.770301026750488,111.4,5.7,-0.46001974109986,4,2.02672235711668
2001K3,0.9,0.3,2.76092473552305,2.07303139967029,111.7,6.3,1.68918079281264,4.16153846153846,2.525400648588
2001K4,0.4,-0.3,2.8431067733349,3.83714916570571,112.2,6.3,-1.82040872055556,3.75,2.3868997240985
2002K1,0.8,2,2.84061730381477,3.09782972356795,112,6.3,1.47327054140538,3.77822580645161,1.98003708064055
2002K2,1.2,0.1,2.73517795265299,3.36641621887488,112.2,5.7,1.87626264004717,4.1625,1.8158101499506
2002K3,-0.2,0.1,2.66274874524959,3.33132459662813,112.8,6.5,3.68579557660835,4.25,1.41439237553912
2002K4,0.1,0.4,2.73928550346019,3.60192690422394,113.9,6.4,-0.406650633040773,4.1008064516129,1.24478404726875
2003K1,1.3,0.2,2.80674933147484,2.95741785829177,115.1,6.4,-0.441651023545742,3.71370967741935,1.42811827272917
2003K2,-0.2,0.5,2.92995867560518,3.07483738254431,117,5.4,2.12293718873511,3.38983050847458,1.67433403368096
2003K3,0.9,0.9,2.89859747472375,3.13561169525153,118.4,5.8,2.50652068838786,2.77272727272727,2.22235667143037
2003K4,0.5,0.7,2.87871503454833,1.88576013013409,121,6,0.484381593368965,2.75,2.18396816246822
2004K1,1.7,1.4,2.9338804060135,1.35849096985028,122.8,5.9,2.2370380354956,2.60714285714286,1.8632551763598
2004K2,0.7,-0.5,2.86356984633578,-0.0623917930799935,126.2,5.1,3.63990598101687,2.03333333333333,2.14312948180505
2004K3,0.8,0.9,2.81018408570606,3.11116635550002,128.2,5.5,2.43905564451907,2,2.52748674639194
2004K4,0.4,0.6,2.79712715616999,2.48668045672568,131.2,5.6,0.765204621380633,2,2.60638306926229
2005K1,0.4,1,2.88738044168023,1.92216123117826,132.8,5.6,0.896883502223389,2,2.4882769215208
2005K2,0.9,0.6,2.99143606859606,0.955300317704047,134.4,4.7,3.03231620112463,1.95161290322581,2.56549667079038
2005K3,1.4,1.8,3.06415548295361,0.443443060179491,137.3,5.2,3.86599553527587,1.5,2.76331826363136
2005K4,0.1,0,3.05809686792352,2.73705888555646,139.6,5.1,1.46310018360953,1.5,2.44298951558985
2006K1,1.9,0.3,3.21023178978886,3.21309155245583,140.6,5.2,3.49665676721624,1.77734375,2.95083353159606
2006K2,1.7,1.3,3.01270619517197,3.30530577477088,141.8,4.6,1.87592569520465,2.02966101694915,2.91888950522766
2006K3,0.9,0.6,3.09284334569371,3.73120884922662,143.4,5.6,2.9064966130723,2.31923076923077,2.09417543091698
2006K4,0.9,1.4,3.12608561452791,4.51607983437909,145.6,5.9,0.176826496576954,2.68650793650794,2.38182413353687
2007K1,0.5,0.9,3.26602812287919,6.20774137767636,145.5,6.3,0.800832511857497,3.109375,2.27362258485818
2007K2,1.2,1,3.27609185059979,7.15163718813003,145.1,5.4,4.15056582851996,3.26271186440678,2.15940137824039
2007K3,0.3,1.9,3.21789836302874,4.746723489651,146.2,6.8,4.14361192532811,3.55,2.33953920259963
2007K4,1.1,0.6,2.97648605297671,5.08310513289962,148.3,7.2,-1.47204927581193,3.91129032258065,2.40612933863961
2008K1,-0.5,-0.7,2.94927727423227,5.49054356566209,149.5,7.4,-1.39956212515129,4.10887096774194,1.54521541070086
2008K2,-0.5,-0.3,2.83343277536549,9.56427424908685,150.2,6.2,-0.319163028977432,4.25,1.71939210620565
2008K3,-0.9,-1,2.76634138705658,8.41465867466471,150.3,8.1,0.741119115229605,4.53409090909091,1.49850426288003
2008K4,-4,-1,2.68575500444678,7.86412596880295,151,8.2,-3.49466598926815,3.65322580645161,1.3337644208573
2009K1,-1,1.1,2.69001840908777,8.72392592456123,151.2,6.2,-0.0224764078391004,1.51612903225806,1.42549620818196
2009K2,0.5,1.3,2.76430831153594,7.28866704199472,154.1,4.4,3.44813942144571,0.608333333333333,1.97215297276428
2009K3,0,0.5,2.84576421038784,7.83395998475395,155.5,4.8,2.63204195063498,0.268939393939394,1.81371779168543
2009K4,0.2,0.2,2.83418950437976,8.71354924335521,156.9,4.6,1.17590830925387,0.25,2.13836416773224
2010K1,1.6,2.3,2.93368420619442,8.78701928143347,158,4.4,1.9338289958867,0.25,2.12575559629339
2010K2,3.3,0.3,2.86448502780187,8.25939168728924,159.9,3.7,1.75351232306733,0.25,1.96210499919273
2010K3,1.7,1.2,2.90965475381335,9.17762161576077,161.4,4.7,0.506538308470716,0.549242424242424,1.99321492633968
2010K4,0.6,-0.1,2.9452063692279,9.65938763561693,162,5.2,-0.962468681805095,0.953125,1.53689586398749
2011K1,0.7,0.8,2.94356645338397,9.08127610814415,161.9,5.9,-0.184539451149224,1.37698412698413,1.18453666227616
2011K2,0.8,0.9,2.86852430479287,9.55527373533115,161.5,5.3,-0.575380414604787,1.68333333333333,1.28785563143997
2011K3,1,-0.5,2.68274304600405,10.1831878396917,161.6,6.7,-0.293113071084772,1.98863636363636,1.02023305609596
2011K4,-3.1,-0.2,2.71982993014248,9.78313113676043,162.2,6.9,-4.24360745921621,1.97265625,1.01659866537453
2012K1,1.2,0.9,2.8383812870305,9.91318658522325,162.4,6.9,-0.190099324185855,1.640625,1.09344516754931
2012K2,0.6,0.2,2.7955740082111,12.0731409039121,162,5.4,0.648502762259895,1.5,0.574934778035458
2012K3,0.7,0.7,2.81256302056376,11.7673931904188,162.1,6.4,1.87484194929066,1.45,0.978792567859457
2012K4,-1.4,0.1,2.77146881460588,12.2921483310502,161.7,6.1,-0.151755564752154,1.22983870967742,0.904028610045148
2013K1,0.8,0.4,2.89017629336412,12.7291320096976,161.4,5.8,0.316506376611514,1,0.942356563038811
2013K2,0.4,0.3,2.88428699453455,11.0454966576933,163.3,4.8,1.20560812897841,1,0.995826736122839
2013K3,0.9,1.1,2.93884288203438,12.0594170753662,164,5.6,1.46466322795327,1,1.01604485002905
2013K4,0.6,0.4,2.96504382289781,11.956792609285,164.6,5.5,0.769618932242722,0.975806451612903,1.12543774412381
2014K1,0.5,0.5,3.03352785230947,12.9973773163227,165.5,5.5,2.32506000162234,0.75,1.18477641575625
2014K2,0.6,1.3,3.12844991488582,12.3320253326724,165.6,4.4,1.80600906786204,0.75,1.3170069793809
2014K3,0.8,0.3,3.1661183170357,12.9808803830284,166.6,5.2,3.22872184514296,0.295454545454545,1.3455143067327
2014K4,0.2,1.3,3.2193402013631,12.5375945952071,168.2,4.9,1.07725104681018,0.0806451612903226,1.53510668228032
2015K1,1.2,1.2,3.40208420082954,10.1345004092622,169.4,4.7,2.62240841171799,-0.0604838709677419,1.5856264112972
2015K2,2.5,0.9,3.3252730158097,11.0558454913517,170.3,3.5,3.22560065079491,-0.25,1.72866913408353
