type of use,quarter,gdp_growth
- GDP at market prices,1980K1,NA
- GDP at market prices,1980K2,NA
- GDP at market prices,1980K3,NA
- GDP at market prices,1980K4,NA
- GDP at market prices,1981K1,NA
- GDP at market prices,1981K2,NA
- GDP at market prices,1981K3,NA
- GDP at market prices,1981K4,NA
- GDP at market prices,1982K1,2.5
- GDP at market prices,1982K2,2
- GDP at market prices,1982K3,-0.5
- GDP at market prices,1982K4,1.5
- GDP at market prices,1983K1,0.9
- GDP at market prices,1983K2,0.6
- GDP at market prices,1983K3,2.8
- GDP at market prices,1983K4,3.5
- GDP at market prices,1984K1,7.1
- GDP at market prices,1984K2,4.7
- GDP at market prices,1984K3,3.3
- GDP at market prices,1984K4,2.4
- GDP at market prices,1985K1,-0.5
- GDP at market prices,1985K2,2.6
- GDP at market prices,1985K3,4.4
- GDP at market prices,1985K4,2.9
- GDP at market prices,1986K1,4.8
- GDP at market prices,1986K2,3.5
- GDP at market prices,1986K3,2.3
- GDP at market prices,1986K4,1.9
- GDP at market prices,1987K1,2.6
- GDP at market prices,1987K2,3
- GDP at market prices,1987K3,4
- GDP at market prices,1987K4,4.1
- GDP at market prices,1988K1,4.5
- GDP at market prices,1988K2,2.9
- GDP at market prices,1988K3,1.1
- GDP at market prices,1988K4,1.7
- GDP at market prices,1989K1,1.6
- GDP at market prices,1989K2,3
- GDP at market prices,1989K3,3.2
- GDP at market prices,1989K4,2.4
- GDP at market prices,1990K1,1.2
- GDP at market prices,1990K2,0.9
- GDP at market prices,1990K3,0
- GDP at market prices,1990K4,-0.2
- GDP at market prices,1991K1,-0.7
- GDP at market prices,1991K2,-2.1
- GDP at market prices,1991K3,-0.5
- GDP at market prices,1991K4,-1.2
- GDP at market prices,1992K1,1
- GDP at market prices,1992K2,-0.9
- GDP at market prices,1992K3,0.4
- GDP at market prices,1992K4,-4.4
- GDP at market prices,1993K1,-5.3
- GDP at market prices,1993K2,-2.1
- GDP at market prices,1993K3,-2.9
- GDP at market prices,1993K4,2.9
- GDP at market prices,1994K1,3.5
- GDP at market prices,1994K2,3.6
- GDP at market prices,1994K3,3
- GDP at market prices,1994K4,5.8
- GDP at market prices,1995K1,5.9
- GDP at market prices,1995K2,4.2
- GDP at market prices,1995K3,3.4
- GDP at market prices,1995K4,3
- GDP at market prices,1996K1,2.5
- GDP at market prices,1996K2,1.1
- GDP at market prices,1996K3,2.2
- GDP at market prices,1996K4,1.1
- GDP at market prices,1997K1,-1.3
- GDP at market prices,1997K2,5
- GDP at market prices,1997K3,4.1
- GDP at market prices,1997K4,4.5
- GDP at market prices,1998K1,5.2
- GDP at market prices,1998K2,2.9
- GDP at market prices,1998K3,4.5
- GDP at market prices,1998K4,4.4
- GDP at market prices,1999K1,3.9
- GDP at market prices,1999K2,4.3
- GDP at market prices,1999K3,4.3
- GDP at market prices,1999K4,4.2
- GDP at market prices,2000K1,4.3
- GDP at market prices,2000K2,5.6
- GDP at market prices,2000K3,5.1
- GDP at market prices,2000K4,3.6
- GDP at market prices,2001K1,4.1
- GDP at market prices,2001K2,0.8
- GDP at market prices,2001K3,0.6
- GDP at market prices,2001K4,0.1
- GDP at market prices,2002K1,0.8
- GDP at market prices,2002K2,4
- GDP at market prices,2002K3,2.7
- GDP at market prices,2002K4,1.7
