quarter,debt_sek_million,debt_adjusted,debt_growth
1996K1,838018,926798.279381695,NA
1996K2,843264,932600.0447061108,0.6240496270009999
1996K3,848526,938419.505082984,0.6220650279763262
1996K4,857317,948141.830467456,1.0307018671220192
1997K1,867776,959708.8650705948,1.2125871653850595
1997K2,879711,972908.2682629135,1.365982760342277
1997K3,889363,983582.8086577405,1.0912031688601331
1997K4,906933,1003014.1881373416,1.9563101353980983
1998K1,917913,1015157.4178861191,1.2034037401733144
1998K2,930980,1029608.7460397872,1.4135179881614945
1998K3,948031,1048466.1422553067,1.8149407373117654
1998K4,964309,1066468.6462489862,1.7024580525532684
1999K1,978475,1082135.4033183106,1.4583454531724271
1999K2,1002407,1108602.7780312197,2.4164149598126627
1999K3,1020354,1128451.0971843444,1.7745518093164492
1999K4,1046624,1157504.161437567,2.542012018122719
2000K1,1067376,1180454.644474601,1.9633554033095635
2000K2,1095065,1211077.0386926245,2.5610422114230147
2000K3,1117859,1236285.852799513,2.06015264740973
2000K4,1142931,1264014,2.218076682504133
2001K1,1264014,1264014,0
2001K2,1291130,1291130,2.1225432316198223
2001K3,1327904,1327904,2.8083955355734602
2001K4,1363730,1363730,2.662183332843071
2002K1,1379742,1379742,1.1672932555766735
2002K2,1407734,1407734,2.008479426476306
2002K3,1434349,1434349,1.8729768307244044
2002K4,1456858,1456858,1.55709741873018
2003K1,1460678,1460678,0.2618649561078712
2003K2,1489435,1489435,1.9496141924818744
2003K3,1532664,1532664,2.861054437042654
2003K4,1573303,1573303,2.6169833298023804
2004K1,1580046,1580046,0.42767294566417036
2004K2,1620221,1620221,2.5108599153925937
2004K3,1671667,1671667,3.1258772454513917
2004K4,1724006,1724006,3.0829320366303037
2005K1,1741305,1741305,0.9984179603115706
2005K2,1796488,1796488,3.119881577726069
2005K3,1854557,1854557,3.1812205628375168
2005K4,1909053,1909053,2.8961454062420344
2006K1,1937100,1937100,1.4584701733355132
2006K2,2009807,2009807,3.6846688241887193
2006K3,2056841,2056841,2.313261308845327
2006K4,2118846,2118846,2.9700290205946445
2007K1,2132143,2132143,0.625597637034403
2007K2,2196088,2196088,2.955001847910843
2007K3,2253491,2253491,2.580297364901618
2007K4,2324833,2324833,3.1167639149430215
2008K1,2319552,2319552,-0.2274144919509169
2008K2,2379946,2379946,2.5703734767281716
2008K3,2421199,2421199,1.7185073666619033
2008K4,2469204,2469204,1.963295947720134
2009K1,2462914,2462914,-0.2550629733544696
2009K2,2533178,2533178,2.8129439194183092
2009K3,2584465,2584465,2.00438823362159
2009K4,2655622,2655622,2.7160378917702843
2010K1,2672953,2672953,0.65049515536586
2010K2,2744420,2744420,2.638590561306664
2010K3,2805737,2805737,2.2096490185795403
2010K4,2863581,2863581,2.040668995174144
2011K1,2861773,2861773,-0.06315766885673924
2011K2,2913664,2913664,1.7970032878306341
2011K3,2948197,2948197,1.1782401357748995
2011K4,2991947,2991947,1.4730548991114034
2012K1,2997023,2997023,0.16951165944920632
2012K2,3023955,3023955,0.8946114608097133
2012K3,3056542,3056542,1.071863434531295
2012K4,3096177,3096177,1.288391303644687
2013K1,3103747,3103747,0.24419666311352728
2013K2,3144478,3144478,1.3037807367046739
2013K3,3175493,3175493,0.9814997247074686
2013K4,3221033,3221033,1.4239219680824533
2014K1,3243214,3243214,0.6862697868479373
2014K2,3296748,3296748,1.6371714616910893
2014K3,3336375,3336375,1.1948360203488662
2014K4,3394763,3394763,1.7349061781052555
2015K1,3439016,3439016,1.2951433922616218
2015K2,3509870,3509870,2.0393615800276876
2015K3,3564436,3564436,1.5426836827131751
2015K4,3634098,3634098,1.9355100557275406
2016K1,3714257,3714257,2.1817721027799664
2016K2,3795811,3795811,2.1719432089255974
2016K3,3849231,3849231,1.3975297832898192
2016K4,3912290,3912290,1.624949221514882
2017K1,3968924,3968924,1.4372144913135543
2017K2,4048966,4048966,1.9966514662177914
2017K3,4114083,4114083,1.595442615973397
2017K4,4169939,4169939,1.3485441366947626
2018K1,4223653,4223653,1.279898600192908
2018K2,4284742,4284742,1.4359946793756961
2018K3,4329114,4329114,1.0302561937402643
2018K4,4398353,4398353,1.5867250528417642
2019K1,4441854,4441854,0.9841704186765554
2019K2,4505042,4505042,1.4125357136689942
2019K3,4550977,4550977,1.0144721196096995
2019K4,4613029,4613029,1.3542755949909946
2020K1,4671289,4671289,1.2550359588384907
2020K2,4771252,4771252,2.1173693528870885
2020K3,4817324,4817324,0.9609842912725597
2020K4,4889477,4889477,1.4866757634365513
2021K1,4957517,4957517,1.3819665752020427
2021K2,5047941,5047941,1.8075426819772034
2021K3,5128482,5128482,1.5829271587520566
2021K4,5222378,5222378,1.8143144755191187
2022K1,5296004,5296004,1.3999720205257304
2022K2,5372501,5372501,1.4340961746166059
2022K3,5401583,5401583,0.539852309125699
2022K4,5429737,5429737,0.5198639391528204
2023K1,5434647,5434647,0.0903870911463045
2023K2,5453704,5453704,0.35004417948911737
2023K3,5460383,5460383,0.12239229600723434
2023K4,5470415,5470415,0.18355481121652417
2024K1,5468864,5468864,-0.02835653081696421
2024K2,5490200,5490200,0.38937681095791987
2024K3,5500074,5500074,0.1796861962985119
2024K4,5539590,5539590,0.7158944106937071
2025K1,5550444,5550444,0.19574337582071166
2025K2,5592810,5592810,0.7603919668687453
2025K3,5620588,5620588,0.4954440539965077
2025K4,5666787,5666787,0.8186005689593046
2026K1,5701783,5701783,0.6156642487374242
